key,source_text,target_text
text.skinlayers.basevoxelsize,Voxel Size,ボクセルのサイズ
text.skinlayers.bodyvoxelheightsize,Body Voxel Height,体ボクセルの高さ
text.skinlayers.bodyvoxelwidthsize,Torso Voxel Width,胴体ボクセルの幅
text.skinlayers.boolean.OFF,OFF,オフ
text.skinlayers.boolean.ON,ON,オン
text.skinlayers.enable.hat,3D Hat,3D帽子
text.skinlayers.enable.jacket,3D Jacket,3D上着
text.skinlayers.enable.leftpants,3D Left Pants,3D左股下
text.skinlayers.enable.leftsleeve,3D Left Sleeve,3D左袖
text.skinlayers.enable.rightpants,3D Right Pants,3D右股下
text.skinlayers.enable.rightsleeve,3D Right Sleeve,3D右袖
text.skinlayers.fastrender.enable,Fast Render,高速レンダリング
text.skinlayers.headvoxelsize,Head Voxel Size,頭ボクセルのサイズ
text.skinlayers.renderdistancelod,Level Of Detail Distance,詳細度の距離
text.skinlayers.reset,Default,デフォルト
text.skinlayers.skulls.enable,3D Skulls,3D スカルズ
text.skinlayers.skulls.voxelsize,Skull Voxel Size,頭ブロックボクセルのサイズ
text.skinlayers.skullsitems.enable,3D Skull Items,3D頭ブロック（アイテム）
text.skinlayers.title,3D Skin Layer Settings,3Dスキンレイヤー設定
