key,source_text,target_text
block.abnormals_delight.aspen_pantry,Aspen Pantry,ヤマナラシの食品庫
block.abnormals_delight.cherry_pantry,Cherry Pantry,サクラの食品庫
block.abnormals_delight.driftwood_pantry,Driftwood Pantry,流木の食品庫
block.abnormals_delight.grimwood_pantry,Grimwood Pantry,グリムウッドの食品庫
block.abnormals_delight.kousa_pantry,Kousa Pantry,ヤマボウシの食品庫
block.abnormals_delight.maple_pantry,Maple Pantry,カエデの食品庫
block.abnormals_delight.morado_pantry,Morado Pantry,モラドの食品庫
block.abnormals_delight.poise_pantry,Poise Pantry,ポイズの食品庫
block.abnormals_delight.river_pantry,River Pantry,リバーの食品庫
block.abnormals_delight.rosewood_pantry,Rosewood Pantry,ローズウッドの食品庫
block.abnormals_delight.willow_pantry,Willow Pantry,ヤナギの食品庫
block.abnormals_delight.wisteria_pantry,Wisteria Pantry,フジの食品庫
block.abnormals_delight.yucca_pantry,Yucca Pantry,ユッカの食品庫
item.abnormals_delight.adzuki_cake_slice,Slice of Adzuki Cake,一切れの小豆ケーキ
item.abnormals_delight.banana_cake_slice,Slice of Banana Cake,一切れのバナナケーキ
item.abnormals_delight.cherry_cookie,Cherry Cookie,サクラクッキー
item.abnormals_delight.cherry_cream_soda,Cherry Cream Soda,サクラクリームソーダ
item.abnormals_delight.chocolate_cake_slice,Slice of Chocolate Cake,一切れのチョコレートケーキ
item.abnormals_delight.cooked_duck_fillet,Cooked Duck Fillet,焼いたカモの切り身
item.abnormals_delight.cooked_perch_slice,Cooked Perch Slice,焼いたスズキの刺身
item.abnormals_delight.cooked_pike_slice,Cooked Pike Slice,焼いたパイクの刺身
item.abnormals_delight.cooked_venison_shanks,Cooked Venison Shanks,焼いた鹿のすね肉
item.abnormals_delight.duck_fillet,Raw Duck Fillet,生のカモの切り身
item.abnormals_delight.duck_noodles,Duck Noodles,ダックヌードル
item.abnormals_delight.dune_platter,Dune Platter,砂丘の大皿
item.abnormals_delight.escargot,Escargot,エスカルゴ
item.abnormals_delight.maple_cookie,Maple Cookie,マップルクッキー
item.abnormals_delight.maple_glazed_bacon,Maple Glazed Bacon,メープルグレーズドベーコン
item.abnormals_delight.mint_cake_slice,Slice of Mint Cake,一切れのミントケーキ
item.abnormals_delight.mulberry_cookie,Mulberry Cookie,桑のクッキー
item.abnormals_delight.necromium_knife,Necromium Knife,ネクロミウムのナイフ
item.abnormals_delight.passion_aloe_nectar,Passion Aloe Nectar,パッションアローネクター
item.abnormals_delight.passionfruit_glazed_duck,Passionfruit Glazed Duck,カモのパッションフルーツソース
item.abnormals_delight.perch_slice,Raw Perch Slice,生のスズキの刺身
item.abnormals_delight.perch_with_mushrooms,Perch with Mushrooms,マッシュルーム付きのパーチ
item.abnormals_delight.pickerelweed_juice,Pickerelweed Juice,ピッカーリウッドのジュース
item.abnormals_delight.pike_slice,Raw Pike Slice,生のパイクの刺身
item.abnormals_delight.pike_with_beetroot,Pike with Beetroot,ビートルート付きピック
item.abnormals_delight.seared_venison,Seared Venison,鹿のソテー
item.abnormals_delight.silver_knife,Silver Knife,銀のナイフ
item.abnormals_delight.slabdish,Slabdish,ハーフブロックディッシュ
item.abnormals_delight.strawberry_cake_slice,Slice of Strawberry Cake,一切れのストロベリーケーキ
item.abnormals_delight.vanilla_cake_slice,Slice of Vanilla Cake,一切れのバニラケーキ
item.abnormals_delight.venison_shanks,Raw Venison Shanks,生の鹿のすね肉
item.abnormals_delight.venison_with_bamboo_shoots,Venison with Bamboo Shoots,竹芽付き鹿肉
item.abnormals_delight.yucca_gateau_slice,Slice of Yucca Gateau,一切れのユッカケーキ
itemGroup.abnormals_delight,Farmer's Delight,
tooltip.abnormals_delight.slabdish.when_feeding,When fed to a tamed Slabfish:,飼育済みハーフブロックフィッシュに与えると：
block.abnormals_delight.aspen_cabinet,Aspen Cabinet,アスペンのキャビネット
block.abnormals_delight.azalea_cabinet,Azalea Cabinet,アザレアキャビネット
block.abnormals_delight.driftwood_cabinet,Driftwood Cabinet,流木の食品庫
block.abnormals_delight.grimwood_cabinet,Grimwood Cabinet,グリムウッドの食品庫
block.abnormals_delight.kousa_cabinet,Kousa Cabinet,ヤマボウシの食品庫
block.abnormals_delight.laurel_cabinet,Laurel Cabinet,ラウールキャビネット
block.abnormals_delight.maple_cabinet,Maple Cabinet,メープルのキャビネット
block.abnormals_delight.morado_cabinet,Morado Cabinet,モラドの食品庫
block.abnormals_delight.pine_cabinet,Pine Cabinet,パインキャビネット
block.abnormals_delight.plum_cabinet,Plum Cabinet,サクラの食品庫
block.abnormals_delight.poise_cabinet,Poise Cabinet,ポイズの食品庫
block.abnormals_delight.river_cabinet,River Cabinet,リバーの食品庫
block.abnormals_delight.rosewood_cabinet,Rosewood Cabinet,ローズウッドの食品庫
block.abnormals_delight.willow_cabinet,Willow Cabinet,ウィローのキャビネット
block.abnormals_delight.wisteria_cabinet,Wisteria Cabinet,ウィスティアのキャビネット
block.abnormals_delight.yucca_cabinet,Yucca Cabinet,ユッカの食品庫
item.abnormals_delight.passion_fruit_glazed_duck,Passion Fruit Glazed Duck,カモのパッションフルーツソース
