key,source_text,target_text
_comment,JEI,
achievement.actuallyadditions.completeTrials,A Botanist's Dream,植物学者の夢
achievement.actuallyadditions.completeTrials.desc,Complete all Trials in the Manual,マニュアルにあるすべての挑戦を完了する
achievement.actuallyadditions.craftCoalGen,Cool Generator,かっこいいジェネレーター
achievement.actuallyadditions.craftCoalGen.desc,Craft a Coal Generator,石炭燃焼発電機をクラフトする
achievement.actuallyadditions.craftCoffeeMachine.desc,Craft a Coffee Maker,コーヒーメーカーをクラフトする
achievement.actuallyadditions.craftCrusher.desc,Craft a Crusher,粉砕機をクラフトする
achievement.actuallyadditions.craftDoubleCrusher.desc,Craft a Double Crusher,二重粉砕機をクラフトする
achievement.actuallyadditions.craftEmpowerer,Infusion Altar,注入の祭壇
achievement.actuallyadditions.craftEmpowerer.desc,Craft an Empowerer,エンパワー機をクラフトする
achievement.actuallyadditions.craftEnergyface,"Zoom, Zoom, CF!",CFビューーーーーン！
achievement.actuallyadditions.craftEnergyface.desc,Craft a Phantom Energyface,幻影式エネルギー面偽装ブロックをクラフトする
achievement.actuallyadditions.craftFireworkBox,Bang Boom Bang,ドーン、ドーン、ドーン！
achievement.actuallyadditions.craftFireworkBox.desc,Craft a Firework Box,花火箱をクラフトする
achievement.actuallyadditions.craftItemInterface.desc,Craft an Item Interface,アイテムインターフェースをクラフトする
achievement.actuallyadditions.craftLaserRelay.desc,Craft a Laser Relay,レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayAdvanced.desc,Craft an Advanced Laser Relay,発展型レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayExtreme.desc,Craft an Extreme Laser Relay,究極型レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayItem.desc,Craft an Item Laser Relay,アイテム輸送レーザー端子をクラフトする
achievement.actuallyadditions.craftLeafGen,Munchdew?,マンチデュー？
achievement.actuallyadditions.craftLeafGen.desc,Craft a Leaf-Eating Generator,葉を食べる発電機をクラフトする
achievement.actuallyadditions.craftLiquiface,"Zoom, Zoom, Fluids!",液体ビューーーーーン！
achievement.actuallyadditions.craftLiquiface.desc,Craft a Phantom Liquiface,幻影式液体面偽装ブロックをクラフトする
achievement.actuallyadditions.craftPhantomface,"Zoom, Zoom, Items!",アイテムビューーーーーン！
achievement.actuallyadditions.craftPhantomface.desc,Craft a Phantomface,幻影式アイテム面偽装ブロックをクラフトする
achievement.actuallyadditions.craftReconstructor,Bzzzzrrrrt,バチバチビリビリ
achievement.actuallyadditions.craftReconstructor.desc,Craft an Atomic Reconstructor,原子再構成機をクラフトする
achievement.actuallyadditions.getCrystalsMilestone,Reconstruction Master,再構築マスター
achievement.actuallyadditions.getCrystalsMilestone.desc,Create 200 Crystals,200以上のクリスタルを作る
achievement.actuallyadditions.getUnProbed,Sneaky!,こっそり！
achievement.actuallyadditions.getUnProbed.desc,Be probed by someone but sneak and notice it,誰かに調査されてることにこっそり気づく
achievement.actuallyadditions.makeCrystal.desc,Make a Crystal with the Atomic Reconstructor,原子再構成機で新種のクリスタルを生み出す
achievement.actuallyadditions.nameSmileyCloud.desc,Name a Smiley Cloud,スマイリークラウドに名前を付ける
achievement.actuallyadditions.openBooklet,Knowledge Bringer!,知識をもたらす！
achievement.actuallyadditions.openBooklet.desc,Open an Actually Additions Manual,Actually Additionsマニュアルを開く
achievement.actuallyadditions.openBookletMilestone,Bookworm!,読書好き
achievement.actuallyadditions.openBookletMilestone.desc,Open the Manual 50 times,マニュアルを50回以上開く
achievement.actuallyadditions.openTreasureChest,Underwater Dungeon,水中ダンジョン
achievement.actuallyadditions.openTreasureChest.desc,Open a Treasure Chest,宝箱を開ける
achievement.actuallyadditions.pickUpCoffee.desc,Harvest some coffee,コーヒーを収穫する
actuallyadditions.lolWutHowUDoDis,This is bugged. Throw it away. Please.,これはバグです。捨ててください。
block.actuallyadditions.atomic_reconstructor,Atomic Reconstructor,原子再構成装置
block.actuallyadditions.atomic_reconstructor.info.1.1,Molecular,分子の
block.actuallyadditions.atomic_reconstructor.info.1.10,Spatial,空間の
block.actuallyadditions.atomic_reconstructor.info.1.11,Stuffy,息苦しい
block.actuallyadditions.atomic_reconstructor.info.1.12,Interdimensional,ディメンション間の
block.actuallyadditions.atomic_reconstructor.info.1.2,Material,%s巻き付け
block.actuallyadditions.atomic_reconstructor.info.1.3,Quarkal,微粒子の
block.actuallyadditions.atomic_reconstructor.info.1.4,Atomatic,原子の
block.actuallyadditions.atomic_reconstructor.info.1.5,Tiny Bit,ほんの少しの
block.actuallyadditions.atomic_reconstructor.info.1.6,Component,成分の
block.actuallyadditions.atomic_reconstructor.info.1.7,Vittle,ごちそうの
block.actuallyadditions.atomic_reconstructor.info.1.8,Transmaterial,物質を変換する
block.actuallyadditions.atomic_reconstructor.info.1.9,Partial,部分的に
block.actuallyadditions.atomic_reconstructor.info.2.1,Recombobulizer,再結合器
block.actuallyadditions.atomic_reconstructor.info.2.10,Swapper,交換機
