key,source_text,target_text
_comment,JEI,JEI
achievement.actuallyadditions.completeTrials,A Botanist's Dream,植物学者の夢
achievement.actuallyadditions.completeTrials.desc,Complete all Trials in the Manual,マニュアルにあるすべての挑戦を完了する
achievement.actuallyadditions.craftCoalGen,Cool Generator,かっこいいジェネレーター
achievement.actuallyadditions.craftCoalGen.desc,Craft a Coal Generator,石炭燃焼発電機をクラフトする
achievement.actuallyadditions.craftCoffeeMachine.desc,Craft a Coffee Maker,コーヒーメーカーをクラフトする
achievement.actuallyadditions.craftCrusher.desc,Craft a Crusher,粉砕機をクラフトする
achievement.actuallyadditions.craftDoubleCrusher.desc,Craft a Double Crusher,二重粉砕機をクラフトする
achievement.actuallyadditions.craftEmpowerer,Infusion Altar,注入の祭壇
achievement.actuallyadditions.craftEmpowerer.desc,Craft an Empowerer,エンパワー機をクラフトする
achievement.actuallyadditions.craftEnergyface,"Zoom, Zoom, CF!",CFビューーーーーン！
achievement.actuallyadditions.craftEnergyface.desc,Craft a Phantom Energyface,幻影式エネルギー面偽装ブロックをクラフトする
achievement.actuallyadditions.craftFireworkBox,Bang Boom Bang,ドーン、ドーン、ドーン！
achievement.actuallyadditions.craftFireworkBox.desc,Craft a Firework Box,花火箱をクラフトする
achievement.actuallyadditions.craftItemInterface.desc,Craft an Item Interface,アイテムインターフェースをクラフトする
achievement.actuallyadditions.craftLaserRelay.desc,Craft a Laser Relay,レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayAdvanced.desc,Craft an Advanced Laser Relay,発展型レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayExtreme.desc,Craft an Extreme Laser Relay,究極型レーザー端子をクラフトする
achievement.actuallyadditions.craftLaserRelayItem.desc,Craft an Item Laser Relay,アイテム輸送レーザー端子をクラフトする
achievement.actuallyadditions.craftLeafGen,Munchdew?,マンチデュー？
achievement.actuallyadditions.craftLeafGen.desc,Craft a Leaf-Eating Generator,葉を食べる発電機をクラフトする
achievement.actuallyadditions.craftLiquiface,"Zoom, Zoom, Fluids!",液体ビューーーーーン！
achievement.actuallyadditions.craftLiquiface.desc,Craft a Phantom Liquiface,幻影式液体面偽装ブロックをクラフトする
achievement.actuallyadditions.craftPhantomface,"Zoom, Zoom, Items!",アイテムビューーーーーン！
achievement.actuallyadditions.craftPhantomface.desc,Craft a Phantomface,幻影式アイテム面偽装ブロックをクラフトする
achievement.actuallyadditions.craftReconstructor,Bzzzzrrrrt,バチバチビリビリ
achievement.actuallyadditions.craftReconstructor.desc,Craft an Atomic Reconstructor,原子再構成機をクラフトする
achievement.actuallyadditions.getCrystalsMilestone,Reconstruction Master,再構築マスター
achievement.actuallyadditions.getCrystalsMilestone.desc,Create 200 Crystals,200以上のクリスタルを作る
achievement.actuallyadditions.getUnProbed,Sneaky!,こっそり！
achievement.actuallyadditions.getUnProbed.desc,Be probed by someone but sneak and notice it,誰かに調査されてることにこっそり気づく
achievement.actuallyadditions.makeCrystal.desc,Make a Crystal with the Atomic Reconstructor,原子再構成機で新種のクリスタルを生み出す
achievement.actuallyadditions.nameSmileyCloud.desc,Name a Smiley Cloud,スマイリークラウドに名前を付ける
achievement.actuallyadditions.openBooklet,Knowledge Bringer!,知識をもたらす！
achievement.actuallyadditions.openBooklet.desc,Open an Actually Additions Manual,Actually Additionsマニュアルを開く
achievement.actuallyadditions.openBookletMilestone,Bookworm!,読書好き
achievement.actuallyadditions.openBookletMilestone.desc,Open the Manual 50 times,マニュアルを50回以上開く
achievement.actuallyadditions.openTreasureChest,Underwater Dungeon,水中ダンジョン
achievement.actuallyadditions.openTreasureChest.desc,Open a Treasure Chest,宝箱を開ける
achievement.actuallyadditions.pickUpCoffee.desc,Harvest some coffee,コーヒーを収穫する
actuallyadditions.lolWutHowUDoDis,This is bugged. Throw it away. Please.,これはバグです。捨ててください。
block.actuallyadditions.atomic_reconstructor,Atomic Reconstructor,原子再構成装置
block.actuallyadditions.atomic_reconstructor.info.1.1,Molecular,分子の
block.actuallyadditions.atomic_reconstructor.info.1.10,Spatial,空間の
block.actuallyadditions.atomic_reconstructor.info.1.11,Stuffy,息苦しい
block.actuallyadditions.atomic_reconstructor.info.1.12,Interdimensional,ディメンション間の
block.actuallyadditions.atomic_reconstructor.info.1.2,Material,材料の
block.actuallyadditions.atomic_reconstructor.info.1.3,Quarkal,微粒子の
block.actuallyadditions.atomic_reconstructor.info.1.4,Atomatic,原子の
block.actuallyadditions.atomic_reconstructor.info.1.5,Tiny Bit,ほんの少しの
block.actuallyadditions.atomic_reconstructor.info.1.6,Component,成分の
block.actuallyadditions.atomic_reconstructor.info.1.7,Vittle,ごちそうの
block.actuallyadditions.atomic_reconstructor.info.1.8,Transmaterial,物質を変換する
block.actuallyadditions.atomic_reconstructor.info.1.9,Partial,部分的に
block.actuallyadditions.atomic_reconstructor.info.2.1,Recombobulizer,再結合器
block.actuallyadditions.atomic_reconstructor.info.2.10,Swapper,交換機
block.actuallyadditions.atomic_reconstructor.info.2.11,Exchanger,置換機
block.actuallyadditions.atomic_reconstructor.info.2.12,Replacer,代替機
block.actuallyadditions.atomic_reconstructor.info.2.13,Differentiator,微分機
block.actuallyadditions.atomic_reconstructor.info.2.14,Receiver,受信機
block.actuallyadditions.atomic_reconstructor.info.2.2,Shiftulator,変換機
block.actuallyadditions.atomic_reconstructor.info.2.3,Recombinator,再組成機
block.actuallyadditions.atomic_reconstructor.info.2.4,Modulator,変調機
block.actuallyadditions.atomic_reconstructor.info.2.5,Moleculizer,分子化装置
block.actuallyadditions.atomic_reconstructor.info.2.6,Modificulator,改変機
block.actuallyadditions.atomic_reconstructor.info.2.7,Changer,変更機
block.actuallyadditions.atomic_reconstructor.info.2.8,Atomizer,微粒化装置
block.actuallyadditions.atomic_reconstructor.info.2.9,Makerator,生成機
block.actuallyadditions.battery_box,Battery Box,バッテリーボックス
block.actuallyadditions.bio_reactor,Bio Reactor,バイオリアクター
block.actuallyadditions.black_lotus,Black Lotus,黒いロータス
block.actuallyadditions.black_quartz_block,Block of Black Quartz,ブラッククォーツブロック
block.actuallyadditions.black_quartz_brick_block,Black Quartz Bricks,ブラッククォーツレンガ
block.actuallyadditions.black_quartz_brick_slab,Black Quartz Brick Slab,ブラッククォーツレンガのハーフブロック
block.actuallyadditions.black_quartz_brick_stair,Black Quartz Brick Stairs,ブラッククォーツレンガの階段
block.actuallyadditions.black_quartz_brick_wall,Black Quartz Brick Wall,ブラッククォーツレンガの塀
block.actuallyadditions.black_quartz_ore,Black Quartz Ore,ブラッククォーツ鉱石
block.actuallyadditions.black_quartz_pillar_block,Pillar of Black Quartz,ブラッククォーツの柱
block.actuallyadditions.black_quartz_pillar_slab,Black Quartz Pillar Slab,ブラッククォーツの柱のハーフブロック
block.actuallyadditions.black_quartz_pillar_stair,Black Quartz Pillar Stairs,ブラッククォーツの柱の階段
block.actuallyadditions.black_quartz_pillar_wall,Black Quartz Pillar Wall,ブラッククォーツの柱の塀
block.actuallyadditions.black_quartz_slab,Black Quartz Slab,ブラッククォーツのハーフブロック
block.actuallyadditions.black_quartz_stair,Black Quartz Stairs,ブラッククォーツの階段
block.actuallyadditions.black_quartz_wall,Black Quartz Wall,ブラッククォーツの塀
block.actuallyadditions.booklet_stand,Wall-Mount Manual (WIP),壁掛けマニュアル(開発中)
block.actuallyadditions.breaker,Auto-Breaker,自動型ブロック破壊機
block.actuallyadditions.canola,Canola Plant,キャノーラ
block.actuallyadditions.canola_oil,Canola Oil,キャノーラ油
block.actuallyadditions.canola_press,Canola Press,キャノーラ圧搾機
block.actuallyadditions.chiseled_black_quartz_block,Chiseled Black Quartz,模様入りのブラッククォーツ
block.actuallyadditions.chiseled_black_quartz_slab,Chiseled Black Quartz Slab,模様入りのブラッククォーツのハーフブロック
block.actuallyadditions.chiseled_black_quartz_stair,Chiseled Black Quartz Stairs,模様入りのブラッククォーツの階段
block.actuallyadditions.chiseled_black_quartz_wall,Chiseled Black Quartz Wall,模様入りのブラッククォーツの塀
block.actuallyadditions.coal_generator,Coal Generator,石炭発電機
block.actuallyadditions.coffee,Coffee Plant,コーヒー
block.actuallyadditions.coffee_machine,Coffee Maker,コーヒーメーカー
block.actuallyadditions.crate_large,Large Storage Crate (WIP),大型収納用クレート(開発中)
block.actuallyadditions.crate_medium,Medium Storage Crate (WIP),中型収納用クレート(開発中)
block.actuallyadditions.crate_small,Small Storage Crate (WIP),小型収納用クレート(開発中)
block.actuallyadditions.crusher,Crusher,粉砕機
block.actuallyadditions.crusher_double,Double Crusher,二連粉砕機
block.actuallyadditions.crystallized_oil,Crystallized Oil,結晶化油
block.actuallyadditions.diamatine_crystal_block,Diamatine Crystal Block,ディアマチンクリスタルブロック
block.actuallyadditions.diamatine_crystal_cluster,Light Blue Crystal Cluster,空色のクリスタルの塊
block.actuallyadditions.display_stand,Display Stand,表示スタンド
block.actuallyadditions.distributor_item,Item Distributor (WIP),アイテム分配機(開発中)
block.actuallyadditions.dropper,Automatic Precision Dropper,自動精密ドロッパー
block.actuallyadditions.emeradic_crystal_block,Emeradic Crystal Block,エメラディッククリスタルブロック
block.actuallyadditions.emeradic_crystal_cluster,Green Crystal Cluster,緑色のクリスタルの塊
block.actuallyadditions.empowered_diamatine_crystal_block,Empowered Diamatine Crystal Block,エンパワーディアマチンクリスタルブロック
block.actuallyadditions.empowered_emeradic_crystal_block,Empowered Emeradic Crystal Block,エンパワーエメラディッククリスタルブロック
block.actuallyadditions.empowered_enori_crystal_block,Empowered Enori Crystal Block,エンパワーエノリクリスタルブロック
block.actuallyadditions.empowered_oil,Empowered Oil,エンパワー油
block.actuallyadditions.empowered_palis_crystal_block,Empowered Palis Crystal Block,エンパワーパリスクリスタルブロック
block.actuallyadditions.empowered_restonia_crystal_block,Empowered Restonia Crystal Block,エンパワーレストニアクリスタルブロック
block.actuallyadditions.empowered_void_crystal_block,Empowered Void Crystal Block,エンパワーボイドクリスタルブロック
block.actuallyadditions.empowerer,Empowerer,エンパワラー
block.actuallyadditions.ender_casing,Ender Casing,エンダー機械筐体
block.actuallyadditions.energizer,Energizer,アイテム充電機
block.actuallyadditions.enervator,Enervator,アイテム放電機
block.actuallyadditions.enori_crystal_block,Enori Crystal Block,エノリクリスタルブロック
block.actuallyadditions.enori_crystal_cluster,White Crystal Cluster,白色のクリスタルの塊
block.actuallyadditions.ethetic_green_block,Ethetic Green Quartz,エセティックグリーンクォーツブロック
block.actuallyadditions.ethetic_green_slab,Ethetic Green Quartz Slab,エセティックグリーンクォーツのハーフブロック
block.actuallyadditions.ethetic_green_stairs,Ethetic Green Quartz Stairs,エセティックグリーンクォーツの階段
block.actuallyadditions.ethetic_green_wall,Ethetic Green Quartz Wall,エセティックグリーンクォーツの塀
block.actuallyadditions.ethetic_white_block,Ethetic Quartz,エセティッククォーツブロック
block.actuallyadditions.ethetic_white_slab,Ethetic Quartz Slab,エセティッククォーツのハーフブロック
