key,source_text,target_text
additionallanterns,Additional Lanterns,追加のランタン
additionallanterns.item_group,Additional Lanterns,追加ランタン
block.additionallanterns.amethyst_chain,Amethyst Chain,アメジストの鎖
block.additionallanterns.amethyst_lantern,Amethyst Lantern,アメジストのランタン
block.additionallanterns.andesite_chain,Andesite Chain,安山岩の鎖
block.additionallanterns.andesite_lantern,Andesite Lantern,安山岩のランタン
block.additionallanterns.basalt_chain,Basalt Chain,玄武岩の鎖
block.additionallanterns.basalt_lantern,Basalt Lantern,玄武岩のランタン
block.additionallanterns.black_amethyst_lantern,Black Amethyst Lantern,黒色のアメジストのランタン
block.additionallanterns.black_andesite_lantern,Black Andesite Lantern,黒色の安山岩のランタン
block.additionallanterns.black_basalt_lantern,Black Basalt Lantern,黒色の玄武岩のランタン
block.additionallanterns.black_blackstone_lantern,Black Blackstone Lantern,黒色のブラックストーンのランタン
block.additionallanterns.black_bone_lantern,Black Bone Lantern,黒色の骨のランタン
block.additionallanterns.black_bricks_lantern,Black Brick Lantern,黒色のレンガのランタン
block.additionallanterns.black_cobbled_deepslate_lantern,Black Cobbled Deepslate Lantern,黒色の深層岩の丸石のランタン
block.additionallanterns.black_cobblestone_lantern,Black Cobblestone Lantern,黒色の丸石のランタン
block.additionallanterns.black_copper_lantern,Black Copper Lantern,黒色の銅のランタン
block.additionallanterns.black_crimson_lantern,Black Crimson Lantern,黒色の真紅のランタン
block.additionallanterns.black_dark_prismarine_lantern,Black Dark Prismarine Lantern,黒色のダークプリズマリンのランタン
block.additionallanterns.black_deepslate_bricks_lantern,Black Deepslate Bricks Lantern,黒色の深層岩レンガのランタン
block.additionallanterns.black_diamond_lantern,Black Diamond Lantern,黒色のダイヤモンドのランタン
block.additionallanterns.black_diorite_lantern,Black Diorite Lantern,黒色の閃緑岩のランタン
block.additionallanterns.black_emerald_lantern,Black Emerald Lantern,黒色のエメラルドのランタン
block.additionallanterns.black_end_stone_lantern,Black End Stone Lantern,黒色のエンドストーンのランタン
block.additionallanterns.black_exposed_copper_lantern,Black Exposed Copper Lantern,黒色の風化した銅のランタン
block.additionallanterns.black_gold_lantern,Black Gold Lantern,黒色の金のランタン
block.additionallanterns.black_granite_lantern,Black Granite Lantern,黒色の花崗岩のランタン
block.additionallanterns.black_iron_lantern,Black Iron Lantern,黒色の鉄のランタン
block.additionallanterns.black_mossy_cobblestone_lantern,Black Mossy Cobblestone Lantern,黒色の苔むした丸石のランタン
block.additionallanterns.black_netherite_lantern,Black Netherite Lantern,黒色のネザライトのランタン
block.additionallanterns.black_normal_lantern,Black Lantern,黒色のランタン
block.additionallanterns.black_normal_nether_bricks_lantern,Black Nether Brick Lantern,黒色のネザーレンガのランタン
block.additionallanterns.black_normal_sandstone_lantern,Black Sandstone Lantern,黒色の砂岩のランタン
block.additionallanterns.black_obsidian_lantern,Black Obsidian Lantern,黒色の黒曜石のランタン
block.additionallanterns.black_oxidized_copper_lantern,Black Oxidized Copper Lantern,黒色の酸化した銅のランタン
block.additionallanterns.black_prismarine_lantern,Black Prismarine Lantern,黒色のプリズマリンのランタン
block.additionallanterns.black_purpur_lantern,Black Purpur Lantern,黒色のプルプァのランタン
block.additionallanterns.black_quartz_lantern,Black Quartz Lantern,黒色のクォーツのランタン
block.additionallanterns.black_red_nether_bricks_lantern,Black Red Nether Brick Lantern,黒色の赤いネザーレンガのランタン
block.additionallanterns.black_red_sandstone_lantern,Black Red Sandstone Lantern,黒色の赤い砂岩のランタン
block.additionallanterns.black_smooth_stone_lantern,Black Smooth Stone Lantern,黒色の滑らかな石のランタン
block.additionallanterns.black_stone_bricks_lantern,Black Stone Bricks Lantern,黒色の石レンガのランタン
block.additionallanterns.black_stone_lantern,Black Stone Lantern,黒色の石のランタン
block.additionallanterns.black_warped_lantern,Black Warped Lantern,黒色の歪んだランタン
block.additionallanterns.black_waxed_copper_lantern,Black Waxed Copper Lantern,黒色の錆止めされた銅のランタン
block.additionallanterns.black_waxed_exposed_copper_lantern,Black Waxed Exposed Copper Lantern,黒色の錆止めされた風化した銅のランタン
block.additionallanterns.black_waxed_oxidized_copper_lantern,Black Waxed Oxidized Copper Lantern,黒色の錆止めされた酸化した銅のランタン
block.additionallanterns.black_waxed_weathered_copper_lantern,Black Waxed Weathered Copper Lantern,黒色の錆止めされた錆びた銅のランタン
block.additionallanterns.black_weathered_copper_lantern,Black Weathered Copper Lantern,黒色の錆びた銅のランタン
block.additionallanterns.blackstone_chain,Blackstone Chain,ブラックストーンの鎖
block.additionallanterns.blackstone_lantern,Blackstone Lantern,ブラックストーンのランタン
block.additionallanterns.blue_amethyst_lantern,Blue Amethyst Lantern,青色のアメジストのランタン
block.additionallanterns.blue_andesite_lantern,Blue Andesite Lantern,青色の安山岩のランタン
block.additionallanterns.blue_basalt_lantern,Blue Basalt Lantern,青色の玄武岩のランタン
block.additionallanterns.blue_blackstone_lantern,Blue Blackstone Lantern,青色のブラックストーンのランタン
block.additionallanterns.blue_bone_lantern,Blue Bone Lantern,青色の骨のランタン
block.additionallanterns.blue_bricks_lantern,Blue Brick Lantern,青色のレンガのランタン
block.additionallanterns.blue_cobbled_deepslate_lantern,Blue Cobbled Deepslate Lantern,青色の深層岩の丸石のランタン
block.additionallanterns.blue_cobblestone_lantern,Blue Cobblestone Lantern,青色の丸石のランタン
block.additionallanterns.blue_copper_lantern,Blue Copper Lantern,青色の銅のランタン
block.additionallanterns.blue_crimson_lantern,Blue Crimson Lantern,青色の真紅のランタン
block.additionallanterns.blue_dark_prismarine_lantern,Blue Dark Prismarine Lantern,青色のダークプリズマリンのランタン
