key,source_text,target_text
advanced_ae.configuration.Miscellaneous,Miscellaneous,その他
advanced_ae.configuration.enableEffects,Enable Effects,効果を有効化
advanced_ae.configuration.quantum armor,Quantum Armor,量子防具
advanced_ae.configuration.quantum computer,Quantum Computer,量子コンピュータ
advanced_ae.configuration.quantumArmorAttackSpeedBoost,Attack Speed Boost,攻撃速度ブースト
advanced_ae.configuration.quantumArmorEvasionChance,Evasion Chance,回避確率
advanced_ae.configuration.quantumArmorHpBufferHearts,HP Buffer Hearts,HPバッファハート
advanced_ae.configuration.quantumArmorLuckBoost,Luck Boost,幸運ブースト
advanced_ae.configuration.quantumArmorMaxFlightSpeed,Maximum Flight Speed,最大飛行速度
advanced_ae.configuration.quantumArmorMaxJumpHeight,Maximum Jump Height,最大ジャンプ高さ
advanced_ae.configuration.quantumArmorMaxMagnetRange,Maximum Magnet Range,最大磁力範囲
advanced_ae.configuration.quantumArmorMaxReachBoost,Maximum Reach Boost,最大リーチブースト
advanced_ae.configuration.quantumArmorMaxSprintSpeed,Maximum Sprint Speed,最大スプリント速度
advanced_ae.configuration.quantumArmorMaxStepHeight,Maximum Step Height,最大ステップ高さ
advanced_ae.configuration.quantumArmorMaxWalkSpeed,Maximum Walk Speed,最大歩行速度
advanced_ae.configuration.quantumArmorPercentageDamageAbsorption,Percentage Damage Absorption,パーセンテージダメージ吸収
advanced_ae.configuration.quantumArmorRegenerationPerTick,Regeneration Per Tick,1ティックあたりの再生
advanced_ae.configuration.quantumArmorStrengthBoost,Strength Boost,強化
advanced_ae.configuration.quantumArmorSwimSpeedBoost,Swim Speed Boost,水中速度ブースト
advanced_ae.configuration.quantumComputerDataEntanglerMultiplication,Data Entangler Multiplication,データエンタグラー乗算
advanced_ae.configuration.quantumComputerMaxMultiThreaders,Maximum Multi-Threaders,最大マルチスレッダー数
advanced_ae.configuration.quantumComputerMaxSize,Maximum Quantum Computer Size,最大量子コンピュータサイズ
advanced_ae.configuration.quantumComputerMultiThreaderMultiplication,Multi-Threader Multiplication,マルチスレッダー乗算
advanced_ae.configuration.quantumComputermaxDataEntanglers,Maximum Data Entanglers,最大データエンタグラー数
advanced_ae.configuration.throughputMonitorCacheSize,Throughput Monitor Cache Size,スループットモニターキャッシュサイズ
block.advanced_ae.adv_pattern_provider,Advanced Extended Pattern Provider,発展拡張型パターンプロバイダー
block.advanced_ae.data_entangler,Quantum Data Entangler,量子データエンタングラー
block.advanced_ae.quantum_accelerator,Quantum Computer Accelerator,量子コンピューター加速器
block.advanced_ae.quantum_alloy_block,Quantum Alloy Block,量子合金ブロック
block.advanced_ae.quantum_alloy_slab,Quantum Alloy Slab,量子合金のハーフブロック
block.advanced_ae.quantum_alloy_stairs,Quantum Alloy Stairs,量子合金の階段
block.advanced_ae.quantum_alloy_wall,Quantum Alloy Wall,量子合金の壁
block.advanced_ae.quantum_core,Quantum Computer Core,量子コンピューターコア
block.advanced_ae.quantum_crafter,Quantum Crafter,量子クラフター
block.advanced_ae.quantum_infusion_block,Quantum Infusion,量子注入液
block.advanced_ae.quantum_multi_threader,Quantum Computer Multi-Threader,量子コンピュータ多重スレッド処理装置
block.advanced_ae.quantum_storage_128,128M Quantum Computer Storage,128M 量子コンピュータストレージ
block.advanced_ae.quantum_storage_256,256M Quantum Computer Storage,256M 量子コンピュータストレージ
block.advanced_ae.quantum_unit,Quantum Crafting Unit,量子クラフトユニット
block.advanced_ae.reaction_chamber,Reaction Chamber,Reaction 室
block.advanced_ae.small_adv_pattern_provider,Advanced Pattern Provider,発展型パターンプロバイダー
curios.identifier.adv_pattern_encoder,Pattern Encoder,パターンエンコーダ
emi.category.advanced_ae.EmiReactionChamber,Reaction Chamber,Reaction 室
emi.text.advanced_ae.AdvPatternProviderEmiDesc,Created by upgrading an Advanced Pattern Provider with a capacity upgrade,発展型パターンプロバイダーを容量アップグレードでアップグレードすることで作成されます
emi.text.advanced_ae.ReactionChamberEnergy,Used Power: %dk FE,使用電力: %dk FE
emi.text.advanced_ae.ShatteredSingularityDescription,This item is produced by chemical reaction in the reaction chamber and has several applications in quantum computing.,このアイテムは反応室内にて行われる化学反応によって作成され、量子コンピューティングに使用されます。
exported_setting.advanced_ae.allowed_output_sides,Allowed Sides,許可された側面
fluid.advanced_ae.quantum_infusion_flowing,Quantum Infusion,量子注入液
fluid.advanced_ae.quantum_infusion_source,Quantum Infusion,量子注入液
fluid_type.advanced_ae.quantum_infusion_type,Quantum Infusion,量子注入液
gui.advanced_ae.AdvPatternEncoder,Advanced Pattern Encoder,発展型パターンエンコーダー
gui.advanced_ae.AdvPatternProvider,ME Adv. Pattern Provider,ME発展型パターンプロバイダー
gui.advanced_ae.ApplyToAll,Apply to all,すべてに適用
gui.advanced_ae.ItemNotCraftable,No patterns available for Pick-Crafting the current target.,現在のターゲットをピッククラフトするためのパターンはありません。
gui.advanced_ae.MagnetRangeSlider,Pickup Range,収集範囲
gui.advanced_ae.NoAvailableTarget,No suitable target available for Pick-Craft.,ピッククラフトに適したターゲットがありません。
gui.advanced_ae.OutputInventory,Output,出力
gui.advanced_ae.OverdriveThroughputMonitorValue,%s%s/t,%s%s/t
gui.advanced_ae.PatternInventory,Pattern Input,パターン入力
gui.advanced_ae.QuantumArmorConfig,Quantum Armor Config,量子アーマー設定
gui.advanced_ae.QuantumArmorSetting,Setting Config,コンフィグ設定
gui.advanced_ae.QuantumCrafter,Quantum Crafter,量子クラフター
gui.advanced_ae.QuantumCrafterPatternConfig,Pattern Configuration,パターン設定
gui.advanced_ae.ReactionChamber,Reaction Chamber,Reaction 室
gui.advanced_ae.SetAmountButtonHint,Middle click to set the amount to keep in stock,ミドルクリックして、在庫を保持する量を設定します
gui.advanced_ae.SlowThroughputMonitorValue,%s%s/m,%s%s/m
gui.advanced_ae.SlowerThroughputMonitorValue,%s%s/10m,%s%s/10m
gui.advanced_ae.StyleConfig,Style Config,スタイル設定
gui.advanced_ae.ThroughputMonitorValue,%s%s/s,%s%s/s
gui.advanced_ae.UpgradeNotEnabledMessage,%s is not enabled.,%s は有効ではありません。
gui.advanced_ae.UpgradeNotInstalledMessage,%s is not installed.,%s はインストールされていません。
gui.tooltips.advanced_ae.AcceleratorThreads,Provides %d co-processing threads per block.,ブロック1つごとに%d個の並列処理を提供します。
gui.tooltips.advanced_ae.AnyButton,Target the face adjacent to the adv. pattern provider,発展型パターンプロバイダーに隣接する面を対象にします。
gui.tooltips.advanced_ae.AttackSpeedTooltip,Boosts the user's attack speed by %s.,使用者の攻撃速度を%sブーストします。
gui.tooltips.advanced_ae.AutoFeedTooltip,Configurable to auto-feed the user with food from the ME system.,MEシステムから食料を使用者に自動供給するように設定可能。
gui.tooltips.advanced_ae.AutoStockTooltip,Configurable to regulate an exact amount of items to be in the user's inventory.,使用者のインベントリにあるアイテムの正確な量を規制するように設定可能。
gui.tooltips.advanced_ae.CamoTooltip,Toggles the visibility of the upgraded armor piece.,アップグレードされた防具の可視性を切り替えます。
gui.tooltips.advanced_ae.ClearButton,Clear,クリア
gui.tooltips.advanced_ae.ClearFluidButtonHint,Flush the remaining fluid from the machine.,残りの液体を機械からきれいさっぱり消去します。
gui.tooltips.advanced_ae.ClearSidesButtonHint,Disable output from all sides of the machine.,機械のすべての面からの出力を無効にします。
gui.tooltips.advanced_ae.ConfigurePatternButton,Configure Pattern,パターン設定
gui.tooltips.advanced_ae.CoreTooltip,Provides 256M crafting storage and %d co-processing threads.,256Mのクラフトストレージと%dの並列処理スレッドを提供します。
gui.tooltips.advanced_ae.CrafterTerminalSetting,Quantum Crafter Terminal,クアンタムクラフター端末
gui.tooltips.advanced_ae.DataEntanglerMultiplication,Multiplies the total storage in the Quantum Computer Multiblock by %d. Limited to %d per multiblock.,量子コンピューターの合計ストレージに%dを掛けます。マルチブロックあたり%dに制限されています。
gui.tooltips.advanced_ae.DirectionalOutput,Directional Output,出力方向
gui.tooltips.advanced_ae.DirectionalOutputHint,Configure which directions are allowed for output auto-export,自動エクスポートを許可する方向を設定します。
gui.tooltips.advanced_ae.Disabled,Disabled,無効
gui.tooltips.advanced_ae.DownButton,Target the DOWN face of the machine.,機械の下面を対象にします。
gui.tooltips.advanced_ae.EastButton,Target the EAST face of the machine.,機械の東面を対象にします。
gui.tooltips.advanced_ae.EnablePatternButton,Enabled/Disable,有効/無効
gui.tooltips.advanced_ae.Enabled,Enabled,有効
gui.tooltips.advanced_ae.EvasionTooltip,Enables damage avoidance of any type with a %s%% chance.,%s%%の確率で任意のダメージ回避を行うようにします。
gui.tooltips.advanced_ae.FilteredImport,Filtered Import,フィルター済みインポート
gui.tooltips.advanced_ae.FilteredImportOff,Input is unrestricted,入力は制限なし
gui.tooltips.advanced_ae.FilteredImportOn,Input must match crafting outputs while crafting jobs are active,クラフトジョブが活動中は入力がクラフト出力と一致する必要があります
gui.tooltips.advanced_ae.FlightDriftTooltip,Removes flight drift. Requires basic flight upgrade.,飛行ドリフトを削除します。基本飛行アップグレードが必要です。
gui.tooltips.advanced_ae.FlightTooltip,Enables Creative Flight.,クリエイティブ飛行を可能にします。
gui.tooltips.advanced_ae.HideOnCrafterTerminal,Hide on Quantum Crafter Terminal,クアンタムクラフターターミナルで非表示にする
gui.tooltips.advanced_ae.HpBufferTooltip,Boosts the user's max health by +%s.,使用者の最大体力を+%s増加します。
gui.tooltips.advanced_ae.HudTooltip,Adds a HUD with configurable safety checks and information about the ME System.,設定可能な安全チェックとMEシステムに関する情報を備えたHUDを追加します。
gui.tooltips.advanced_ae.InsufficientPower,Insufficient Power,電力不足
gui.tooltips.advanced_ae.InsufficientPowerDetails,Unable to extract enough power for full speed progress. Check guide for possible solutions.,フルスピードで進行するのに十分な電力を引き出すことができません。可能な解決策については、ガイドを確認してください。
gui.tooltips.advanced_ae.InvalidHexInput,Invalid hex code input,無効な16進コード入力
gui.tooltips.advanced_ae.InvalidPattern,Invalid Pattern,無効なパターン
gui.tooltips.advanced_ae.InvalidPatternDetails,Invalid Pattern detected and highlighted. Recipes that consume durability are not supported.,無効なパターンが検出されハイライトされました。耐久値を消費するレシピはサポートされていません。
gui.tooltips.advanced_ae.JumpHeightTooltip,Boosts the jump height by %s.,ジャンプの高さが%s上がります。
gui.tooltips.advanced_ae.LavaImmunityTooltip,Makes the user immune to lava and fire.,使用者は溶岩や火の影響を受けなくなります。
gui.tooltips.advanced_ae.LuckTooltip,Boosts the user's luck by %s.,使用者の運を%s増加します。
gui.tooltips.advanced_ae.MagnetTooltip,Configurable to pull items from the world to user inventory. Maximum range of %s.,ワールドから使用者のインベントリにアイテムを搬出するように設定可能。最大範囲は %s です。
gui.tooltips.advanced_ae.MeExport,ME Export,ME出力
gui.tooltips.advanced_ae.MeExportOff,Produces items will be exported to allowed nearby containers,生産されたアイテムは、許可された近くのコンテナにエクスポートされます
gui.tooltips.advanced_ae.MeExportOn,Produced items will be exported to the ME System.,生産されたアイテムはMEシステムにエクスポートされます。
gui.tooltips.advanced_ae.MultiThreaderMultiplication,Multiplies the amount of co-processors in the Quantum Computer Multiblock by %d. Limited to %d per multiblock.,量子コンピューターの並列処理数に%dを掛けます。マルチブロックあたり%dに制限されています。
gui.tooltips.advanced_ae.NightVisionTooltip,Enables Night Vision.,暗視を有効化
gui.tooltips.advanced_ae.NorthButton,Target the NORTH face of the machine.,機械の北面を対象にします。
gui.tooltips.advanced_ae.NumberTextFieldInputHint,Confirm the input using the %s key.,%s キーを使用して入力を確認します。
gui.tooltips.advanced_ae.NumberTextFieldOutputHint,"Confirm the input using the %s key.
Setting the value to 0 removes the limit.","%s キーを使用して入力を確認します。
値を 0 に設定すると、制限が解除されます。"
gui.tooltips.advanced_ae.PatternProviderCapacityUpgrade,Upgrades an Advanced Pattern Provider to the maximum amount of pattern slots,発展型パターンプロバイダーを最大数のパターンスロットにアップグレードします
gui.tooltips.advanced_ae.PatternProviderUpgrade,Upgrades a normal or extended pattern provider to the advanced version with the same amount of pattern slots,通常のパターンプロバイダーまたは拡張型パターンプロバイダーを、同じ量のパターンスロットを持つ発展的なバージョンにアップグレードします
gui.tooltips.advanced_ae.PickCraftTooltip,Enables the ability to request craft of the targeted block if a pattern is available in the ME system.,MEシステムでパターンが使用可能な場合に、ターゲットブロックのクラフトを要求する機能を有効にします。
gui.tooltips.advanced_ae.PortableWorkbenchTooltip,Enables the use of a portable cell workbench.,ポータブルセルワークベンチの使用を可能にします。
gui.tooltips.advanced_ae.QuantumArmorFallDamageTooltip,Negates fall damage when worn.,着用時の落下ダメージを無効化します。
gui.tooltips.advanced_ae.QuantumArmorHotkeyTooltip,Press [%s] with this equipped to configure.,これを装備した状態で[%s]を押して構成します。
gui.tooltips.advanced_ae.QuantumArmorStableFootingTooltip,Negates mining speed penalty when flying.,飛行中の採掘速度のペナルティを無効にします。
gui.tooltips.advanced_ae.QuantumArmorTooltip,Upgrades:,アップグレード:
gui.tooltips.advanced_ae.QuantumStructureTooltip,Used in the outside layer of the Quantum Computer Multiblock. Maximum multiblock size is %1$dx%1$dx%1$d.,量子コンピューターマルチブロックの外層で使用されています。最大マルチブロックサイズは %1$dx%1$dx%1$d です。
gui.tooltips.advanced_ae.QuantumUpgradeTooltip,Quantum Armor Upgrade,量子アーマーアップグレード
gui.tooltips.advanced_ae.ReachTooltip,Boosts the user's reach by %s.,使用者のリーチを%s増やします。
gui.tooltips.advanced_ae.RechargingTooltip,"Enables armor recharging if linked to the grid. When installed in the chest slot, also recharges the inventory slots.",グリッドにリンクされている場合、アーマーの充電を有効にします。チェストスロットに取り付けると、インベントリスロットも充電できます。
gui.tooltips.advanced_ae.RegenerationTooltip,Enables a regeneration effect.,再生効果を有効にします。
gui.tooltips.advanced_ae.RegulateCategory,Regulate,調整
gui.tooltips.advanced_ae.RegulateOff,Keep exported items even if over the filters,フィルタを超えてもエクスポートされたアイテムを保持する
gui.tooltips.advanced_ae.RegulateOn,Attempt to import what exceeds the filters,フィルターを超えるもののインポートを試みました
gui.tooltips.advanced_ae.ShowAllCrafters,Show all Quantum Crafters,すべてのクアンタムクラフターを表示
gui.tooltips.advanced_ae.ShowCraftersCategory,Display Mode,表示モード
gui.tooltips.advanced_ae.ShowNonFullCrafters,Show visible Quantum Crafters with empty slots,空のスロットを持つ可視量子クラフタを表示
gui.tooltips.advanced_ae.ShowOnCrafterTerminal,Show on Quantum Crafter Terminal,量子クラフター端末で表示
gui.tooltips.advanced_ae.ShowVisibleCrafters,Show visible Quantum Crafters,可視量子クラフターを表示
gui.tooltips.advanced_ae.SouthButton,Target the SOUTH face of the machine.,機械の南面を対象にします。
gui.tooltips.advanced_ae.SprintSpeedTooltip,Boosts the sprinting speed.,ダッシュ速度を上げます。
gui.tooltips.advanced_ae.StepAssistTooltip,Enables step assist. Maximum step of %s.,ステップアシストを有効にします。最大ステップは%sです。
gui.tooltips.advanced_ae.StrengthTooltip,Boosts the user's strength by %s.,使用者の攻撃力を%s増加します。
gui.tooltips.advanced_ae.SwimSpeedTooltip,Boosts the user's swimming speed.,使用者の水泳速度を向上させます。
gui.tooltips.advanced_ae.TankAmount,%s / %s B,%s / %s B
gui.tooltips.advanced_ae.TankEmpty,Empty,空
gui.tooltips.advanced_ae.UpButton,Target the UP face of the machine.,機械の上面を対象にします。
gui.tooltips.advanced_ae.UpgradeBaseTooltip,Base upgrade card required to craft the others.,いろんなものを作るための基礎的なアップグレードカード
gui.tooltips.advanced_ae.UpgradeNotInstalled," (Not Installed)"," (未インストール)"
gui.tooltips.advanced_ae.UpgradeTooltip,Upgrade available for:,アップグレードが利用可能:
gui.tooltips.advanced_ae.WalkSpeedTooltip,Boosts the walking speed.,歩行速度を上げます。
gui.tooltips.advanced_ae.WaterBreathingTooltip,Enables breathing under water.,水中呼吸を可能にします。
gui.tooltips.advanced_ae.WestButton,Target the WEST face of the machine.,機械の西面を対象にします。
gui.upgrades.advanced_ae.AttackSpeedUpgrade,Attack Speed,攻撃速度
gui.upgrades.advanced_ae.AutoFeedUpgrade,Auto Feed,自動給餌
gui.upgrades.advanced_ae.AutoStockUpgrade,Auto Stock,自動在庫
gui.upgrades.advanced_ae.CamoUpgrade,Camo,カモ
gui.upgrades.advanced_ae.EmptyUpgrade,Empty,空
gui.upgrades.advanced_ae.EvasionUpgrade,Evasion,回避
gui.upgrades.advanced_ae.FlightUpgrade,Flight,飛行
gui.upgrades.advanced_ae.HPBufferUpgrade,HP Buffer,HPバッファ
gui.upgrades.advanced_ae.JumpHeightUpgrade,Jump Height,ジャンプ高さ
gui.upgrades.advanced_ae.LavaImmunityUpgrade,Lava Immunity,溶岩免疫
