key,source_text,target_text
tile.ae2stuff.encoder.name,Pattern Encoder,パターンエンコーダ
tile.ae2stuff.grower.name,Crystal Growth Chamber,結晶成長室
tile.ae2stuff.inscriber.name,Advanced Inscriber,発展型刻印機
tile.ae2stuff.wireless.name,Wireless Connector,無線コネクタ
item.ae2stuff.wireless_kit.name,Wireless Setup Kit,無線設定キット
item.ae2stuff.visualiser.name,Network Visualisation Tool,ネットワーク可視化ツール
ae2stuff.error.not_connected,Network not connected,ネットワークに接続されていません
ae2stuff.waila.sleep.true,Sleeping,就寝中
ae2stuff.waila.sleep.false,Working,動作
ae2stuff.waila.power,%s / %s AE,%s / %s AE
ae2stuff.waila.wireless.connected,"Connected to %s,%s,%s","%s,%s,%s と接続中"
ae2stuff.waila.wireless.notconnected,Not Connected,未接続
ae2stuff.waila.wireless.channels,Channels: %s,チャンネル数: %s
ae2stuff.waila.wireless.power,Power Used: %s AE/t,消費パワー: %s AE/t
ae2stuff.gui.lock.on,Locked - Can't be removed with automation,ロック - 中身を維持します
ae2stuff.gui.lock.off,Unlocked - Can be removed with automation,アンロック - 中身を維持しません
ae2stuff.gui.lock.note,If no process is ongoing and middle slot is empty,素材が無くなるまでクラフトします
ae2stuff.gui.recipes,Recipes,レシピ
ae2stuff.wireless.tool.empty,Click Wireless Connector to bind,無線コネクタと接続するのに使います
ae2stuff.wireless.tool.bound1,"Bound to %s,%s,%s","接続 %s,%s,%s"
ae2stuff.wireless.tool.bound2,Click other Wireless Connector to connect,接続する為に、他の無線コネクタをクリックします
ae2stuff.wireless.tool.connected,"Connected to %s,%s,%s","%s,%s,%s と接続中"
ae2stuff.wireless.tool.failed,Connection failed,接続に失敗しました
ae2stuff.wireless.tool.dimension,Both connectors must be in the same dimension,コネクタ同士は同じディメンションである必要があります
ae2stuff.wireless.tool.noexist,Bound connector does not exist,接続先のコネクタが存在しません
ae2stuff.wireless.tool.security.network,Security violation - networks can't connect,セキュリティ違反 - ネットワークに接続できません
ae2stuff.wireless.tool.security.player,Security violation - you are not allowed to modify this network,セキュリティ違反 - あなたはこのネットワークを変更することはできません
ae2stuff.visualiser.bound,"Visualising network at %s,%s,%s","%s,%s,%s のネットワークを視覚化"
ae2stuff.visualiser.mode,Mode:,モード:
ae2stuff.visualiser.set,Mode changed to %s,モード切替 %s
ae2stuff.visualiser.mode.full,Show Everything,全て表示
ae2stuff.visualiser.mode.nodes,Show Nodes,ノードを表示
ae2stuff.visualiser.mode.channels,Show Channels,チャンネル図を表示
ae2stuff.visualiser.mode.nonum,Show Channels and Nodes,チャンネル図とノードを表示
ae2stuff.visualiser.mode.p2p,Show P2P Links,P2Pを表示
tile.ae2stuff.Encoder.name,Pattern Encoder,パターンエンコーダ
tile.ae2stuff.Grower.name,Crystal Growth Chamber,結晶成長室
tile.ae2stuff.Inscriber.name,Advanced Inscriber,発展型刻印機
tile.ae2stuff.Wireless.name,Wireless Connector,無線コネクタ
item.ae2stuff.WirelessKit.name,Wireless Setup Kit,無線設定キット
item.ae2stuff.Visualiser.name,Network Visualisation Tool,ネットワーク可視化ツール
