key,source_text,target_text
aetherworks.decimal_format.heat,0,0
aetherworks.jei.recipe.aetherium_anvil,Aetherium Forging,アーテリウム鍛造テンプレート
aetherworks.jei.recipe.aetherium_anvil.difficulty.1,§bTrivial,§b簡単
aetherworks.jei.recipe.aetherium_anvil.difficulty.2,§9Novice,§9初心者
aetherworks.jei.recipe.aetherium_anvil.difficulty.3,§aEasy,§a簡単
aetherworks.jei.recipe.aetherium_anvil.difficulty.4,§eNormal,§e通常
aetherworks.jei.recipe.aetherium_anvil.difficulty.5,§cHard,§c困難
aetherworks.jei.recipe.aetherium_anvil.difficulty.6,§1Challenging,§1困難
aetherworks.jei.recipe.aetherium_anvil.difficulty.7,§5Exhaustive,§5完全な
aetherworks.jei.recipe.aetherium_anvil.difficulty.title,Rating: ,評価: 
aetherworks.jei.recipe.aetherium_anvil.ember,  /Hit: %s,/攻撃: %s
aetherworks.jei.recipe.aetherium_anvil.hits,x%s,x%s
aetherworks.jei.recipe.aetherium_anvil.temperature.value,%s° <---> %s°,%s° <---> %s°
aetherworks.jei.recipe.metal_forming,Metal Forming,金属成形
aetherworks.jei.recipe.metal_forming.temp_value,≥ %s°,≥ %s°
aetherworks.jei.recipe.tool_station,Tool Forge,ツール・フォージ
aetherworks.jei.recipe.tool_station.hits,x%s,x%s
aetherworks.jei.recipe.tool_station.temp_value,≥ %s°,≥ %s°
aetherworks.tooltip.aoe_off,AOE: Disabled,範囲攻撃: 無効
aetherworks.tooltip.aoe_on,AOE: Enabled,範囲効果: 有効
aetherworks.tooltip.axe_head_ender,§oEnd Infused,§oエンドインフィューズ
aetherworks.tooltip.axe_head_sculk,§oSculk Infused,§oSculkインフィューズ
aetherworks.tooltip.crossbow_limbs_magma,§oMagma Infused,§oマグマインフィューズ
aetherworks.tooltip.crossbow_limbs_quartz,§oQuartz Infused,§oクォーツインフューズド
aetherworks.tooltip.crown_gem,Socketed Gem:,ソケットされた宝石:
aetherworks.tooltip.crown_target.friends,Imbuing: Self & Friends,インビュイング: 自己と仲間
aetherworks.tooltip.crown_target.hostiles,Imbuing: Hostiles,エンチャント：敵
aetherworks.tooltip.crown_target.self,Imbuing: Self,インブーニング: 自分自身
aetherworks.tooltip.cycle_mode,Press '%s' to change mode.,モードを変更するには'%s'を押してください。
aetherworks.tooltip.gem_effect,Imbued with:,付与中:
aetherworks.tooltip.geode,§oWhat's inside?,§o中身は？
aetherworks.tooltip.goggles.item.lexicon,Lexicon,辞書
aetherworks.tooltip.heatdial.heat,Heat: %s/%s,熱: %s/%s
aetherworks.tooltip.hoe_head_amethyst,§oAmethyst Infused,§oアメジスト注入
aetherworks.tooltip.hoe_head_honey,§oHoney Infused,ハニー注入
aetherworks.tooltip.must_work_crude,§oMust be worked on an aetherium anvil to remove impurities.,エーテルウィングで作業し、不純物を除去してください。
aetherworks.tooltip.must_work_uninfused,"§oSturdy, but lacking power.",§o頑丈だが、電力不足。
aetherworks.tooltip.not_enough_ember,Not enough Ember!,エンバーが足りません！
aetherworks.tooltip.pickaxe_head_aether,§oAetherium Infused,アーテリウム注入
aetherworks.tooltip.pickaxe_head_ember,§oEmber Infused,§oエムバーインフィューズ
aetherworks.tooltip.shard,§oIt shimmers in the moonlight.,月光にきらめいている。
aetherworks.tooltip.shovel_head_prismarine,§oPrismarine Infused,プリズマリンに浸透した
aetherworks.tooltip.shovel_head_slime,§oSlime Infused,§oスライムインフィューズ
block.aetherworks.aether_forge,Aetherium Forge,アーチェリウム・フォージ
block.aetherworks.aether_gas_block,Aetherium Aerosol,アーテリウム化合物
