key,source_text,target_text
aiotbotania.hoeMode,§3Till soil,§3土を耕す
aiotbotania.hoeModePath,§3Till soil and create grass paths,§3土を耕して草道を作る
aiotbotania.mythicbotany.disabled,Please install MythicBotany!,MythicBotany をインストールしてください。
aiotbotania.toggleMode,§6Mode:,§6モード:
aiotbotania.utilityMode,§ePlace down torches and saplings,§e苗木と松明を置く
botania.entry.livingrockTools,Livingrock Tools,リビングロックのツール
botania.entry.livingwoodTools,Livingwood Tools,リビングウッドのツール
botania.page.elfGear10,The $(1)Elementium Sword$(0) will increase the chance of a $(4)Pixie$(0) spawning when hit (this holds true when no $(1)Elementium Armor$(0) is worn) and increases the strength of any $(4)Pixies$(0) spawned.,$(1)エレメンチウムの剣$(0) はヒット時に $(4)ピクシー$(0) が出現する確率を高めます (これは $(1)エレメンチウムの鎧$(0) を着用していない場合にも当てはまります)。 スポーンされた $(4)ピクシー$(0) の強さ。
botania.page.elfGear16,"The $(1)Elementium Hoe$(0) by Botania now tills a dirt block or something similar into a farmland block which doesn't break by jumping on it. With this farmland you don't need water nearby, the block is wet everytime. This farmland increases the growth speed of crops. When right-clicking on farmland the farmland converts back to grass.",Botania の $(1)エレメンチウムのクワ$(0) は、土ブロックなどを耕して農地ブロックにし、飛び乗っても壊れないようにします。 この農地では近くに水を必要とせず、ブロックは常に濡れています。 この農地は作物の成長速度を高めます。 農地を右クリックすると、農地が草に戻ります。
botania.page.elfGear17,"Lastly, the $(1)Elementium AIOT$(0) fusions all the special effects of the other $(1)Elementium$(0) tools. <br>Because you can place $(4)saplings$(0) and $(4)torches$(0) with axe and pickaxe, there is a mode which can be toggled by $(4)shift-right clicking$(0). One mode is for tilling and create grass paths, the other mode is for placing saplings and torches.",最後に、$(1)エレメンチウムのパクセル$(0) は、他の $(1)エレメンチウム$(0) ツールの特殊効果をすべて融合させています。 <br>$(4)苗木$(0)と$(4)たいまつ$(0)は斧とつるはしで配置できるため、$(4)Shiftキーを押しながら右クリックすることで切り替えることができるモードがあります$( 0)。 1 つのモードは耕して草の道を作成するためのもので、もう 1 つのモードは苗木や松明を配置するためのものです。
botania.page.elfGear18,The $(1)Elementium AIOT$(0),$(1)エレメンチウムのパクセル$(0)
botania.page.livingrockTools0,"$(1)Livingrock$(0) can be shaped into tools by AIOT Botania.<br>The tools have properties like $(1)Stone$(0), albeit somewhat superior in enchantability, durability and a few tweaks. Whenever a $(1)Livingrock$(0) item is to take damage, if there's $(4)Mana$(0) available in the inventory (such as a $(1)Mana Tablet$(0)), it'll use that instead.<br>The tools are like improved vanilla tools.",$(1)リビングロック$(0) は AIOT Botania でツールに成形できます。<br>ツールは $(1)石$(0) のような特性を持っていますが、エンチャント性、耐久性、およびいくつかの調整の点で多少優れています。 $(1)リビングロック$(0) アイテムがダメージを受けるたびに、在庫に $(4)マナ$(0) があれば ($(1)マナタブレット$(0) など)、 代わりにそれを使用します。<br>このツールは、改良されたバニラ ツールのようなものです。
botania.page.livingrockTools1,The $(1)Livingrock Sword$(0),$(1)リビングロックの剣$(0)
botania.page.livingrockTools2,The $(1)Livingrock Axe$(0),リビングロックの斧$(0)
botania.page.livingrockTools3,The $(1)Livingrock Pickaxe$(0),$(1)リビングロックのツルハシ$(0)
botania.page.livingrockTools4,The $(1)Livingrock Shovel$(0),リビングロックのシャベル$(0)
botania.page.livingrockTools5,The $(1)Livingrock Shears$(0),リビングロックのハサミ$(0)
botania.page.livingrockTools6,The $(1)Livingrock Hoe$(0),$(1)リビングロックのクワ$(0)
