key,source_text,target_text
advancements.alexsmobs.acacia_blossom.desc,Obtain an Acacia Blossom from breaking Acacia Leaves,アカシアの葉からアカシアの花を手に入れる
advancements.alexsmobs.acacia_blossom.title,Flowers of the Savanna,サバンナに咲く花
advancements.alexsmobs.alligator_snapping_turtle.desc,Encounter an Alligator Snapping Turtle,ワニガメと遭遇する
advancements.alexsmobs.alligator_snapping_turtle.title,Alligator In Name Only,名前だけのワニ
advancements.alexsmobs.bald_eagle_challenge.desc,Kill any creature from 100 blocks away with an eagle wearing a hood.,フードをかぶり、ワシを使って100ブロック離れたところから生き物を倒す
advancements.alexsmobs.bald_eagle_challenge.title,Winning Play,勝つためのプレー
advancements.alexsmobs.banana.desc,Obtain a Banana,バナナを入手する
advancements.alexsmobs.banana.title,Gone Bananas!,そんなバナナ
advancements.alexsmobs.banana_slug.desc,Encounter a Banana Slug. Not so appetising.,バナナナメクジに遭遇する。食欲をそそられない
advancements.alexsmobs.banana_slug.title,Convergent Evolution...,収斂進化…
advancements.alexsmobs.bison_spyglass.desc,Observe a Bison through the lens of a Spyglass.,望遠鏡でバイソンを見る
advancements.alexsmobs.bison_spyglass.title,Perfect View in the Plains,平野の風景
advancements.alexsmobs.blood_sprayer.desc,Craft a Blood Sprayer from the drops of a Crimson Mosquito,真紅モスキートのドロップから血液スプレーを作る
advancements.alexsmobs.blood_sprayer.title,Spray 'n Pray,スプレー遊び
advancements.alexsmobs.breed_anteater.desc,Breed two Anteaters by feeding them pupae.,ハキリアリの蛹を与えて2匹のアリクイを繁殖させる。
advancements.alexsmobs.breed_anteater.title,Aunt Anteater,どうもアリがとう
advancements.alexsmobs.breed_crocodile.desc,Breed two crocodiles with rotten flesh. Careful not to trample their eggs!,クロコダイルを腐った肉で繁殖させる。卵の上で飛び跳ねないように！
advancements.alexsmobs.breed_crocodile.title,Crikey!,いやはや！
advancements.alexsmobs.breed_froststalker.desc,Breed two Froststalkers with porkchops.,豚肉を与えてフロストストーカーを繁殖させる
advancements.alexsmobs.breed_froststalker.title,Undercover Under Covers,秘密のスパイ
advancements.alexsmobs.breed_hummingbird.desc,Breed two hummingbirds with flowers,ハチドリを花で繁殖させる
advancements.alexsmobs.breed_hummingbird.title,Sugar Rush,シュガーラッシュ
advancements.alexsmobs.capsid.desc,Obtain a Capsid from a slain Enderiophage. Use it to display items or to transfer them upwards,エンダリオファージを倒し、キャプシドを手に入れる。アイテムを飾るか上向きに運ぶのに使える
advancements.alexsmobs.capsid.title,Capsid-19,カプシド-19
advancements.alexsmobs.cosmic_cod.desc,Create a Cosmic Cod by placing a Cod in a Capsid.,タラをキャプシドに入れてコズミックダラを作り出す
advancements.alexsmobs.cosmic_cod.title,Weird Fishes/Arpeggi,奇妙な魚・アルペッジ
advancements.alexsmobs.crimson_mosquito.desc,Encounter a crimson mosquito,真紅モスキートに遭遇する
advancements.alexsmobs.crimson_mosquito.title,Nightmare Fuel,悪夢的燃料
advancements.alexsmobs.crimson_mosquito_larva.desc,Craft a Crimson Mosquito Larvae from a maggot and a special proboscis,ウジと口吻から真紅モスキートの幼虫を作る
advancements.alexsmobs.crimson_mosquito_larva.title,Pest Control,害虫駆除
advancements.alexsmobs.crimson_mosquito_sick.desc,"Feed a Crimson Mosquito a strange, fungal creature covered in Warped Fungus. Watch as the Crimson Mosquito transforms!",真紅モスキートに変わった菌類生物（ウォープドキノコで覆われた）をたべさせて、モスキートが変身するところを見る
advancements.alexsmobs.crimson_mosquito_sick.title,Down with the Sickness,ダウン・ウィズ・ザ・シックネス
advancements.alexsmobs.crocodile.desc,Encounter a Crocodile,クロコダイルに出会う
advancements.alexsmobs.crocodile.title,Chompy,ワニワニパニック
advancements.alexsmobs.crocodile_chestplate.desc,Craft a crocodile chestplate from many crocodile scutes,クロコダイルの鱗からクロコダイルのチェストプレートを作る。
advancements.alexsmobs.crocodile_chestplate.title,Cover me with... scutes?,私を鱗で覆ってくれる？
advancements.alexsmobs.devils_hole_pupfish_bucket.desc,Capture the rarest fish in a bucket.,最も珍しい魚をバケツで捕まえる
advancements.alexsmobs.devils_hole_pupfish_bucket.title,One Chunk Fish,ワン・チャンク・フィッシュ
advancements.alexsmobs.dimensional_carver.desc,"Using the drops of the Void Worm, create the Dimensional Carver, which allows you to dig through the fabric of reality to return home at any given point.",ヴォイドワームのドロップを使って次元のナイフを作成する。現実の布地を切り裂いて、いつでも家に帰ることができる
advancements.alexsmobs.dimensional_carver.title,Break On Through...,突破...
advancements.alexsmobs.echolocator.desc,"Craft an Echolocator, which can reveal nearby caves",エコロケーターを作る。これで近くの洞窟を見つけることができる
advancements.alexsmobs.echolocator.title,Echo-muh-cation!,エコミュケーション!
advancements.alexsmobs.elephant_swag.desc,Place a colored carpet on an elephant,ゾウの背にカーペットを敷く
advancements.alexsmobs.elephant_swag.title,Dressed to Impress,着飾り
advancements.alexsmobs.emu.desc,Encounter an Emu. Exercise caution.,エミューに遭遇する。注意が必要
advancements.alexsmobs.emu.title,It's an Emu!!!,エミューだ！
advancements.alexsmobs.emu_dodge.desc,See an emu dodge a launched projectile.,飛び道具をかわすエミューを見る
advancements.alexsmobs.emu_dodge.title,"Begun, The Emu War Has",エミュー戦争は始まった
advancements.alexsmobs.ender_flu.desc,Catch the Ender Flu effect. Cure it by eating many Chorus Fruit or drinking milk. Be sure not to let it run its toll!,エンダーインフルエンザに感染する。コーラスフルーツをたくさん食べるか牛乳を飲むことで治療できる。ただし影響を受けないようにすること！
advancements.alexsmobs.ender_flu.title,Race Against The Clock,時間との闘い
advancements.alexsmobs.enderiophage.desc,"Encounter an Enderiophage, a giant biomechanical construct found in the End Midlands. Be careful not to catch Ender Flu!",エンド外縁部で見つかる巨大な生体組織、エンダリオファージに遭遇する。エンダーインフルエンザにかからないように注意！
advancements.alexsmobs.enderiophage.title,Ender Distancing,エンダーディスタンシング
advancements.alexsmobs.enderiophage_rocket.desc,"Craft an Enderiophage Rocket, which can be used in place of Firework Rockets when in the End.",エンダリオファージのロケットを作る。これをエンドで花火ロケットの代わりに使える
advancements.alexsmobs.enderiophage_rocket.title,Ad End-stra,アド・エンドストラ
advancements.alexsmobs.endolocator.desc,"Craft an Endolocator, which can reveal nearby End Portal Frames",エンドロケーターを作る。これで近くのエンドポータルフレームを見つけることができる
advancements.alexsmobs.endolocator.title,No End In Sight,終わりの見えない
advancements.alexsmobs.falconry_glove.desc,Craft a Falconry Glove from Leather and Hair of Bear. Use it to pick up and launch tamed eagles!,鷹匠のグローブを革とクマの毛から作る。飼いならされたワシを飛ばすのに使える！
advancements.alexsmobs.falconry_glove.title,Hand In Glove,ハンド・イン・グローブ
advancements.alexsmobs.falconry_hood.desc,Craft a Falconry Hood from Leather and a Roadrunner Feather. Eagles wearing one can be manually directed!,革とロードランナーの羽から鷹匠のフードを作る。身に着けているとワシに指示することができる！
advancements.alexsmobs.falconry_hood.title,Blindsided,不意打ち
advancements.alexsmobs.farseer.desc,"Encounter the Farseer, a monstrous defender of the world border.",ワールドボーダーを守る怪物、ファーシーアに遭遇する
advancements.alexsmobs.farseer.title,Farland Security,ファーランド・セキュリティ
advancements.alexsmobs.fish_bones.desc,Obtain Fish Bones from a Skelewag.,スケルワグから魚の骨を手に入れる
advancements.alexsmobs.fish_bones.title,A Bone to Pick,骨の恨み
advancements.alexsmobs.froststalker_helmet.desc,Craft a Froststalker Helmet to walk amongst Froststalkers undetected.,フロストストーカーのヘルメットを作り、彼らに気づかれないように歩く
advancements.alexsmobs.froststalker_helmet.title,An Impostor Amoung Us,インポスターは誰だ
advancements.alexsmobs.froststalker_kill.desc,Slay a Froststalker.,フロストストーカーを倒す
advancements.alexsmobs.froststalker_kill.title,Ice Scream,アイス・スクリーム
