key,source_text,target_text
item.allthearcanistgear.allthemodium_boots,Allthemodium Arcanist Boots,オルセモディウムの秘術師ブーツ
item.allthearcanistgear.allthemodium_hat,Allthemodium Arcanist Hat,オルセモディウムの秘術師帽
item.allthearcanistgear.allthemodium_leggings,Allthemodium Arcanist Leggings,オルセモディウムの秘術師レギンス
item.allthearcanistgear.allthemodium_robes,Allthemodium Arcanist Robes,オルセモディウムの秘術師ローブ
item.allthearcanistgear.unobtainium_boots,Unobtainium Arcanist Boots,ウノブタニウムの秘術師ブーツ
item.allthearcanistgear.unobtainium_hat,Unobtainium Arcanist Hat,ウノブタニウムの秘術師帽
item.allthearcanistgear.unobtainium_leggings,Unobtainium Arcanist Leggings,ウノブタニウムの秘術師レギンス
item.allthearcanistgear.unobtainium_robes,Unobtainium Arcanist Robes,ウノブタニウムの秘術師ローブ
item.allthearcanistgear.vibranium_boots,Vibranium Arcanist Boots,ヴァイブラニウムの秘術師ブーツ
item.allthearcanistgear.vibranium_hat,Vibranium Arcanist Hat,ヴァイブラニウムの秘術師帽
item.allthearcanistgear.vibranium_leggings,Vibranium Arcanist Leggings,ヴァイブラニウムの秘術師レギンス
item.allthearcanistgear.vibranium_robes,Vibranium Arcanist Robes,ヴァイブラニウムの秘術師ローブ
tab.allthearcanistgear.armor,All The Arcanist Gear,全てのアーカニスト装備
