key,source_text,target_text
block.allthecompressed.acacia_log_block_1x,Acacia Log Block 1x,アカシア原木ブロック 1x
block.allthecompressed.acacia_log_block_2x,Acacia Log Block 2x,アカシア原木ブロック 2x
block.allthecompressed.acacia_log_block_3x,Acacia Log Block 3x,アカシア原木ブロック 3x
block.allthecompressed.acacia_log_block_4x,Acacia Log Block 4x,アカシア原木ブロック 4x
block.allthecompressed.acacia_log_block_5x,Acacia Log Block 5x,アカシア原木ブロック 5x
block.allthecompressed.acacia_log_block_6x,Acacia Log Block 6x,アカシア原木ブロック 6x
block.allthecompressed.acacia_log_block_7x,Acacia Log Block 7x,アカシア原木ブロック 7x
block.allthecompressed.acacia_log_block_8x,Acacia Log Block 8x,アカシア原木ブロック 8x
block.allthecompressed.acacia_log_block_9x,Acacia Log Block 9x,アカシア原木ブロック 9x
block.allthecompressed.acacia_plank_block_1x,Acacia Plank Block 1x,アカシア板ブロック 1x
block.allthecompressed.acacia_plank_block_2x,Acacia Plank Block 2x,アカシア板ブロック 2x
block.allthecompressed.acacia_plank_block_3x,Acacia Plank Block 3x,アカシア板ブロック 3x
block.allthecompressed.acacia_plank_block_4x,Acacia Plank Block 4x,アカシア板ブロック 4x
block.allthecompressed.acacia_plank_block_5x,Acacia Plank Block 5x,アカシア板ブロック 5x
block.allthecompressed.acacia_plank_block_6x,Acacia Plank Block 6x,アカシア板ブロック 6x
block.allthecompressed.acacia_plank_block_7x,Acacia Plank Block 7x,アカシア板ブロック 7x
block.allthecompressed.acacia_plank_block_8x,Acacia Plank Block 8x,アカシア板ブロック 8x
block.allthecompressed.acacia_plank_block_9x,Acacia Plank Block 9x,アカシア板ブロック 9x
block.allthecompressed.allthemodium_block_1x,Allthemodium Block 1x,圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_2x,Allthemodium Block 2x,二重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_3x,Allthemodium Block 3x,三重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_4x,Allthemodium Block 4x,四重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_5x,Allthemodium Block 5x,五重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_6x,Allthemodium Block 6x,六重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_7x,Allthemodium Block 7x,七重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_8x,Allthemodium Block 8x,八重圧縮オールザモディウムブロック
block.allthecompressed.allthemodium_block_9x,Allthemodium Block 9x,九重圧縮オールザモディウムブロック
block.allthecompressed.aluminum_block_1x,Aluminum Block 1x,アルミニウムブロック1x
block.allthecompressed.aluminum_block_2x,Aluminum Block 2x,アルミニウムブロック2x
block.allthecompressed.aluminum_block_3x,Aluminum Block 3x,アルミニウムブロック3x
block.allthecompressed.aluminum_block_4x,Aluminum Block 4x,アルミニウムブロック4x
block.allthecompressed.aluminum_block_5x,Aluminum Block 5x,アルミニウムブロック5x
block.allthecompressed.aluminum_block_6x,Aluminum Block 6x,アルミニウムブロック6x
block.allthecompressed.aluminum_block_7x,Aluminum Block 7x,アルミニウムブロック7x
block.allthecompressed.aluminum_block_8x,Aluminum Block 8x,アルミニウムブロック8x
block.allthecompressed.aluminum_block_9x,Aluminum Block 9x,アルミニウムブロック9x
block.allthecompressed.andesite_block_1x,Andesite Block 1x,安山岩ブロック 1x
block.allthecompressed.andesite_block_2x,Andesite Block 2x,安山岩ブロック 2x
block.allthecompressed.andesite_block_3x,Andesite Block 3x,安山岩ブロック 3x
block.allthecompressed.andesite_block_4x,Andesite Block 4x,安山岩ブロック 4x
block.allthecompressed.andesite_block_5x,Andesite Block 5x,安山岩ブロック 5x
block.allthecompressed.andesite_block_6x,Andesite Block 6x,安山岩ブロック 6x
block.allthecompressed.andesite_block_7x,Andesite Block 7x,安山岩ブロック 7x
