key,source_text,target_text
metal.aobd.fzdarkiron.name,Dark Iron,黒鉄
metal.aobd.heeendium.name,Endium,エンディウム
metal.aobd.elntungsten.name,Tungsten,タングステン
item.aobd.dust.name,%s Dust,%sの粉
item.aobd.crushed.name,Crushed %s Ore,砕けた %s 鉱石
item.aobd.crushedPurified.name,Purified Crushed %s Ore,純粋な砕けた %s 鉱石
item.aobd.dustTiny.name,Tiny Pile of %s Dust,極小の%sの粉
item.aobd.cluster.name,Native %s Cluster,自然 %s クラスター
item.aobd.dirtyGravel.name,Dirty %s Gravel,汚い %s の砂利
item.aobd.cleanGravel.name,Clean %s Gravel,きれいな %s の砂利
item.aobd.reduced.name,Reduced %s Chunks,還元 %s の塊
item.aobd.crystalline.name,Crystalline %s,結晶 %s
item.aobd.clump.name,%s Clump,%s クラウド
item.aobd.shard.name,%s Shard,%s シャード
item.aobd.dustDirty.name,Dirty %s Dust,汚れた%sの粉
item.aobd.crystal.name,%s Crystal,%sの結晶
item.aobd.chunk.name,%s Chunk,%sチャンク
item.aobd.nugget.name,%s Nugget,%s ニューギット
item.aobd.ore.name,%s Ore,%s 鉱石
item.aobd.ground.name,Ground %s Ore,粉砕された%sインゴット
item.aobd.dustImpure.name,Impure %s Dust,不純な %s ダスト
item.aobd.rubble.name,%s Rubble,%s ルーブル
item.aobd.pebbles.name,%s Pebbles,%s ペブル
item.aobd.oreBroken.name,Broken %s Ore,破損した %s 鉱石
item.aobd.oreNetherBroken.name,Broken %s Ore,破損した %s 鉱石
item.aobd.oreCrushed.name,Crushed %s Ore,砕けた %s 鉱石
item.aobd.orePowdered.name,Powdered %s Ore,粉末状の %s 鉱石
item.aobd.glassBottle.name,%s Bottle,%s ボトル
tile.aobd.block.name,%s Block,%s ブロック
tile.aobd.oreDust.name,%s Ore Dust,%s 鉱石の粉
tile.aobd.oreSand.name,%s Ore Sand,%s 鉱石の砂
tile.aobd.oreGravel.name,%s Ore Gravel,%s 鉱石の砂利
tile.aobd.oreNetherGravel.name,%s Ore Gravel,%s 鉱石の砂利
fluid.aobd.moltenMetal.name,Molten %s,熔融%s
gas.aobd.clean.name,Clean %s Slurry,純粋な%sの懸濁液
gas.aobd.dirty.name,%s Slurry,%s のスラリー
gas.aobd.ore.name,%s Ore,%s 鉱石
itemGroup.aobd,AOBD,
tc.research_category.AOBD,AOBD,
tc.research_name.PUREORE,Ore Purification,鉱石の純化
tc.research_text.PUREORE,Purificate ALL the ores,すべての鉱石を浄化
tc.research_page.PUREORE.1,Native clusters are rare concentrations of metals in its purest form. You have discovered a way to purify and concentrate normal ores into a native cluster.<BR>When smelted these clusters produce twice the normal amount of ingots.,自然金属クラスターは金属が濃縮した最も純粋な珍しい形であると言える。普通の鉱石をそのようなクラスターに純化し濃縮する方法を発見した。<BR>これらのクラスターを処理すれば通常の倍量のインゴットが得られるだろう。
