key,source_text,target_text
appex.gui.element.experience.tooltip,%s / %s,
appex.item.converter.inv.in,Stored %s,保存済み %s
appex.item.converter.inv.out,Stored %s,保存済み %s
appex.item.converter.tooltip,Stored: %s XP,保存済み: %s XP
block.appex.experience_acceptor,ME Experience Acceptor,ME経験値アクセプター
block.appex.experience_converter,Experience Converter,経験値変換機
gui.appex.experience_converter,Experience Converter,経験値変換機
item.appex.cable_experience_acceptor,Experience Acceptor Part,経験値受容部品
item.appex.experience_cell_housing,ME Experience Cell Housing,ME経験値セル筐体
item.appex.experience_p2p_tunnel,Experience P2P Tunnel,経験値P2Pトンネル
item.appex.experience_storage_cell_16k,16k ME Experience Storage Cell,16k ME経験値ストレージセル
item.appex.experience_storage_cell_1k,1k ME Experience Storage Cell,1k ME経験値ストレージセル
item.appex.experience_storage_cell_256k,256k ME Experience Storage Cell,256k ME経験値ストレージセル
item.appex.experience_storage_cell_4k,4k ME Experience Storage Cell,4k ME経験値ストレージセル
item.appex.experience_storage_cell_64k,64k ME Experience Storage Cell,64k ME経験値ストレージセル
item.appex.portable_experience_cell_16k,16k Portable Experience Cell,16k ポータブル経験値セル
item.appex.portable_experience_cell_1k,1k Portable Experience Cell,1k ポータブル経験値セル
item.appex.portable_experience_cell_256k,256k Portable Experience Cell,256k ポータブル経験値セル
item.appex.portable_experience_cell_4k,4k Portable Experience Cell,4k ポータブル経験値セル
item.appex.portable_experience_cell_64k,64k Portable Experience Cell,64k ポータブル経験値セル
text.appex.creative_tab,Applied Experienced,経験値を適用
text.appex.experience,Experience,経験値
text.appex.experience_button.extract,Extract: %s %s,抽出: %s %s
text.appex.experience_button.insert,Insert: %s %s,注入: %s %s
