key,source_text,target_text
aromabackup:backup.start.server,Starting Backup. The server may lag for a bit!,バックアップ開始。サーバーが少し遅くなる場合があります！
aromabackup:backup.start.client,Starting Backup. The world may lag for a bit!,バックアップ開始中です。ワールドが一時的に遅延する可能性があります！
aromabackup:backup.done.server,Server Backup done!,サーバーバックアップ完了！
aromabackup:backup.done.client,World Backup done!,ワールドバックアップ完了！
aromabackup:backup.failed.server,Server Backup failed!,サーバーのバックアップに失敗しました！
aromabackup:backup.failed.client,World Backup failed!,ワールドバックアップに失敗しました！
aromabackup:backup.next.server,Next scheduled Backup in %s minutes.,次のバックアップは%s分後に予定されています。
aromabackup:backup.next.client,Next scheduled Backup in %s minutes.,次のバックアップは%s分後に予定されています。
aromabackup:command.commandOverride,"Could not execute the %s command, because a backup is currently running.",%s コマンドを実行できませんでした。現在バックアップが実行中です。
aromabackup:command.alreadyrunning,A backup is already running.,バックアップが既に実行中です。
aromabackup:command.playerstarted,%s started a backup.,%s がバックアップを開始しました。
aromabackuprecovery:button.recover,Backups,バックアップ
aromabackuprecovery:selectBackup.select,Restore Backup,バックアップの復元
aromabackuprecovery:selectBackup.name,%s (%s),%s (%s)
aromabackuprecovery:openFolder,Open Folder,フォルダを開く
aromabackuprecovery:restoreBackup.question,Are you sure you want to restore this backup?,本当にこのバックアップを復元しますか？
aromabackuprecovery:restoreBackup.info,"The old world ""%s"" will be renamed to ""%s"".",古いワールド「%s」は「%s」に名前が変更されます。
aromabackuprecovery:restoreBackup.error.1,Something went wrong while restoring the backup.,バックアップ復元中に何らかの問題が発生しました。
aromabackuprecovery:restoreBackup.error.2,See the console for more information.,コンソールでさらに詳しい情報を確認してください。
aromabackuprecovery:deleteBackup.question,Are you sure you want to delete this backup?,本当にこのバックアップを削除しますか？
aromabackuprecovery:deleteBackup.info,"""%s"" will be lost forever! (A long (long, long) time!)",「%s」は永遠に失われます！（本当に長い時間です！）
aromabackuprecovery:restorechunk.button,Restore individual Chunk,個別チャンクの復元
aromabackuprecovery:restorechunk.title,Restore Chunk,チャンク復元
aromabackuprecovery:restorechunk.confirm,Restore Chunk,チャンク復元
aromabackuprecovery:restorechunk.dim,Dim,次元
aromabackuprecovery:restorechunk.loadCrashlog,Load from Crashlog,クラッシュログから読み込み
aromabackuprecovery:restorechunk.info.1,"Remember, these are Chunk coordinates, not block coordinates.",これらはチャンク座標であり、ブロック座標ではありません。
aromabackuprecovery:restorechunk.info.2,"This will load the selected world and instead of loading the whole world from the world folder, this will load the selected chunk out of the selected backup.",選択したワールドを読み込みます。ワールドフォルダから全体を読み込む代わりに、選択したバックアップから選択したチャンクを読み込みます。
aromabackuprecovery:restorechunk.crashlog.none,"Could not find any useful crash log. If you think, this is a bug, please report it including the crash log that should be considered useful.",有用なクラッシュログが見つかりませんでした。これがバグだと思われる場合は、有用だと考えられるクラッシュログを含めて報告してください。
aromabackuprecovery:restorechunk.crashlog.outdated,The crashlog the information is coming from is quite outdated. This might be a bad idea.,情報が入っているクラッシュログはかなり古いです。これは悪いアイデアかもしれません。
aromabackuprecovery:restorechunk.crashlog.success,Successfully loaded chunk information from crash log.,クラッシュログからチャンク情報の読み込みに成功しました
