key,source_text,target_text
ars_elemental.adv.desc.air_focus,Acquire a major focus of Air,風のフォーカスを手に入れる
ars_elemental.adv.desc.caster_bag,Acquire a Spellcaster Bag,スペルキャスターの鞄を手に入れる
ars_elemental.adv.desc.curio_bag,Acquire a Trinkets Pouch,装身具のポーチを手に入れる
ars_elemental.adv.desc.earth_focus,Acquire a major focus of Earth,地のフォーカスを手に入れる
ars_elemental.adv.desc.everfull_urn,Acquire an Urn of Endless Waters,無限水の壺を手に入れる
ars_elemental.adv.desc.fire_focus,Acquire a major focus of Fire,火のフォーカスを手に入れる
ars_elemental.adv.desc.firenando_charm,Acquire a Flarecannon Charm,フレアキャノンのお守りを手に入れる
ars_elemental.adv.desc.lesser_air_focus,Acquire a lesser focus of Air,空気の小さなフォーカスを取得
ars_elemental.adv.desc.lesser_earth_focus,Acquire a lesser focus of Earth,地のフォーカス・劣を手に入れる
ars_elemental.adv.desc.lesser_fire_focus,Acquire a lesser focus of Fire,火のフォーカス・劣を手に入れる
ars_elemental.adv.desc.lesser_water_focus,Acquire a lesser focus of Water,水のフォーカス・劣を手に入れる
ars_elemental.adv.desc.levitation,Use Launch + Extend Time while wearing an air focus to make a mob levitate,風のフォーカスを装備して、「打ち上げ」+「効果時間延長」でMOBを浮遊させる
ars_elemental.adv.desc.mark_of_mastery,Combine the essences with the tribute and obtain the Mark of Mastery,エッセンスと供物を組み合わせて達人の証を手に入れる
ars_elemental.adv.desc.mirror_shield,Reflect a spell projectile using a spell reflection shield,スペル反射のついた盾で飛翔スペルを跳ね返す
ars_elemental.adv.desc.necrotic_focus,Acquire a Necromancy focus,死霊術のフォーカスを手に入れる
ars_elemental.adv.desc.siren_charm,Acquire a Siren Charm,サイレンのお守りを手に入れる
ars_elemental.adv.desc.spore_blossom,Obtain a Spore Blossom by killing an undead with Grow or Poison Spores,アンデッドを成長や毒の胞子で倒して胞子の花を手に入れる
ars_elemental.adv.desc.summon_dolphin,Summon a dolphin using Summon Steed wearing a water focus,水のフォーカスを装備して「馬召喚」でイルカを召喚する
ars_elemental.adv.desc.summon_skeleton_horse,Summon a skeleton horse using Summon Steed wearing a necromancy focus,死霊術のフォーカスを装備して「馬召喚」でスケルトンホースを召喚する
ars_elemental.adv.desc.summon_strider,Summon a strider using Summon Steed wearing a fire focus,火のフォーカスを装備したSummon Steedを使用してStriderを召喚
ars_elemental.adv.desc.water_focus,Acquire a major focus of Water,水のフォーカスを手に入れる
ars_elemental.adv.title.air_focus,Master of Air,風のマスター
ars_elemental.adv.title.caster_bag,Your portable arsenal,持ち運べる武器庫
ars_elemental.adv.title.curio_bag,Never ask a mage what's in their bag,鞄の中身は聞いちゃいけない
ars_elemental.adv.title.earth_focus,Master of Earth,地のマスター
ars_elemental.adv.title.everfull_urn,Filled with tears of Nostalgia,懐古の涙でいっぱい
ars_elemental.adv.title.fire_focus,Master of Fire,火のマスター
ars_elemental.adv.title.firenando_charm,They call me Firenando Mc Cannon,彼らは私を「ファイアナンド・マク・キャノン」と呼ぶ
ars_elemental.adv.title.lesser_air_focus,The way of Air,風の道
ars_elemental.adv.title.lesser_earth_focus,The way of Earth,地の道
ars_elemental.adv.title.lesser_fire_focus,The way of Fire,火の道
