key,source_text,target_text
ars_instrumentum.tooltip.mana_cost,Mana cost : ,マナコスト : 
block.ars_instrumentum.arcane_applicator,Arcane Applicator,アルケイン適用装置
instrumentum.armarium.hotbar_no_switch,Wizards Armarium will not switch Hotbar Items,ウィザードアーマリウムはホットバーアイテムを切り替えません
instrumentum.armarium.hotbar_switch,Wizards Armarium will switch Hotbar Items,ウィザードアーマリウムがホットバーアイテムを切り替えます
item.ars_instrumentum.copy_paste_spell_scroll,Scroll of Spelltransfer,呪文転送のスクロール
item.ars_instrumentum.fake_wilden_tribute,Essence of Vanquished Foes,倒された敵の精霊
item.ars_instrumentum.numeric_mana_charm,Charm of Numeric Mana,数値マナのチャーム
item.ars_instrumentum.runic_storage_stone,Runic Stone of Storage,ストレージのルニストーン
item.ars_instrumentum.scroll_of_save_starbuncle,Scroll of Save Starbuncle,セーブ・スターバンクルの巻物
item.ars_instrumentum.wizards_armarium,Wizards Armarium,ウィザードアーマリウム
key.ars_nouveau.choose_armarium_slot,(Wizards Armarium) Toggle Selection HUD,（ウィザードアーマリウム）選択HUDを切り替え
key.ars_nouveau.switch_armarium_slot,Switch Wizards Armarium,ウィザードアーマリウムを切り替え
