key,source_text,target_text
block.arsnouveaudelight.bastion_cake,Bastion Cake,バスティオンケーキ
block.arsnouveaudelight.bastion_pod_box,Crate Bastion Pod,クレートバスティオンポッド
block.arsnouveaudelight.blue_archwood_cabinet,Blue Archwood Cabinet,青いアーチウッドキャビネット
block.arsnouveaudelight.bombegranate_cake,Bombegranate Cake,爆弾グレネードケーキ
block.arsnouveaudelight.bombegranate_pod_box,Crate Bombegranate Pod,爆弾グレネードポッドの箱
block.arsnouveaudelight.frostaya_cake,Frostaya Cake,フロスタヤケーキ
block.arsnouveaudelight.frostaya_pod_box,Crate Frostaya Pod,箱 フロスタヤポッド
block.arsnouveaudelight.green_archwood_cabinet,Green Archwood Cabinet,緑のアーチウッドキャビネット
block.arsnouveaudelight.mendosteen_cake,Mendosteen Cake,メンドステインケーキ
block.arsnouveaudelight.mendosteen_pod_box,Crate Mendosteen Pod,メンドステインポッドのクレート
block.arsnouveaudelight.purple_archwood_cabinet,Purple Archwood Cabinet,紫のアーチウッドキャビネット
block.arsnouveaudelight.red_archwood_cabinet,Red Archwood Cabinet,赤アーチウッドキャビネット
block.arsnouveaudelight.source_berry_box,Crate Source Berry,ソースベリーの箱
block.arsnouveaudelight.source_berry_cake,Source Berry Cake,ソースベリーケーキ
effect.arsnouveaudelight.ars_comfort,Ars Comfort,アース・コンフォート
item.arsnouveaudelight.archwood_cup,Archwood Cup,アーチウッドカップ
item.arsnouveaudelight.ars_burger,Ars Burger,アース・バーガー
item.arsnouveaudelight.bastion_glaze,Bastion Glaze,バスティオングレーズ
item.arsnouveaudelight.bastion_jelly,Bastion Jelly,バスティオンのゼリー
item.arsnouveaudelight.bastion_jem,Bastion Jem,バスティオン・ジェム
item.arsnouveaudelight.bastion_shake,Bastion Shake,バスティオンの揺らぎ
item.arsnouveaudelight.bastion_tea,Bastion Tea,要塞の紅茶
item.arsnouveaudelight.bastion_yougurt,Bastion Yougurt,バスティオンヨーグルト
item.arsnouveaudelight.blue_archwood_cup,Blue Archwood Cup,青いアーチウッドカップ
item.arsnouveaudelight.bombegranate_doughnut,Bombegranate Doughnut,爆弾グレネード ドーナツ
item.arsnouveaudelight.bombegranate_glaze,Bombegranate Glaze,爆弾グレネード グレーズ
item.arsnouveaudelight.bombegranate_jelly,Bombegranate Jelly,ボムグラナート・ジェリー
item.arsnouveaudelight.bombegranate_jem,Bombegranate Jem,ジェムの爆弾手榴弾
item.arsnouveaudelight.bombegranate_tea,Bombegranate Tea,爆弾グレネード茶
item.arsnouveaudelight.bombegranate_yougurt,Bombegranate Yougurt,ボンベグラネート ユーグルト
item.arsnouveaudelight.cooked_wilden_guardian_steak,Cooked Wilden Guardian Steak,調理済みワイルド・ガーディアンステーキ
item.arsnouveaudelight.cooked_wilden_stalker_maet,Cooked Wilden Stalker Maet,調理済み ワイルドン ストーカー 肉
item.arsnouveaudelight.cut_bastion_pod,Bastion Pod Slice,バスタニオンのポッドスライス
item.arsnouveaudelight.cut_bombegranate_pod,Bombegranate Pod Slice,爆弾グレネードポッドスライス
item.arsnouveaudelight.cut_cooked_wilden_guardian_steak,Cooked Wilden Guardian Slice,調理済みワイルドンガーディアンスライス
item.arsnouveaudelight.cut_cooked_wilden_stalker_meat,Cooked Wilden Stalker Slice,調理済みワイルドン・ストーカー・スライス
item.arsnouveaudelight.cut_frostaya_pod,Frostaya Pod Slice,フロスタヤ・ポッドスライス
item.arsnouveaudelight.cut_mendosteen_pod,Mendosteen Pod Slice,メンドステイン・ポッドスライス
item.arsnouveaudelight.cut_source_berry,Source Berry Slice,ソースベリースライス
item.arsnouveaudelight.cut_wilden_guardian_steak,Wilden Guardian Slice,ウィルデン ガーディアン スライス
item.arsnouveaudelight.cut_wilden_stalker_meat,Wilden Stalker Slice,ウィルデン・ストーカー スライス
item.arsnouveaudelight.dried_bastion_pod,Dried Bastion Pod,乾燥したバスタニオンのポッド
item.arsnouveaudelight.dried_bombegranate_pod,Dried Bombegranate Pod,乾燥ボムグレネードポッド
item.arsnouveaudelight.dried_frostaya_pod,Dried Frostaya Pod,乾燥フロスタヤ・ポッド
item.arsnouveaudelight.dried_mendosteen_pod,Dried Mendosteen Pod,乾燥メンドステインポッド
item.arsnouveaudelight.dried_source_berry,Dried Source Berry,乾燥ソースベリー
item.arsnouveaudelight.frostaya_glaze,Frostaya Glaze,フロスタヤガラス
item.arsnouveaudelight.frostaya_jelly,Frostaya Jelly,フロスタヤ・ジェリー
item.arsnouveaudelight.frostaya_jem,Frostaya Jem,フロスタヤ・ジェム
item.arsnouveaudelight.frostaya_shake,Frostaya Shake,フロスタヤ・シェイク
item.arsnouveaudelight.frostaya_tea,Frostaya Tea,フロスタヤ・ティー
item.arsnouveaudelight.frostaya_yougurt,Frostaya Yougurt,フロスタヤ ヨーグルト
item.arsnouveaudelight.green_archwood_cup,Green Archwood Cup,緑のアーチウッドカップ
item.arsnouveaudelight.honeyed_bastion,Honeyed Bastion,蜜の要塞
item.arsnouveaudelight.honeyed_bombegranate,Honeyed Bombegranate,蜂蜜付き爆弾
item.arsnouveaudelight.honeyed_frostaya,Honeyed Frostaya,ハニー入りフロスタヤ
item.arsnouveaudelight.honeyed_mendosteen,Honeyed Mendosteen,蜂蜜入りメンドステイン
item.arsnouveaudelight.honeyed_source_berry,Honeyed Source Berry,蜜源ベリー
item.arsnouveaudelight.magic_dough,Magic Dough,魔法の生地
item.arsnouveaudelight.magic_jem,Magic Jem,マジックジェム
item.arsnouveaudelight.magic_pie,Magic Pie,マジックパイ
item.arsnouveaudelight.magic_punch,Magic Punch,マジックパンチ
item.arsnouveaudelight.mendosteen_glaze,Mendosteen Glaze,メンドステイングレーズ
item.arsnouveaudelight.mendosteen_jelly,Mendosteen Jelly,メンドステーン・ジェリー
item.arsnouveaudelight.mendosteen_jem,Mendosteen Jem,メンドステーン・ジェム
item.arsnouveaudelight.mendosteen_shake,Mendosteen Shake,メンドステイン シェイク
item.arsnouveaudelight.mendosteen_tea,Mendosteen Tea,メンドステーン・ティー
item.arsnouveaudelight.mendosteen_yougurt,Mendosteen Yougurt,メンドステインヨーグルト
item.arsnouveaudelight.purple_archwood_cup,Purple Archwood Cup,紫のアーチウッドカップ
item.arsnouveaudelight.red_archwood_cup,Red Archwood Cup,赤いアーチウッドカップ
item.arsnouveaudelight.source_berry_bun,Source Berry Bun,ソースベリーのパン
item.arsnouveaudelight.source_berry_glaze,Source Berry Glaze,ソースベリー・グレーズ
item.arsnouveaudelight.source_berry_ice_cream,Source Berry Ice Cream,ソースベリーアイスクリーム
item.arsnouveaudelight.source_berry_jelly,Source Berry Jelly,ソースベリー・ジェリー
item.arsnouveaudelight.source_berry_jem,Source Berry Jem,ソースベリーのジェム
item.arsnouveaudelight.source_berry_sandwich,Source Berry Sandwich,ソースベリサンドイッチ
item.arsnouveaudelight.source_berry_shake,Source Berry Shake,ソースベリー・シェイク
item.arsnouveaudelight.source_berry_tea,Source Berry Tea,ソースベリーの茶
item.arsnouveaudelight.source_berry_yougurt,Source Berry Yougurt,ソースベリーユーグルト
item.arsnouveaudelight.source_gem_knife,Source Gem Knife,ソースジェムのナイフ
item.arsnouveaudelight.source_gem_plate,Source Gem Plate,ソースジェムのプレート
item.arsnouveaudelight.wilden_chimera_heart,Wilden Chimera Heart,ワイルドン・キメラの心臓
item.arsnouveaudelight.wilden_guardian_steak,Wilden Guardian Steak,ワイルデンガーディアンステーキ
item.arsnouveaudelight.wilden_stalker_meat,Wilden Stalker Meat,ウィルデン・ストーカーの肉
