key,source_text,target_text
baguslib.config.shakeCameraForVanilla,Enable Shake Camera For Vanilla,カメラの揺れをバニラでも有効にする
command.bagus_lib.dialog,Successfully add Dialog,ダイアログを追加しました
command.bagus_lib.image_dialog,Successfully add Image Dialog,画像ダイアログを正常に追加しました
command.bagus_lib.item_dialog,Successfully add Item Dialog,アイテムダイアログを成功で返す
command.bagus_lib.remove_all_dialog,Successfully Removed All Dialog,すべてのダイアログを正常に削除しました
bagus_lib.config.playableFirstPerson,Playable First Person,第一視点でのアニメーションを有効化する
bagus_lib.config.aprilFeature,Enable April Feature,エイプリルフールジョークを有効にする
bagus_lib.config.betterEndPoem,Better End Poem,よりよいエンドポエム
bagus_lib.config.shakeCameraForVanilla,Enable Shake Camera For Vanilla,カメラの揺れをバニラでも有効にする
bagus_lib.watermelon,Water Melon,スイカゲーム
