key,source_text,target_text
block.bellsandwhistles.andesite_bogie_steps,Andesite Steps,安山岩のステップ
block.bellsandwhistles.andesite_door_step,Andesite Door Step,安山岩のドアステップ
block.bellsandwhistles.andesite_grab_rails,Andesite Grab Bars,安山岩の手すり
block.bellsandwhistles.andesite_pilot,Andesite Pilot,安山岩のカウキャッチャー
block.bellsandwhistles.brass_bogie_steps,Brass Steps,真鍮のステップ
block.bellsandwhistles.brass_door_step,Brass Door Step,真鍮のドアステップ
block.bellsandwhistles.brass_grab_rails,Brass Grab Bars,真鍮の手すり
block.bellsandwhistles.brass_pilot,Brass Pilot,真鍮のカウキャッチャー
block.bellsandwhistles.copper_bogie_steps,Copper Steps,銅のステップ
block.bellsandwhistles.copper_door_step,Copper Door Step,銅のドアステップ
block.bellsandwhistles.copper_grab_rails,Copper Grab Bars,銅の手すり
block.bellsandwhistles.copper_pilot,Copper Pilot,銅のカウキャッチャー
block.bellsandwhistles.corrugated_metro_casing,Corrugated Metro Casing,模様付きのメトロケーシング
block.bellsandwhistles.corrugated_metro_panel,Corrugated Metro Panel,模様付きのメトロパネル
block.bellsandwhistles.headlight,Headlight,ヘッドライト
block.bellsandwhistles.metal_pilot,Metal Pilot,鉄のカウキャッチャー
block.bellsandwhistles.metro_casing,Metro Casing,メトロケーシング
block.bellsandwhistles.metro_panel,Metro Panel,メトロパネル
block.bellsandwhistles.metro_trapdoor,Metro Trapdoor,メトロトラップドア
block.bellsandwhistles.metro_window,Metro Window,メトロの装飾窓トラップドア
block.bellsandwhistles.ornate_iron_trapdoor,Ornate Iron Trapdoor,鉄装飾ガラスのトラップドア
block.bellsandwhistles.polished_andesite_pilot,Polished Andesite Pilot,磨かれた安山岩のカウキャッチャー
block.bellsandwhistles.polished_asurine_pilot,Polished Asurine Pilot,磨かれた瑠璃岩のカウキャッチャー
block.bellsandwhistles.polished_calcite_pilot,Polished Calcite Pilot,磨かれた方解石のカウキャッチャー
block.bellsandwhistles.polished_crimsite_pilot,Polished Crimsite Pilot,磨かれた真紅岩のカウキャッチャー
block.bellsandwhistles.polished_deepslate_pilot,Polished Deepslate Pilot,磨かれた深層岩のカウキャッチャー
block.bellsandwhistles.polished_diorite_pilot,Polished Diorite Pilot,磨かれた閃緑岩のカウキャッチャー
block.bellsandwhistles.polished_dripstone_pilot,Polished Dripstone Pilot,磨かれた鍾乳石のカウキャッチャー
block.bellsandwhistles.polished_granite_pilot,Polished Granite Pilot,磨かれた花崗岩のカウキャッチャー
block.bellsandwhistles.polished_limestone_pilot,Polished Limestone Pilot,磨かれた石灰岩のカウキャッチャー
block.bellsandwhistles.polished_ochrum_pilot,Polished Ochrum Pilot,磨かれた黄土岩のカウキャッチャー
block.bellsandwhistles.polished_scorchia_pilot,Polished Scorchia Pilot,磨かれたスコーチアのカウキャッチャー
block.bellsandwhistles.polished_scoria_pilot,Polished Scoria Pilot,磨かれたスコリアのカウキャッチャー
block.bellsandwhistles.polished_tuff_pilot,Polished Tuff Pilot,磨かれた凝灰岩のカウキャッチャー
block.bellsandwhistles.polished_veridium_pilot,Polished Veridium Pilot,磨かれた緑青岩のカウキャッチャー
block.bellsandwhistles.station_platform,Station Platform,ステーションプラットフォーム
creativetab.bellsandwhistlestab,Bells & Whistles,ベルとホイッスル
itemGroup.bellsandwhistlestab,Bells & Whistles,ベルとホイッスル
