key,source_text,target_text
block.betteranimalsplus.blackbearhead,Bear Head,熊の頭
block.betteranimalsplus.boarhead,Boar Head,イノシシの頭
block.betteranimalsplus.brownbearhead,Bear Head,熊の頭
block.betteranimalsplus.coyotehead,Coyote Head,コヨーテの頭
block.betteranimalsplus.deerhead,Deer Head,シカの頭
block.betteranimalsplus.feralwolfhead,Feral Wolf Head,野性の狼の頭
block.betteranimalsplus.moosehead,Moose Head,ヘラジカの頭
block.betteranimalsplus.reindeerhead,Reindeer Head,トナカイの頭
block.betteranimalsplus.trillium,Trillium,エンレイソウ
block.betteranimalsplus.turkey_cooked,Cooked Turkey,焼きシチメンチョウ肉
block.betteranimalsplus.turkey_raw,Raw Turkey,生のシチメンチョウ肉
config.betteranimalsplus,Better Animals Plus Configuration,Better Animals Plus 設定
config.betteranimalsplus.betteranimalsplus-client,Client Configuration,クライアント設定
config.betteranimalsplus.betteranimalsplus-server-default,Default Server Configuration,デフォルトサーバー設定
config.betteranimalsplus.biome_based_variants,Biome Based Variants,バイオーム固有の変種
config.betteranimalsplus.breed_from_crops,Breed From Crops,作物から繁殖
config.betteranimalsplus.breed_from_kill,Breed From Kill,殺害で繁殖
config.betteranimalsplus.can_despawn,Can Despawn,スポーンできない
config.betteranimalsplus.cost_per_spawn,Cost Per Spawn,生成あたりのコスト
config.betteranimalsplus.create_snow,Create Snow,雪を作成
config.betteranimalsplus.eat_crops,Eat Crops,作物を食べること
config.betteranimalsplus.entities,Entities,エンティティ
config.betteranimalsplus.hostile_during_daytime,Hostile During Daytime,昼間には敵対的
config.betteranimalsplus.maximum_cost_per_biome,Maximum Cost Per Biome,バイオームあたりの最大コスト
config.betteranimalsplus.maximum_group_size,Maximum Group Size,最大グループサイズ
config.betteranimalsplus.minimum_group_size,Minimum Group Size,最小グループサイズ
config.betteranimalsplus.nerf_options,Nerf Options,Nerf 選択肢
config.betteranimalsplus.pickup_blacklist,Pickup Blacklist,拾い取りブラックリスト
config.betteranimalsplus.spawn_biomes,Spawn Biomes,スポーン バイオーム
config.betteranimalsplus.spawn_cost_biomes,Spawn Cost Biomes,バイオームの出現コスト
config.betteranimalsplus.spawn_naturally,Spawns Naturally,自然に生成される
config.betteranimalsplus.spawn_weight,Spawn Weight,出現重み
config.betteranimalsplus.spawning,Spawning Configuration,出現設定
config.betteranimalsplus.spawning.spawn_costs,Spawn Costs,スポーンコスト
config.betteranimalsplus.taming_items,Taming Items,飼いならすアイテム
config.betteranimalsplus.target_chance,Target Chance,ターゲット・チャンス
config.betteranimalsplus.use_spawn_costs,Use Spawn Costs,出現コストの使用
death.attack.betteranimalsplus.piranha,%1$s was eaten to the bone by piranhas,%1$s はピラニャによって骨まで食べられました
entity.betteranimalsplus.badger,Badger,バガート
entity.betteranimalsplus.badgerdirt,Badger Dirt,バッガーダイアモンド
entity.betteranimalsplus.barracuda,Barracuda,サメ
entity.betteranimalsplus.blackbear,Black Bear,クロクマ
entity.betteranimalsplus.boar,Boar,イノシシ
entity.betteranimalsplus.bobbit_worm,Bobbit Worm,オニイソメ
entity.betteranimalsplus.brownbear,Brown Bear,ヒグマ
entity.betteranimalsplus.butterfly,Butterfly,蝶
entity.betteranimalsplus.butterfly.type.monarch,Monarch,マーチャン
entity.betteranimalsplus.butterfly.type.morpho,Morpho,モルフォ
entity.betteranimalsplus.butterfly.type.purple_emperor,Purple Emperor,紫色の皇帝
entity.betteranimalsplus.butterfly.type.red_admiral,Red Admiral,赤いアドミラル
entity.betteranimalsplus.butterfly.type.sulphur,Sulphur,硫黄
entity.betteranimalsplus.butterfly.type.swallowtail,Swallowtail,スワロウテイル
entity.betteranimalsplus.coyote,Coyote,コヨーテ
entity.betteranimalsplus.coyote.message.always_hostile,This coyote is always hostile. It cannot be tamed (server configuration),このコヨーテは常に敵対的です。飼い慣らすことはできません（サーバー設定）。
entity.betteranimalsplus.coyote.message.currently_hostile,This coyote is currently hostile. Perhaps it could be tamed outside of its hunting hours?,このコヨーテは現在敵対的です。狩猟時間外に飼い慣らすことができるかもしれません。
entity.betteranimalsplus.crab,Crab,カニ
entity.betteranimalsplus.crab.type.blue,Blue,青
entity.betteranimalsplus.crab.type.brown,Brown,茶色
entity.betteranimalsplus.crab.type.pink,Pink,ピンク
entity.betteranimalsplus.crab.type.red,Red,赤
entity.betteranimalsplus.deer,Deer,シカ
entity.betteranimalsplus.dragonfly,Dragonfly,トンボ
entity.betteranimalsplus.dragonfly.type.blue_dasher,Blue Dasher,ブルーダッシャー
entity.betteranimalsplus.dragonfly.type.broad_tailed_shadowdragon,Broad-Tailed Shadowdragon,広尾のシャドウドラゴン
entity.betteranimalsplus.dragonfly.type.green_darner,Green Darner,グリーンダナー
entity.betteranimalsplus.dragonfly.type.yellow_winged_darter,Yellow Winged Darter,黄色い翼のダーティー
entity.betteranimalsplus.eel_freshwater,Freshwater Eel,淡水ウナギ
entity.betteranimalsplus.eel_freshwater.type.longfin,Longfin,長鰭
entity.betteranimalsplus.eel_freshwater.type.silver,Silver,銀
entity.betteranimalsplus.eel_saltwater,Saltwater Eel,塩水エイ
entity.betteranimalsplus.eel_saltwater.type.conger,Conger,コンゲル
entity.betteranimalsplus.eel_saltwater.type.dragon,Dragon,ドラゴン
entity.betteranimalsplus.eel_saltwater.type.moray,Moray,モレイ
entity.betteranimalsplus.eel_saltwater.type.ribbon,Ribbon,リボン
entity.betteranimalsplus.eel_saltwater.type.snowflake,Snowflake,雪の結晶
entity.betteranimalsplus.feralwolf,Feral Wolf,野良オオカミ
entity.betteranimalsplus.feralwolf.message.wear_head,"You cannot tame feral wolves without proving your prowess. Discover a mighty enemy, defeat it, and wear its head. Feral Wolves only bow to the protector of the forests.",野生のオオカミを飼いならすには、あなたの腕前を証明する必要があります。強力な敵を見つけて倒し、その頭を被ってください。野生のオオカミは森の保護者にのみ従います。
entity.betteranimalsplus.flying_fish,Flying Fish,飛行魚
entity.betteranimalsplus.flying_fish.type.purple,Purple,紫
entity.betteranimalsplus.flying_fish.type.yellow,Yellow,黄色
entity.betteranimalsplus.goat,Goat,ヤギ
entity.betteranimalsplus.goose,Goose,ガチョウ
entity.betteranimalsplus.horseshoecrab,Horseshoe Crab,カブトガニ
entity.betteranimalsplus.horseshoecrab.type.brown,Brown,茶色
entity.betteranimalsplus.horseshoecrab.type.dark_brown,Dark Brown,ダークブラウン
entity.betteranimalsplus.horseshoecrab.type.green,Green,緑
entity.betteranimalsplus.horseshoecrab.type.orange,Orange,オレンジ
entity.betteranimalsplus.jellyfish,Jellyfish,クラゲ
entity.betteranimalsplus.jellyfish.type.barrel,Barrel Jelly,バケツのゼリー
entity.betteranimalsplus.jellyfish.type.crown,Crown Jelly,王冠ゼリー
entity.betteranimalsplus.jellyfish.type.japanese_sea_nettle,Japanese Sea Nettle,日本海イモムシ
entity.betteranimalsplus.jellyfish.type.moon,Moon Jelly,月の水母
entity.betteranimalsplus.jellyfish.type.purple_striped,Purple Striped Jelly,紫色の縞模様のゼリー
entity.betteranimalsplus.jellyfish.type.white_spotted,White Spotted Jelly,白斑のクラゲ
entity.betteranimalsplus.lammergeier,Lammergeier,ヒゲワシ
entity.betteranimalsplus.lamprey,Lamprey,ハリネズミ
entity.betteranimalsplus.lamprey.type.brown,Brown,茶色
entity.betteranimalsplus.lamprey.type.spotted,Spotted,斑点
entity.betteranimalsplus.lamprey.type.yellow,Yellow,黄色
entity.betteranimalsplus.moose,Moose,ヘラジカ
entity.betteranimalsplus.nautilus,Nautilus,オウムガイ
entity.betteranimalsplus.octopus,Octopus,イカ
entity.betteranimalsplus.pheasant,Pheasant,キジ
entity.betteranimalsplus.piranha,Piranha,ピラーナ
entity.betteranimalsplus.reindeer,Reindeer,トナカイ
entity.betteranimalsplus.shark,Shark,サメ
entity.betteranimalsplus.songbird,Songbird,小鳥
entity.betteranimalsplus.squid_colossal,Colossal Squid,巨大なイカ
entity.betteranimalsplus.squid_giant,Giant Squid,巨大イカ
entity.betteranimalsplus.squirrel,Squirrel,リス
entity.betteranimalsplus.tarantula,Tarantula,タランチュラ
entity.betteranimalsplus.tarantulahair,Tarantula Hair,タランタラの髪
entity.betteranimalsplus.turkey,Turkey,シチメンチョウ
entity.betteranimalsplus.walrus,Walrus,ワルラス
entity.betteranimalsplus.whale,Whale,クジラ
item.betteranimalsplus.antler,Antler,枝角
item.betteranimalsplus.barracuda_bucket,Bucket of Barracuda,バラクーダ入りバケツ
item.betteranimalsplus.bear_cape_black,Bear Cape (Black),クロクマのケープ
item.betteranimalsplus.bear_cape_brown,Bear Cape (Brown),ヒグマのケープ
item.betteranimalsplus.bear_cape_kermode,Bear Cape (Kermode),スピリットベアのケープ
item.betteranimalsplus.bear_skin_black,Black Bear Skin,クロクマの毛皮
item.betteranimalsplus.bear_skin_brown,Brown Bear Skin,ヒグマの毛皮
item.betteranimalsplus.bear_skin_kermode,Kermode Bear Skin,スピリットベアの毛皮
item.betteranimalsplus.blubber,Blubber,ブーバー
item.betteranimalsplus.bottled_butterfly,Bottled Butterfly,瓶詰めされた蝶
item.betteranimalsplus.bottled_dragonfly,Bottled Dragonfly,瓶詰めされたアオバチ
item.betteranimalsplus.calamari_cooked,Cooked Calamari,調理されたカラマリ
item.betteranimalsplus.calamari_raw,Raw Calamari,生のカラマリ
item.betteranimalsplus.crab_bucket,Bucket of Crab,カニのバケツ
item.betteranimalsplus.crab_meat_cooked,Cooked Crab Meat,焼きガニ
item.betteranimalsplus.crab_meat_raw,Raw Crab Meat,生のカニ
item.betteranimalsplus.eel_freshwater_bucket,Bucket of Freshwater Eel,新鮮な淡水イカの桶
item.betteranimalsplus.eel_meat_cooked,Cooked Eel Meat,焼いたイカ肉
item.betteranimalsplus.eel_meat_raw,Raw Eel Meat,生のイカ肉
item.betteranimalsplus.eel_saltwater_bucket,Bucket of Saltwater Eel,塩水イモリの樽
item.betteranimalsplus.flying_fish_bucket,Bucket of Flying Fish,飛ぶ魚のバケツ
item.betteranimalsplus.fried_egg,Fried Egg,目玉焼き
item.betteranimalsplus.goatcheese,Goat Cheese,ヤギのチーズ
item.betteranimalsplus.goatmilk,Goat Milk,ヤギのミルク
item.betteranimalsplus.golden_goose_egg,Golden Goose Egg,金色のウサギの卵
item.betteranimalsplus.goose_egg,Goose Egg,鶴の卵
item.betteranimalsplus.horseshoe_crab_blood,Horseshoe Crab Blood,ハーフショーレの血液
item.betteranimalsplus.horseshoecrab_bucket,Bucket of Horseshoe Crab,ホースシューカニのバケツ
item.betteranimalsplus.jellyfish_bucket,Bucket of Jellyfish,クラゲ入りバケツ
item.betteranimalsplus.lamprey_bucket,Bucket of Lamprey,ランプリーフのバケツ
item.betteranimalsplus.nautilus_bucket,Bucket of Nautilus,ナウティラスのバケツ
item.betteranimalsplus.pheasant_egg,Pheasant Egg,キジの卵
item.betteranimalsplus.pheasantcooked,Cooked Pheasant,焼きキジ
item.betteranimalsplus.pheasantraw,Raw Pheasant,生のキジ肉
item.betteranimalsplus.piranha_bucket,Bucket of Piranha,ピラニャのバケツ
item.betteranimalsplus.record_crab_rave,Music Disc,レコード
item.betteranimalsplus.record_walrus,Music Disc,レコード
item.betteranimalsplus.record_walrus.desc,I Am The Walrus,私はワルラスである
item.betteranimalsplus.turkey_egg,Turkey Egg,シチメンチョウの卵
item.betteranimalsplus.turkey_leg_cooked,Cooked Turkey Leg,焼いたシチメンチョウの足
item.betteranimalsplus.turkey_leg_raw,Raw Turkey Leg,生のシチメンチョウの足
item.betteranimalsplus.venisoncooked,Cooked Venison,焼いた鹿肉
item.betteranimalsplus.venisonraw,Raw Venison,生の鹿肉
item.betteranimalsplus.wolf_cape_arctic,Wolf Cape (Arctic),オオカミのマント（北極）
item.betteranimalsplus.wolf_cape_black,Wolf Cape (Black),ウオフのマント（黒）
item.betteranimalsplus.wolf_cape_brown,Wolf Cape (Brown),ウオフのマント（茶色）
item.betteranimalsplus.wolf_cape_classic,Wolf Cape (Classic),オオカミのケープ（普通）
item.betteranimalsplus.wolf_cape_red,Wolf Cape (Red),狼のカーフ（赤）
item.betteranimalsplus.wolf_cape_timber,Wolf Cape (Timber),オオカミのケープ（森林）
item.betteranimalsplus.wolf_pelt_arctic,Arctic Wolf Pelt,極地の狼の皮
item.betteranimalsplus.wolf_pelt_black,Black Wolf Pelt,黒オオカミの毛皮
item.betteranimalsplus.wolf_pelt_brown,Brown Wolf Pelt,茶色の狼の皮
item.betteranimalsplus.wolf_pelt_red,Red Wolf Pelt,赤い狼の皮
item.betteranimalsplus.wolf_pelt_snowy,Snowy Wolf Pelt,雪オオカミの毛皮
item.betteranimalsplus.wolf_pelt_timber,Timber Wolf Pelt,森林オオカミの毛皮
misc.betteranimalsplus.eggorder,%s Spawn Egg,%sのスポーンエッグ
tooltip.betteranimalsplus.cures_wither,Cures Wither,ウィスンを治す
tooltip.betteranimalsplus.nectar,Has Nectar,ネクタを有する
