key,source_text,target_text
Use /locate structure betterjungletemples:jungle_temple instead!,Use /locate structure betterjungletemples:jungle_temple instead!,/locate structure betterjungletemples:jungle_temple を使ってください
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples,YUNG's Better Jungle Temples,YUNGのベタージャングル寺院
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.compat,Mod Compatibility,モジュール互換性
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.compat.@Tooltip,Mod Compatibility Settings,モッド互換設定
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.compat.pickYourPoisonEnabled,Enable Pick Your Poison Compatibility,ピックユアポイズンとの互換性を有効化
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.compat.pickYourPoisonEnabled.@Tooltip,Whether PYP poison darts should spawn in Better Jungle Temples.,PYP毒弾がベター・ジャングル寺院で出現すべきかどうか
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.general,General,一般
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.general.@Tooltip,General Settings,一般設定
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.general.disableVanillaJungleTemples,Disable Vanilla Jungle Temples,ベーシックジャングル寺院を無効化する
text.autoconfig.betterjungletemples-fabric-1_20.option.betterJungleTemples.general.disableVanillaJungleTemples.@Tooltip,Whether vanilla Jungle Temples should be disabled.,バニラジャングル寺院を無効化するかどうか。
text.autoconfig.betterjungletemples-fabric-1_20.title,YUNG's Better Jungle Temples,YUNGのベタージャングル寺院
