key,source_text,target_text
betterstats,Better Statistics Screen,統計画面改善
betterstats.gui.ctx_menu.close,Close,閉じる
betterstats.gui.ctx_menu.pin_to_hud,Pin to hud (Beta),HUDに固定(ベータ版)
betterstats.gui.filters,Filters,フィルター
betterstats.gui.menu_bar.about,About,概要
betterstats.gui.menu_bar.about.source,Source Code,ソースコード
betterstats.gui.menu_bar.mods_other,Other (mods),その他(Mod)
betterstats.gui.menu_bar.view,View,表示
betterstats.gui.menu_bar.view.vanilla_stats,Show vanilla stats,バニラ統計を表示
betterstats.gui.no_stats_yet,There are no stats to show yet...,表示する統計がまだありません...
betterstats.gui.show_empty_stats,Show empty stats,空の統計を表示
betterstats.hud,Statistics hud (Beta),統計HUD(ベータ版)
betterstats.hud.entity.deaths,Deaths,死亡
betterstats.hud.entity.kills,Kills,キル数
betterstats.hud.hint.add_widget,Right click a statistic ([Shift]+RMB) to add it here.,統計を右クリック([シフト]+右クリック)してここに追加します。
betterstats.hud.hint.del_widget,Press Backspace (<-) to remove a hovered entry.,バックスペース(<-)を押してホバーしたエントリを削除します。
betterstats.hud.hint.esc_close,Press Escape (ESC) to close this screen.,Escape(ESC)キーを押してこの画面を閉じます。
