key,source_text,target_text
config.betterthanllamas.cat.general.desc,General configs that don't fit any other category.,その他のカテゴリに該当しない一般設定です。
config.betterthanllamas.cat.general.name,General Configs,一般設定
config.betterthanllamas.cat.outfit.desc,Configs regarding llamas that are wearing outfits.,装備を着用したラマに関する設定です。
config.betterthanllamas.cat.outfit.name,Outfit Configs,衣装設定
config.betterthanllamas.prop.applyOn.desc,Apply mod on what kind of llamas?,どの種類のラマにモッドを適用するか？
config.betterthanllamas.prop.applyOn.name,Apply Mod On,モッドを適用
config.betterthanllamas.prop.bowtieChance.desc,"Chance of llamas wearing a bow tie in their outfit, in percentage% (0-100)",ラマがネクタイを着用している確率（％） (0-100)
config.betterthanllamas.prop.bowtieChance.name,Bow Tie Chance,ネクタイの確率
config.betterthanllamas.prop.fancyChance.desc,"Chance of llamas wearing parts of their outfit, in percentage% (0-100)",ラマが服の一部を着用する確率（％） (0-100)
config.betterthanllamas.prop.fancyChance.name,Fancy Llama Chance,ファニーラマーチャンス
config.betterthanllamas.prop.fezChance.desc,"Chance of llamas wearing a fez in their outfit, in percentage% (0-100)",ラマがフェズを着用する確率（％） (0-100)
config.betterthanllamas.prop.fezChance.name,Fez Chance,フェズの確率
config.betterthanllamas.prop.hatChance.desc,"Chance of llamas wearing hats in their outfit, in percentage% (0-100)",ラマが帽子をかぶる確率（0-100％）
config.betterthanllamas.prop.hatChance.name,Hat Chance,帽子の確率
config.betterthanllamas.prop.monocleChance.desc,"Chance of llamas wearing a monocle in their outfit, in percentage% (0-100)",ラマがモノクルを着用している確率（％） (0-100)
config.betterthanllamas.prop.monocleChance.name,Monocle Chance,眼鏡の確率
config.betterthanllamas.prop.moustacheChance.desc,"Chance of llamas wearing a moustache in their outfit, in percentage% (0-100)",ラマが口ひげをつけている確率（パーセンテージ%）（0-100）
config.betterthanllamas.prop.moustacheChance.name,Moustache Chance,ひげの確率
config.betterthanllamas.prop.pipeChance.desc,"Chance of llamas having a pipe in their outfit, in percentage% (0-100)",ラマがパイプを持つ確率（％） (0-100)
config.betterthanllamas.prop.pipeChance.name,Pipe Chance,パイプの確率
splash.llamaDay,Happy Llama Day!,ハッピー・ラマ・デイ！
