key,source_text,target_text
_comment,Compat - JEI,互換性 - JEI
api.bigreactors.reactor.tooltip.coil,Extreme Reactors: this block can be used as a coil inside a Turbine,Extreme Reactors: このブロックはタービン内のコイルとして使用できます
api.bigreactors.reactor.tooltip.moderator,Extreme Reactors: this block or fluid can be used as a radiation moderator inside a Reactor,Extreme Reactors: このブロックまたは液体は、原子炉内の放射線減速材として使用できます。
api.bigreactors.reactor.tooltip.reactant.fuel,Extreme Reactors: this item or fluid can be used to produce fuel for a Reactor,Extreme Reactors: このアイテムまたは液体は原子炉の燃料を生産するために使用できます
block.bigreactors.anglesite_ore,Anglesite Ore,アングルサイト鉱石
block.bigreactors.basic_reactorcasing,Reactor Casing (Basic),原子炉外装 (基本)
block.bigreactors.basic_reactorchargingportfe,Reactor Forge Energy Charging Port (Basic),原子炉Forgeエネルギー充電ポート (基本)
block.bigreactors.basic_reactorcontroller,Reactor Controller (Basic),原子炉制御装置 (基本)
block.bigreactors.basic_reactorcontrolrod,Reactor Control Rod (Basic),原子炉制御棒 (基本)
block.bigreactors.basic_reactorfuelrod,Reactor Fuel Rod (Basic),原子炉燃料棒 (基本)
block.bigreactors.basic_reactorglass,Reactor Glass (Basic),原子炉ガラス (基本)
block.bigreactors.basic_reactorpowertapfe_active,Reactor Active Forge Energy Power Tap (Basic),原子炉アクティブForgeエネルギーパワータップ (基本)
block.bigreactors.basic_reactorpowertapfe_passive,Reactor Passive Forge Energy Power Tap (Basic),原子炉パッシブForgeエネルギーパワータップ (基本)
block.bigreactors.basic_reactorredstoneport,Reactor Redstone Port (Basic),原子炉レッドストーンポート (基本)
block.bigreactors.basic_reactorsolidaccessport,Reactor Solid Access Port (Basic),原子炉固体アクセスポート (基本)
block.bigreactors.basic_turbinecasing,Turbine Housing (Basic),タービン筐体 (基本)
block.bigreactors.basic_turbinechargingportfe,Turbine Forge Energy Charging Port (Basic),タービンForgeエネルギー充電ポート (基本)
block.bigreactors.basic_turbinecontroller,Turbine Controller (Basic),タービン制御装置 (基本)
block.bigreactors.basic_turbinecreativesteamgenerator,Turbine Creative Steam Generator (Basic),タービンクリエイティブ蒸気生成機 (基本)
block.bigreactors.basic_turbinefluidport_forge_active,Turbine Active Forge Fluid Port (Basic),タービンアクティブForge液体ポート (基本)
block.bigreactors.basic_turbinefluidport_forge_passive,Turbine Passive Forge Fluid Port (Basic),タービンパッシブForge液体ポート (基本)
block.bigreactors.basic_turbineglass,Turbine Glass (Basic),タービンガラス (基本)
block.bigreactors.basic_turbinepowertapfe_active,Turbine Active Forge Energy Power Tap (Basic),タービンアクティブForgeエネルギーパワータップ (基本)
block.bigreactors.basic_turbinepowertapfe_passive,Turbine Passive Forge Energy Power Tap (Basic),タービンパッシブForgeエネルギーパワータップ (基本)
block.bigreactors.basic_turbineredstoneport,Turbine Redstone Port (Basic),タービンレッドストーンポート (基本)
block.bigreactors.basic_turbinerotorbearing,Turbine Rotor Bearing (Basic),タービンローターベアリング (基本)
block.bigreactors.basic_turbinerotorblade,Turbine Rotor Blade (Basic),タービンローターブレード (基本)
block.bigreactors.basic_turbinerotorshaft,Turbine Rotor Shaft (Basic),タービンローターシャフト (基本)
block.bigreactors.benitoite_ore,Benitoite Ore,ベニトアイト鉱石
block.bigreactors.blutonium_block,Blutonium Block,ブルトニウムブロック
block.bigreactors.cyanite_block,Cyanite Block,シアンライトブロック
block.bigreactors.fluidizercasing,Fluidizer Casing,液体化設備外装
block.bigreactors.fluidizercontroller,Fluidizer Controller,液体化設備制御装置
block.bigreactors.fluidizerfluidinjector,Fluidizer Fluid Injector,液体化設備液体注入口
block.bigreactors.fluidizerglass,Fluidizer Glass,液体化設備ガラス
block.bigreactors.fluidizeroutputport,Fluidizer Output Port,液体化設備出力ポート
block.bigreactors.fluidizerpowerport,Fluidizer Power Port,液体化設備電力ポート
block.bigreactors.fluidizersolidinjector,Fluidizer Solid Injector,液体化設備固体注入口
block.bigreactors.graphite_block,Graphite Block,グラファイトブロック
block.bigreactors.inanite_block,Inanite Block,イナナイトブロック
block.bigreactors.ludicrite_block,Ludicrite Block,リュディクライトブロック
block.bigreactors.magentite_block,Magentite Block,マゼンタイトブロック
block.bigreactors.reinforced_reactorcasing,Reactor Casing (Reinforced),原子炉外装 (強化)
block.bigreactors.reinforced_reactorchargingportfe,Reactor Forge Energy Charging Port (Reinforced),原子炉Forgeエネルギー充電ポート (強化)
block.bigreactors.reinforced_reactorcomputerport,Reactor Computer Port (Reinforced),原子炉コンピューターポート (強化)
block.bigreactors.reinforced_reactorcontroller,Reactor Controller (Reinforced),原子炉制御装置 (強化)
block.bigreactors.reinforced_reactorcontrolrod,Reactor Control Rod (Reinforced),原子炉制御棒 (強化)
block.bigreactors.reinforced_reactorcoolantport_forge_active,Reactor Active Coolant Port (Reinforced),反応炉アクティブ冷却ポート（強化版）
block.bigreactors.reinforced_reactorcoolantport_forge_passive,Reactor Passive Coolant Port (Reinforced),リアクター受動冷却ポート（強化）
block.bigreactors.reinforced_reactorcreativewatergenerator,Reactor Creative Water Generator (Reinforced),原子炉クリエイティブ水生成機 (強化)
block.bigreactors.reinforced_reactorfluidaccessport,Reactor Fuel Injection Port (Reinforced),原子炉燃料注入ポート (強化)
block.bigreactors.reinforced_reactorfluidport_forge_active,Reactor Active Forge Fluid Port (Reinforced),原子炉アクティブForge液体ポート (強化)
block.bigreactors.reinforced_reactorfluidport_forge_passive,Reactor Passive Forge Fluid Port (Reinforced),原子炉パッシブForge液体ポート (強化)
block.bigreactors.reinforced_reactorfluidport_mekanism_passive,Reactor Passive Mekanism Fluid Port (Reinforced),原子炉パッシブMekanism液体ポート (強化)
block.bigreactors.reinforced_reactorfuelrod,Reactor Fuel Rod (Reinforced),原子炉燃料棒 (強化)
block.bigreactors.reinforced_reactorglass,Reactor Glass (Reinforced),原子炉ガラス (強化)
block.bigreactors.reinforced_reactorpowertapfe_active,Reactor Active Forge Energy Power Tap (Reinforced),原子炉アクティブForgeエネルギーパワータップ (強化)
block.bigreactors.reinforced_reactorpowertapfe_passive,Reactor Passive Forge Energy Power Tap (Reinforced),原子炉パッシブForgeエネルギーパワータップ (強化)
block.bigreactors.reinforced_reactorredstoneport,Reactor Redstone Port (Reinforced),原子炉レッドストーンポート (強化)
block.bigreactors.reinforced_reactorsolidaccessport,Reactor Solid Access Port (Reinforced),原子炉固体アクセスポート (強化)
block.bigreactors.reinforced_turbinecasing,Turbine Housing (Reinforced),タービン筐体 (強化)
block.bigreactors.reinforced_turbinechargingportfe,Turbine Forge Energy Charging Port (Reinforced),タービンForgeエネルギー充電ポート (強化)
block.bigreactors.reinforced_turbinecomputerport,Turbine Computer Port (Reinforced),タービンコンピューターポート (強化)
block.bigreactors.reinforced_turbinecontroller,Turbine Controller (Reinforced),タービン制御装置 (強化)
block.bigreactors.reinforced_turbinecreativesteamgenerator,Turbine Creative Steam Generator (Reinforced),タービンクリエイティブ蒸気生成機 (強化)
block.bigreactors.reinforced_turbinefluidport_forge_active,Turbine Active Forge Fluid Port (Reinforced),タービンアクティブForge液体ポート (強化)
block.bigreactors.reinforced_turbinefluidport_forge_passive,Turbine Passive Forge Fluid Port (Reinforced),タービンパッシブForge液体ポート (強化)
block.bigreactors.reinforced_turbineglass,Turbine Glass (Reinforced),タービンガラス (強化)
block.bigreactors.reinforced_turbinepowertapfe_active,Turbine Active Forge Energy Power Tap (Reinforced),タービンアクティブForgeエネルギーパワータップ (強化)
block.bigreactors.reinforced_turbinepowertapfe_passive,Turbine Passive Forge Energy Power Tap (Reinforced),タービンパッシブForgeエネルギーパワータップ (強化)
block.bigreactors.reinforced_turbineredstoneport,Turbine Redstone Port (Reinforced),タービンレッドストーンポート (強化)
block.bigreactors.reinforced_turbinerotorbearing,Turbine Rotor Bearing (Reinforced),タービンローターベアリング (強化)
block.bigreactors.reinforced_turbinerotorblade,Turbine Rotor Blade (Reinforced),タービンローターブレード (強化)
block.bigreactors.reinforced_turbinerotorshaft,Turbine Rotor Shaft (Reinforced),タービンローターシャフト (強化)
block.bigreactors.reprocessorcasing,Reprocessor Casing,再処理設備外装
block.bigreactors.reprocessorcollector,Reprocessor Collector,再処理設備コレクター
block.bigreactors.reprocessorcontroller,Reprocessor Controller,再処理設備制御装置
block.bigreactors.reprocessorfluidinjector,Reprocessor Fluid Injector,再処理設備液体注入口
block.bigreactors.reprocessorglass,Reprocessor Glass,再処理設備ガラス
block.bigreactors.reprocessoroutputport,Reprocessor Output Port,再処理設備出力ポート
block.bigreactors.reprocessorpowerport,Reprocessor Power Port,再処理設備電力ポート
block.bigreactors.reprocessorwasteinjector,Reprocessor Waste Injector,再処理設備廃棄物注入口
block.bigreactors.ridiculite_block,Ridiculite Block,リディキュライトブロック
block.bigreactors.yellorite_ore,Yellorite Ore,イェロライト鉱石
block.bigreactors.yellorium_block,Yellorium Block,イェロリウムブロック
compat.bigreactors.jei.common.recipecategory.energy.tooltip.title,Energy,エネルギー
compat.bigreactors.jei.fluidizer.recipecategory.fluidmixing.title,Fluidizer - Fluid mixing,液体化設備 - 液体混合
compat.bigreactors.jei.fluidizer.recipecategory.solid.title,Fluidizer - Solid to Fluid,液体化設備 - 固体から液体へ
compat.bigreactors.jei.fluidizer.recipecategory.solidmixing.title,Fluidizer - Solid mixing,液体化設備 - 固体混合
compat.bigreactors.jei.reprocessor.recipecategory.title,Reprocessor,再処理
config.bigreactors.client,Client-only configs,クライアント側設定
config.bigreactors.client.disableapitooltips,"Do not add (advanced) tooltips to fuels, moderators, coils, etc",燃料、減速材、コイルなどに（高度な）ツールチップを追加しない
config.bigreactors.client.disablepatchoulitweaks,Enable this if you are having problems with newer versions of Patchouli,Patchouliの新しいバージョンで問題がある場合はこれを有効にしてください
config.bigreactors.client.disablereactorparticles,Disable all particle effects in the Reactor,原子炉内のすべてのパーティクル効果を無効にする
config.bigreactors.client.disableturbineparticles,Disable all particle effects in the Turbine,タービンのすべてのパーティクル効果を無効にする
config.bigreactors.client.disableturbinerotorrender,Disable Turbine Rotor animation,タービンローターアニメーションを無効にする
config.bigreactors.client.fuelrodlightvalue,Light emitted by a Fuel Rod,燃料棒から発せられる光
config.bigreactors.compatibility,Compatibility,互換性
config.bigreactors.fluidizer.energyperrecipetick,Energy per recipe tick,レシピごとのエネルギー
config.bigreactors.fluidizer.maxfluidizerheight,Max height (Y),最大高さ (Y)
config.bigreactors.fluidizer.maxfluidizersize,Max size (X/Z),最大サイズ (X/Z)
config.bigreactors.general,General,一般
config.bigreactors.general.fuelusagemultiplier,Fuel consumption multiplier,燃料消費乗数
config.bigreactors.general.powerproductionmultiplier,Power production multiplier,電力生産乗数
config.bigreactors.general.ticksperredstoneupdate,Ticks per Redstone Ports updates,レッドストーンポートの更新ごとのティック
config.bigreactors.reactor,Reactor,原子炉
config.bigreactors.reactor.maxreactorheight,Max height (Y),最大高さ (Y)
config.bigreactors.reactor.maxreactorsize,Max size (X/Z),最大サイズ (X/Z)
config.bigreactors.reactor.reactorpowerproductionmultiplier,Power production multiplier,電力生産乗数
config.bigreactors.recipes,Recipes,レシピ
config.bigreactors.recipes.registerCoalForSmelting,Smelt coal into graphite,石炭をグラファイトに精錬
config.bigreactors.recipes.registercharcoalforsmelting,Smelt charcoal into graphite,木炭をグラファイトに精錬
config.bigreactors.turbine,Turbine,タービン
config.bigreactors.turbine.maxturbineheight,Max height (Y),最大高さ (Y)
config.bigreactors.turbine.maxturbinesize,Max size (X/Z),最大サイズ (X/Z)
config.bigreactors.turbine.turbineaerodragmultiplier,Aero drag multiplier,空気抵抗係数
config.bigreactors.turbine.turbinecoildragmultiplier,Coil drag multiplier,コイル抵抗係数
config.bigreactors.turbine.turbinefluidperblademultiplier,Fluid per blade multiplier,ブレードあたりの液体乗数
config.bigreactors.turbine.turbinemassdragmultiplier,Mass drag multiplier,質量抵抗乗数
