key,source_text,target_text
block.bonsaitrees4.bonsaipot,Bonsai Pot,bonsai ポット
block.bonsaitrees4.bonsaipot.enchanted,Enchanted Bonsai Pot,魔法の盆栽鉢
block.bonsaitrees4.bonsaipot_small,Small Bonsai Pot,小さな盆栽鉢
block.bonsaitrees4.bonsaipot_small.enchanted,Small Enchanted Bonsai Pot,小さな魔法の盆栽鉢
bonsaitrees4.configuration.client,Client,クライアント
bonsaitrees4.configuration.client.disable_model_cache,Disable model cache,モデルキャッシュを無効化
bonsaitrees4.configuration.client.disable_model_cache.tooltip,"When enabled, the model cache will be disabled. This is useful for development and debugging, but causes significant performance impact even on high end machines.",有効にすると、モデルキャッシュが無効になります。これは開発とデバッグに役立ちますが、高性能なマシンでも大きなパフォーマンス低下を引き起こします。
bonsaitrees4.configuration.client.minimal_quads,Render hull quads only,Hullの四角形のみをレンダリング
bonsaitrees4.configuration.client.minimal_quads.tooltip,"When enabled, only the hull quads of the bonsai pot will be rendered. This can help with performance on very low end machines.",有効にすると、盆栽鉢のハルクアッドのみがレンダリングされます。これは非常に低性能なマシンでのパフォーマンス向上に役立ちます。
bonsaitrees4.configuration.client.show_jei_subtypes,Show all bonsais in JEI,JEIで全ての盆栽を表示
bonsaitrees4.configuration.client.show_jei_subtypes.tooltip,Showing all the bonsais at the same time might be overwhelming for low end machines. It also clutters the JEI ingredient list.,すべての盆栽を同時に表示すると、低スペックマシンでは圧倒される可能性があります。また、JEIの材料リストも混乱します。
bonsaitrees4.configuration.client.show_tree_in_sapling_tooltip,Show tree in sapling tooltip,樹木を種苗のツールチップに表示
bonsaitrees4.configuration.client.show_tree_in_sapling_tooltip.tooltip,"When enabled, the tree will be rendered in the tooltip of sapling items.",有効にすると、苗木アイテムのツールチップで木が描画されます。
bonsaitrees4.configuration.client.tooltip,Options related to rendering and information display.,レンダリングと情報表示に関するオプション。
bonsaitrees4.configuration.debug,Debug,デバッグ
bonsaitrees4.configuration.debug.show_chances,Show chances,確率表示
bonsaitrees4.configuration.debug.show_chances.tooltip,"These are chances estimated from the loot tables and are not reliable. There are many factors that can affect the actual chances, which are not taken into account.",これらはルートテーブルから推定された確率であり、信頼性がありません。実際の確率に影響を与える多くの要因がありますが、考慮されていません。
bonsaitrees4.configuration.debug.show_rolls_as_count_in_jei,Show rolls as item count in JEI,JEIでロールをアイテム数として表示
bonsaitrees4.configuration.debug.show_rolls_as_count_in_jei.tooltip,Show how often at item is rolled during loot generation.,アイテムがロットされる頻度を表示する。
bonsaitrees4.configuration.debug.show_unknown_loot_conditions,Show unknown loot conditions,不明な宝箱条件を表示
bonsaitrees4.configuration.debug.show_unknown_loot_conditions.tooltip,This can help identify issues with loot tables.,これによりロットテーブルの問題を特定できます。
bonsaitrees4.configuration.debug.show_unused_soil_recipes_in_jei,Show unused Soils in JEI,未使用土壌をJEIで表示
