key,source_text,target_text
block.botanicalextramachinery.advanced_alfheim_market,Advanced Alfheim Market,精密アルフヘイムマーケット
block.botanicalextramachinery.advanced_apothecary,Advanced Apothecary,精密調合所
block.botanicalextramachinery.advanced_daisy,Advanced Pure Daisy,精密メカニカルデイジー
block.botanicalextramachinery.advanced_industrial_agglomeration_factory,Advanced Industrial Agglomeration Factory,精密集結ファクトリー
block.botanicalextramachinery.advanced_mana_pool,Advanced Mana Pool,精密マナプール
block.botanicalextramachinery.advanced_orechid,Advanced Orechid,メカキド・精密
block.botanicalextramachinery.advanced_runic_altar,Advanced Runic Altar,精密の祭壇
block.botanicalextramachinery.base_alfheim_market,Basic Alfheim Market,基本アルフヘイムマーケット
block.botanicalextramachinery.base_apothecary,Basic Apothecary,基本調合所
block.botanicalextramachinery.base_daisy,Basic Pure Daisy,基本メカニカルデイジー
block.botanicalextramachinery.base_industrial_agglomeration_factory,Basic Industrial Agglomeration Factory,基本集結ファクトリー
block.botanicalextramachinery.base_mana_pool,Base Mana Pool,基本マナプール
block.botanicalextramachinery.base_orechid,Basic Orechid,メカキド・基本
block.botanicalextramachinery.base_runic_altar,Base Runic Altar,基本の祭壇
block.botanicalextramachinery.crimson_dragonstone_block,Crimson Dragonstone Block,クリムゾンドラゴンストーンブロック
block.botanicalextramachinery.crimson_ingot_block,Crimson Block,クリムゾンブロック
block.botanicalextramachinery.crystal_dragonstone_block,Crystal Dragonstone Block,クリスタルドラゴンストーンブロック
block.botanicalextramachinery.crystal_ingot_block,Crystal Block,クリスタルブロック
block.botanicalextramachinery.greenhouse,Greenhouse,グリーンハウス
block.botanicalextramachinery.jaded_amaranthus,Jaded Amaranthus,メカニカル・アマランサス
block.botanicalextramachinery.malachite_dragonstone_block,Malachite Dragonstone Block,マラカイトドラゴンストーンブロック
block.botanicalextramachinery.malachite_ingot_block,Malachite Block,マラカイトブロック
block.botanicalextramachinery.saffron_dragonstone_block,Saffron Dragonstone Block,サフランドラゴンストーンブロック
block.botanicalextramachinery.saffron_ingot_block,Saffron Block,サフランブロック
block.botanicalextramachinery.shadow_dragonstone_block,Shadow Dragonstone Block,シャドウドラゴンストーンブロック
block.botanicalextramachinery.shadow_ingot_block,Shadow Block,シャドウブロック
block.botanicalextramachinery.ultimate_alfheim_market,Ultimate Alfheim Market,究極アルフヘイムマーケット
block.botanicalextramachinery.ultimate_apothecary,Ultimate Apothecary,究極調合所
block.botanicalextramachinery.ultimate_daisy,Ultimate Pure Daisy,究極メカニカルデイジー
block.botanicalextramachinery.ultimate_industrial_agglomeration_factory,Ultimate Industrial Agglomeration Factory,究極集結ファクトリー
block.botanicalextramachinery.ultimate_mana_pool,Ultimate Mana Pool,究極マナプール
block.botanicalextramachinery.ultimate_orechid,Ultimate Orechid,メカキド・究極
block.botanicalextramachinery.ultimate_runic_altar,Ultimate Runic Altar,究極の祭壇
block.botanicalextramachinery.upgraded_alfheim_market,Upgraded Alfheim Market,発展アルフヘイムマーケット
block.botanicalextramachinery.upgraded_apothecary,Upgraded Apothecary,発展調合所
block.botanicalextramachinery.upgraded_daisy,Upgraded Pure Daisy,発展メカニカルデイジー
block.botanicalextramachinery.upgraded_industrial_agglomeration_factory,Upgraded Industrial Agglomeration Factory,発展集結ファクトリー
block.botanicalextramachinery.upgraded_mana_pool,Upgraded Mana Pool,発展マナプール
block.botanicalextramachinery.upgraded_orechid,Upgraded Orechid,メカキド・発展
block.botanicalextramachinery.upgraded_runic_altar,Upgraded Runic Altar,発展の祭壇
botanicalextramachinery.tooltip.block.energy,§bCurrent Energy:§r §6 %1$s,§b蓄電量：§r §6 %1$s
botanicalextramachinery.tooltip.block.mana,§bCurrent Mana:§r §6 %1$s,§bマナ貯蔵量：§r §6 %1$s
botanicalextramachinery.tooltip.block.water,§bCurrent Water:§r §6 %1$s,§b貯水量：§r §6 %1$s
botanicalextramachinery.tooltip.item.catalyst_petal_1,Transforms §dmystical flowers§r into §apetals§r,§d神秘の花§rを§a花びら§rに変換する
botanicalextramachinery.tooltip.item.catalyst_petal_2,Transforms §dmystical flowers§r into §ablock petals§r,§d神秘の花§rを§a花びらブロック§rに変換する
botanicalextramachinery.tooltip.item.catalyst_petal_3,Used in §6mechanical jaded amaranth§r,§6メカニカル・アマランサス§rで使用する
botanicalextramachinery.tooltip.item.livingrock,§6Generates infinite livingrock,§6リビングロックを無限に生成する
botanicalextramachinery.tooltip.item.mana_infinity,§6Generates infinite mana,§6マナを無限に生成する
botanicalextramachinery.tooltip.item.seed,§6Generates infinite seed,§6種を無限に生成する
