key,source_text,target_text
block.botanypotstiers.creative_black_concrete_botany_pot,Creative Black Botany Pot,クリエイティブ黒色ボタニーポット
block.botanypotstiers.creative_black_concrete_hopper_botany_pot,Creative Black Hopper Botany Pot,クリエイティブ黒色ホッパーボタニーポット
block.botanypotstiers.creative_black_glazed_terracotta_botany_pot,Creative Black Glazed Botany Pot,クリエイティブ黒色釉薬瓶ボタニーポット
block.botanypotstiers.creative_black_glazed_terracotta_hopper_botany_pot,Creative Black Glazed Hopper Botany Pot,クリエイティブ黒色釉薬瓶ホッパーボタニーポット
block.botanypotstiers.creative_black_terracotta_botany_pot,Creative Black Botany Pot,クリエイティブ黒色ボタニーポット
block.botanypotstiers.creative_black_terracotta_hopper_botany_pot,Creative Black Hopper Botany Pot,クリエイティブ黒色ホッパーボタニーポット
block.botanypotstiers.creative_blue_concrete_botany_pot,Creative Blue Botany Pot,クリエイティブ青色ボタニーポット
block.botanypotstiers.creative_blue_concrete_hopper_botany_pot,Creative Blue Hopper Botany Pot,クリエイティブ青色ホッパーボタニーポット
block.botanypotstiers.creative_blue_glazed_terracotta_botany_pot,Creative Blue Glazed Botany Pot,クリエイティブ青色釉薬瓶ボタニーポット
block.botanypotstiers.creative_blue_glazed_terracotta_hopper_botany_pot,Creative Blue Glazed Hopper Botany Pot,クリエイティブ青色釉薬瓶ホッパーボタニーポット
block.botanypotstiers.creative_blue_terracotta_botany_pot,Creative Blue Botany Pot,クリエイティブ青色ボタニーポット
block.botanypotstiers.creative_blue_terracotta_hopper_botany_pot,Creative Blue Hopper Botany Pot,クリエイティブ青色ホッパーボタニーポット
block.botanypotstiers.creative_brown_concrete_botany_pot,Creative Brown Botany Pot,クリエイティブ茶色ボタニーポット
block.botanypotstiers.creative_brown_concrete_hopper_botany_pot,Creative Brown Hopper Botany Pot,クリエイティブ茶色ホッパーボタニーポット
block.botanypotstiers.creative_brown_glazed_terracotta_botany_pot,Creative Brown Glazed Botany Pot,クリエイティブ茶色釉薬瓶ボタニーポット
block.botanypotstiers.creative_brown_glazed_terracotta_hopper_botany_pot,Creative Brown Glazed Hopper Botany Pot,クリエイティブ茶色釉薬瓶ホッパーボタニーポット
block.botanypotstiers.creative_brown_terracotta_botany_pot,Creative Brown Botany Pot,クリエイティブ茶色ボタニーポット
block.botanypotstiers.creative_brown_terracotta_hopper_botany_pot,Creative Brown Hopper Botany Pot,クリエイティブ茶色ホッパーボタニーポット
block.botanypotstiers.creative_cyan_concrete_botany_pot,Creative Cyan Botany Pot,クリエイティブ青緑ボタニーポット
block.botanypotstiers.creative_cyan_concrete_hopper_botany_pot,Creative Cyan Hopper Botany Pot,クリエイティブ青緑ホッパーボタニーポット
block.botanypotstiers.creative_cyan_glazed_terracotta_botany_pot,Creative Cyan Glazed Botany Pot,クリエイティブ青緑釉薬瓶ボタニーポット
block.botanypotstiers.creative_cyan_glazed_terracotta_hopper_botany_pot,Creative Cyan Glazed Hopper Botany Pot,クリエイティブ青緑釉薬瓶ホッパーボタニーポット
block.botanypotstiers.creative_cyan_terracotta_botany_pot,Creative Cyan Botany Pot,クリエイティブ青緑ボタニーポット
block.botanypotstiers.creative_cyan_terracotta_hopper_botany_pot,Creative Cyan Hopper Botany Pot,クリエイティブ青緑ホッパーボタニーポット
block.botanypotstiers.creative_gray_concrete_botany_pot,Creative Gray Botany Pot,クリエイティブグレーボタニーポット
block.botanypotstiers.creative_gray_concrete_hopper_botany_pot,Creative Gray Hopper Botany Pot,クリエイティブグレーホッパーボタニーポット
block.botanypotstiers.creative_gray_glazed_terracotta_botany_pot,Creative Gray Glazed Botany Pot,クリエイティブグレー釉薬瓶ボタニーポット
block.botanypotstiers.creative_gray_glazed_terracotta_hopper_botany_pot,Creative Gray Glazed Hopper Botany Pot,クリエイティブグレー釉薬瓶ホッパーボタニーポット
block.botanypotstiers.creative_gray_terracotta_botany_pot,Creative Gray Botany Pot,クリエイティブグレーボタニーポット
block.botanypotstiers.creative_gray_terracotta_hopper_botany_pot,Creative Gray Hopper Botany Pot,クリエイティブグレーホッパーボタニーポット
block.botanypotstiers.creative_green_concrete_botany_pot,Creative Green Botany Pot,クリエイティブグリーンボタニーポット
block.botanypotstiers.creative_green_concrete_hopper_botany_pot,Creative Green Hopper Botany Pot,クリエイティブグリーンホッパーボタニーポット
block.botanypotstiers.creative_green_glazed_terracotta_botany_pot,Creative Green Glazed Botany Pot,クリエイティブグリーン釉薬瓶ボタニーポット
