key,source_text,target_text
advancements.camerapture.shutterbug.description,Obtain a Camera and start documenting the world around you,カメラを入手し、周囲の世界を記録し始めてください
advancements.camerapture.shutterbug.title,Shutterbug,シャッター・バグ
config.camerapture.category.client,Client,クライアント
config.camerapture.category.permission_levels,Permission Levels,許可レベル
config.camerapture.category.server,Server,サーバー
config.camerapture.option.cache_pictures,Cache pictures locally on disk,画像をローカルディスクにキャッシュする
config.camerapture.option.can_rotate_pictures,Rotate pictures when right-clicked,右クリックで画像を回転
config.camerapture.option.check_frame_position,Check if picture frame position is valid,写真フレームの位置が有効かどうかを確認します。
config.camerapture.option.max_image_bytes,Maximum image size (bytes),最大画像サイズ（バイト）
config.camerapture.option.max_image_resolution,Maximum square image resolution,最大の正方形画像解像度
config.camerapture.option.ms_per_picture,Delay between pictures sent (ms),送信される画像の間隔（ミリ秒）
config.camerapture.option.permission_level.take_picture,Take pictures,写真を撮る
config.camerapture.option.permission_level.upload,Upload pictures,写真をアップロード
config.camerapture.option.save_screenshot,Save taken pictures as screenshots,撮影した画像をスクリーンショットとして保存
config.camerapture.option.simple_camera_hud,Simple camera HUD,シンプルカメラHUD
config.camerapture.option.zoom_mouse_sensitivity,Zoomed mouse sensitivity,マウス感度を拡大
config.camerapture.set_by_server,"NOTE: This option is determined by the server,
and synced to the client upon joining.",注意: この設定はサーバーによって決定されます。
config.camerapture.title,Camerapture Options,カメラキャプチャーオプション
config.jade.plugin_camerapture.picture_frame,Picture Frame,写真フレーム
entity.camerapture.picture_frame,Picture Frame,絵画フレーム
item.camerapture.album,Album,アルバム
item.camerapture.camera,Camera,カメラ
item.camerapture.picture,Picture,画像
item.camerapture.picture.creator_tooltip,Taken by %s,%sによって取り上げられました
item.camerapture.picture.timestamp_tooltip,on %s,%s で
sound.camerapture.camera_shutter,Camera shutters,カメラシャッター
stat.camerapture.pictures_taken,Pictures Taken,撮影された写真
text.camerapture.date,DATE: %s,日付: %s
text.camerapture.edit_picture_frame.fixed,Fixed,固定
text.camerapture.edit_picture_frame.glowing,Glowing,光る
text.camerapture.edit_picture_frame.shrink_hint,Hold SHIFT to shrink,SHIFTキーで縮小
text.camerapture.edit_picture_frame.size,Size: %d x %d,サイズ: %d x %d
text.camerapture.fetching_failed,Could not fetch picture.,画像を取得できませんでした。
text.camerapture.fetching_picture,Fetching picture...,画像を取得中...
text.camerapture.no_paper,NO PAPER,紙なし
text.camerapture.paper_available,%d PAPER AVAILABLE,%d PAPER AVAILABLE
text.camerapture.picture_failed,"Could not save picture, try again later (server-side).",画像を保存できませんでした、後で再試行してください（サーバー側）。
text.camerapture.upload_failed,"Could not upload picture, try again later (client-side).",画像をアップロードできませんでした。後で再試行してください（クライアント側）
text.camerapture.upload_picture.browse,or browse your filesystem...,またはファイルシステムをブラウズ...
text.camerapture.upload_picture.description,Drag 'n drop your image here,画像をここへドラッグ＆ドロップしてください
text.camerapture.upload_picture.title,Upload Picture,写真をアップロード
text.camerapture.uploading_disabled,Uploading has been disabled by the server.,アップロードはサーバーによって無効化されました。
