key,source_text,target_text
item.camol.solid_camo_item,Shape Retaining Camo Block,形状維持カモフラージュブロック
item.camol.solid_camo_item.camo,Shape Retaining Camo Block - %s,形状維持カモフラージュブロック - %s
item.camol.solid_camo_item.hover,Right click a block to disguise it as this block. Right click a camoed block to undisguise it.,ブロックを右クリックしてこのブロックに偽装します。カモフラージュされたブロックを右クリックして偽装を解除します。
item.camol.solid_camo_item.hover_empty,Craft together with a block.,ブロックと一緒にクラフトしてください。
item.camol.solid_camo_item.hover_type,Uses the collision shape of the camoing block.,カモフラージュするブロックの当たり判定を使用します。
item.camol.camo_item,Camo Block,カモフラージュブロック
item.camol.camo_item.hover,Right click a block to disguise it as this block. Right click a camoed block to undisguise it.,ブロックを右クリックしてこのブロックに偽装します。カモフラージュされたブロックを右クリックして偽装を解除します。
item.camol.camo_item.hover_empty,Craft together with a block.,ブロックと一緒にクラフトしてください。
item.camol.camo_item.camo,Camo Block - %s,カモフラージュブロック - %s
item.camol.camo_item.hover_type,Uses the collision shape of the camoed block.,カモフラージュされたブロックの当たり判定を使用します。
