key,source_text,target_text
cd4017be.shiftHint,<§aSHIFT§7 for info>,<§aSHIFT§7 で情報を表示>
cd4017be.altHint,<§aALT§7 for extra>,<§aALT§7 で追加>
cd4017be.fluidUnit,B,
cd4017be.energyUnit,kJ,
cd4017be.powerUnit,kW,
cd4017be.tankEmpty,Empty,空
cd4017be.tankAmount,%0$.5u / %1$.5u B,
itemGroup.cd4017be_lib,Crafting Materials,クラフト用材料
item.cd4017be.rrwi.name,§4Disabled Recipe!,§4レシピが無効です！
item.cd4017be.m.name,Hint for modpack developers!,モッドパック開発者へのヒント！
item.cd4017be.m.tipA,§cWarning: These items may contain\n§cpossibly dangerous features!\n<+§aF4§7 for details>,§c警告：これらのアイテムには\\n§cおそらく危険な機能が含まれている可能性があります！\\n<+§aF4§7 で詳細>
enumfacing.down,Bottom,下
enumfacing.up,Top,上
enumfacing.north,North,北
enumfacing.south,South,南
enumfacing.east,East,東
enumfacing.west,West,西
enumfacing.null,None,なし
gui.cd4017be.move,Move Window,ウィンドウを移動
gui.cd4017be.close,Close Window,ウィンドウを閉じる
gui.cd4017be.sel_file,Select File,ファイルを選択
item.cd4017be.m.tip,"You can add simple crafting items in\n§econfig/cd4017be/core.rcp§7 using: §3add(""item"", §4id§3, §4name§3);\n§4id§7 = unique number[0...32767] for damage value.\nIn §een_US.lang§7 add: §3item.cd4017be.m:§4name§3.name=§7DisplayName\nand optional: §3item.cd4017be.m:§4name§3.tip=§7Tooltip\nand/or §3item.cd4017be.m:§4name§3.tipA=§7Secondary Tooltip\nModel file = §eassets/cd4017be_lib/models/item/m/§4name§e.json\nIn recipe declarations use: §3it(""m.§4name§3"")",
