key,source_text,target_text
block.charm.acacia_barrel,Acacia Barrel,アカシアの樽
block.charm.acacia_bookcase,Acacia Bookcase,アカシア本棚
block.charm.acacia_bookshelf,Acacia Bookshelf,アカシアの本棚
block.charm.acacia_chest,Acacia Chest,アカシアのチェスト
block.charm.acacia_crate,Acacia Crate,アカシアの箱
block.charm.acacia_ladder,Acacia Ladder,アカシアのはしご
block.charm.acacia_trapped_chest,Acacia Trapped Chest,アカシアのトラップチェスト
block.charm.birch_barrel,Birch Barrel,シラカバの樽
block.charm.birch_bookcase,Birch Bookcase,白樺本棚
block.charm.birch_bookshelf,Birch Bookshelf,シラカバの本棚
block.charm.birch_chest,Birch Chest,シラカバのチェスト
block.charm.birch_crate,Birch Crate,シラカバの箱
block.charm.birch_ladder,Birch Ladder,シラカバの梯子
block.charm.birch_trapped_chest,Birch Trapped Chest,シラカバのトラップチェスト
block.charm.brain_prismarine,Brain Prismarine,脳のプリズマイン
block.charm.brain_prismarine_bricks,Brain Prismarine Bricks,脳プリズマリンレンガ
block.charm.brain_sea_lantern,Brain Sea Lantern,ブレイン・シーランタン
block.charm.brew_bottle,Brew Bottle?!,ブレウーバー？！
block.charm.bubble_prismarine,Bubble Prismarine,バブル・プリズマリン
block.charm.bubble_prismarine_bricks,Bubble Prismarine Bricks,気泡プリマリーンブロック
block.charm.bubble_sea_lantern,Bubble Sea Lantern,気泡の海のランタン
block.charm.candle,Candle,キャンドル
block.charm.crimson_barrel,Crimson Barrel,深紅の樽
block.charm.crimson_bookcase,Crimson Bookcase,クリムソンの本棚
block.charm.crimson_bookshelf,Crimson Bookshelf,深紅の本棚
block.charm.crimson_chest,Crimson Chest,真紅のチェスト
block.charm.crimson_crate,Crimson Crate,クリムソンの箱
block.charm.crimson_ladder,Crimson Ladder,真紅のはしご
block.charm.crimson_trapped_chest,Crimson Trapped Chest,真紅のトラップチェスト
block.charm.dark_brain_prismarine,Dark Brain Prismarine,ダークブレインプリズマイン
block.charm.dark_bubble_prismarine,Dark Bubble Prismarine,ダークバブルプリズマリン
block.charm.dark_fire_prismarine,Dark Fire Prismarine,ダークファイア・プリズマリン
block.charm.dark_horn_prismarine,Dark Horn Prismarine,ダークホーンプリズマリン
block.charm.dark_oak_barrel,Dark Oak Barrel,ダークオークの樽
block.charm.dark_oak_bookcase,Dark Oak Bookcase,オーク本棚
block.charm.dark_oak_bookshelf,Dark Oak Bookshelf,ダークオークの本棚
block.charm.dark_oak_chest,Dark Oak Chest,ダークオークのチェスト
block.charm.dark_oak_crate,Dark Oak Crate,ダークオークの木箱
block.charm.dark_oak_ladder,Dark Oak Ladder,ダークオークの梯子
block.charm.dark_oak_trapped_chest,Dark Oak Trapped Chest,ダークオークのトラップチェスト
block.charm.dark_tube_prismarine,Dark Tube Prismarine,ダークチューブプリズマリン
block.charm.ender_pearl_block,Ender Pearl Block,エンダーパールブロック
block.charm.fire_prismarine,Fire Prismarine,火のプリマリナ
block.charm.fire_prismarine_bricks,Fire Prismarine Bricks,炎のプリズマリンレンガ
block.charm.fire_sea_lantern,Fire Sea Lantern,火の海のランタン
block.charm.fisherman_barrel,Fisherman Barrel,漁師の樽
block.charm.glowball_blob,Glowball Blob,グロウボールブロブ
block.charm.gold_bars,Gold Bars,金の棒
block.charm.gold_chain,Gold Chain,金のチェーン
block.charm.gold_lantern,Gold Lantern,金のランタン
block.charm.gold_soul_lantern,Gold Soul Lantern,金の魂のランタン
block.charm.gunpowder_block,Gunpowder Block,火薬ブロック
block.charm.horn_prismarine,Horn Prismarine,角付きプリズマリン
block.charm.horn_prismarine_bricks,Horn Prismarine Bricks,角のプリズマリンレンガ
block.charm.horn_sea_lantern,Horn Sea Lantern,角の海のランタン
block.charm.jungle_barrel,Jungle Barrel,ジャングル樽
block.charm.jungle_bookcase,Jungle Bookcase,ジャングル本棚
block.charm.jungle_bookshelf,Jungle Bookshelf,ジャングルの本棚
block.charm.jungle_chest,Jungle Chest,ジャングルのチェスト
block.charm.jungle_crate,Jungle Crate,ジャングルの木箱
block.charm.jungle_ladder,Jungle Ladder,ジャングルのはしご
block.charm.jungle_trapped_chest,Jungle Trapped Chest,ジャングルのトラップチェスト
block.charm.kiln,Kiln,製錬炉
block.charm.oak_barrel,Oak Barrel,オークの樽
block.charm.oak_bookcase,Oak Bookcase,オークの本棚
block.charm.oak_bookshelf,Oak Bookshelf,オークの本棚
block.charm.oak_chest,Oak Chest,オークのチェスト
block.charm.oak_crate,Oak Crate,オークの木箱
block.charm.oak_ladder,Oak Ladder,オークの梯子
block.charm.oak_trapped_chest,Oak Trapped Chest,オークのトラップチェスト
block.charm.player_pressure_plate,Player Pressure Plate,プレイヤープレッシャープレート
block.charm.redstone_lantern,Redstone Lantern,レッドストーンランタン
block.charm.redstone_sand,Redstone Sand,レッドストーンの砂
block.charm.refined_obsidian,Refined Obsidian,精製黒曜石
block.charm.refined_obsidian_slab,Refined Obsidian Slab,精錬黒曜石スラブ
block.charm.refined_obsidian_stairs,Refined Obsidian Stairs,精製黒曜石階段
block.charm.refined_obsidian_wall,Refined Obsidian Wall,精錬黒曜石壁
block.charm.smooth_glowstone,Smooth Glowstone,滑らかなグロウストーン
block.charm.spruce_barrel,Spruce Barrel,トウヒの樽
block.charm.spruce_bookcase,Spruce Bookcase,トウヒ本棚
block.charm.spruce_bookshelf,Spruce Bookshelf,トウヒの本棚
block.charm.spruce_chest,Spruce Chest,マツのチェスト
block.charm.spruce_crate,Spruce Crate,トウヒのクレート
block.charm.spruce_ladder,Spruce Ladder,シラカバの梯子
block.charm.spruce_trapped_chest,Spruce Trapped Chest,マツのトラップチェスト
block.charm.sugar_block,Sugar Block,砂糖
block.charm.tube_prismarine,Tube Prismarine,チューブプリズマリン
block.charm.tube_prismarine_bricks,Tube Prismarine Bricks,チューブプリズマリンレンガ
block.charm.tube_sea_lantern,Tube Sea Lantern,管の海のランタン
block.charm.warped_barrel,Warped Barrel,ウォープ樽
block.charm.warped_bookcase,Warped Bookcase,ねじれの本棚
block.charm.warped_bookshelf,Warped Bookshelf,ワープドの本棚
block.charm.warped_chest,Warped Chest,歪んだチェスト
block.charm.warped_crate,Warped Crate,歪んだクレート
block.charm.warped_ladder,Warped Ladder,歪んだはしご
block.charm.warped_trapped_chest,Warped Trapped Chest,歪んだトラップチェスト
block.charm.woodcutter,Woodcutter,伐木家
container.charm.crate,Crate,箱
container.charm.kiln,Kiln,製錬炉
container.charm.portable_crafting_table,Portable Crafting,ポータブルクラフト
container.charm.portable_ender_chest,Portable Ender Chest,ポータブルエンダーチェスト
container.charm.woodcutter,Woodcutter,伐木家
enchantment.charm.acquisition,Acquisition,収集
enchantment.charm.acquisition.desc,Tools automatically pick up drops,ツールはドロップを自動で拾い上げます
enchantment.charm.aerial_affinity,Aerial Affinity,空中の親和性
enchantment.charm.aerial_affinity.desc,Increases mining rate when not on the ground,地面にいないときの採掘速度が上昇します
enchantment.charm.tinted,Tinted,色付き
enchantment.charm.tinted.desc,Allows changing the color of the enchanted glint using dye on an anvil,金槌に染料を使ってエンチャントグリントの色を変更することを許可します
entity.charm.coral_squid,Coral Squid,サンゴイカ
entity.charm.moobloom,Moobloom,ムーブルーム
entity.minecraft.villager.charm.beekeeper,Beekeeper,養蜂家
entity.minecraft.villager.charm.lumberjack,Lumberjack,木こり
filled_map.charm.trader_map,%s Map,%s マップ
gui.charm.recipebook.toggleRecipes.fireable,Showing Fireable,炎を放てる状態
item.charm.atlas,Atlas,アトラス
item.charm.bat_bucket,Bat in a Bucket,バット入りバケツ
item.charm.beeswax,Beeswax,蜂のワックス
item.charm.coral_squid_bucket,Squid in a Bucket,バケツ入りイカ
item.charm.coral_squid_spawn_egg,Coral Squid Spawn Egg,コーラルイカスパAWNエッグ
item.charm.endermite_powder,Endermite Powder,エンダーミートの粉
item.charm.fisherman_barrel,Fisherman Barrel,漁師の樽
item.charm.glowball,Glowball,グロウボール
item.charm.netherite_nugget,Netherite Nugget,ネザライト塊
item.charm.populated_beehive,Honey Farm Starter Pack,ハニーファームスターターパック
item.charm.raid_horn,Raid Horn,襲撃の鈴
item.charm.repair_cost,Repair Cost: %s,修理コスト: %s
item.charm.suspicious_brew,Suspicious Brew,怪しげなポーション
