key,source_text,target_text
itemGroup.chickens,Chickens,ニワトリ
item.liquid_egg.tooltip,It's like one-off bucket.,一度きりのバケツみたいだ。
item.liquid_egg.water.name,Water Egg,水の卵
item.liquid_egg.lava.name,Lava Egg,溶岩の卵
item.analyzer.name,Chicken Analyzer,鶏アナライザー
item.analyzer.tooltip1,Use it on chickens to determine their stats.,鶏に使用して統計を確認してください。
item.colored_egg.tooltip,Throw it to have a chance to spawn the chicken.,それを投げて、鶏が出現する可能性を得ましょう。
entity.SmartChicken.name,Smart Chicken,賢い鶏
entity.WhiteChicken.name,Bone White Chicken,骨白い鶏
item.colored_egg.white.name,Bone White Chicken Egg,骨白鶏卵
entity.OrangeChicken.name,Orange Chicken,陳皮鶏
item.colored_egg.orange.name,Orange Chicken Egg,橙色の鶏卵
entity.MagentaChicken.name,Magenta Chicken,赤紫の鶏
item.colored_egg.magenta.name,Magenta Chicken Egg,赤紫色の鶏卵
entity.LightBlueChicken.name,Light Blue Chicken,空色の鶏
item.colored_egg.lightBlue.name,Light Blue Chicken Egg,空色の鶏卵
entity.YellowChicken.name,Yellow Chicken,黄の鶏
item.colored_egg.yellow.name,Yellow Chicken Egg,黄の鶏卵
entity.LimeChicken.name,Lime Chicken,黄緑鶏
item.colored_egg.lime.name,Lime Chicken Egg,黄緑色の鶏卵
entity.PinkChicken.name,Pink Chicken,桃色の鶏
item.colored_egg.pink.name,Pink Chicken Egg,桃色の鶏卵
entity.GrayChicken.name,Gray Chicken,灰色の鶏
item.colored_egg.gray.name,Gray Chicken Egg,灰色の鶏卵
entity.SilverDyeChicken.name,Light Gray Chicken,ライトグレイ鶏
item.colored_egg.silverDye.name,Light Gray Chicken Egg,薄灰色の鶏卵
entity.CyanChicken.name,Cyan Chicken,水色の鶏
item.colored_egg.cyan.name,Cyan Chicken Egg,水色の鶏卵
entity.PurpleChicken.name,Purple Chicken,紫鶏
item.colored_egg.purple.name,Purple Chicken Egg,紫の鶏卵
entity.BlueChicken.name,Lapis Blue Chicken,ラピス青の鶏
item.colored_egg.blue.name,Lapis Blue Chicken Egg,ラピス青鶏卵
entity.BrownChicken.name,Cocoa Brown Chicken,ココア茶鶏
item.colored_egg.brown.name,Cocoa Brown Chicken Egg,ココア茶鶏卵
entity.GreenChicken.name,Cactus Green Chicken,サボテン緑の鶏
item.colored_egg.green.name,Cactus Green Chicken Egg,サボテン緑の鶏卵
entity.RedChicken.name,Red Chicken,赤い鶏
item.colored_egg.red.name,Red Chicken Egg,赤い鶏卵
entity.BlackChicken.name,Ink Black Chicken,インク黒鶏
item.colored_egg.black.name,Ink Black Chicken Egg,インク黒鶏エッグ
entity.GunpowderChicken.name,Gunpowder Chicken,火薬の鶏
entity.FlintChicken.name,Flint Chicken,火打石の鶏
entity.SnowballChicken.name,Snowball Chicken,雪玉鶏
entity.LavaChicken.name,Lava Chicken,溶岩の鶏
entity.QuartzChicken.name,Nether Quartz Chicken,ネザークォーツ鶏
entity.RedstoneChicken.name,Redstone Chicken,レッドストーンの鶏
entity.GlowstoneChicken.name,Glowstone Chicken,グロウストーン鶏
entity.IronChicken.name,Iron Chicken,鉄の鶏
entity.CoalChicken.name,Coal Chicken,石炭の鶏
entity.ClayChicken.name,Clay Chicken,粘土の鶏
entity.SlimeChicken.name,Slime Chicken,スライム鶏
entity.WaterChicken.name,Water Chicken,水鶏
entity.NetherwartChicken.name,Nether Wart Chicken,ネザー・ワート鶏
entity.GoldChicken.name,Gold Chicken,金鶏
entity.DiamondChicken.name,Diamond Chicken,ダイヤモンド鶏
entity.BlazeChicken.name,Blaze Rod Chicken,ブレイズロッド鶏
entity.EmeraldChicken.name,Emerald Chicken,エメラルド鶏
entity.EnderChicken.name,Ender Pearl Chicken,エンダーパール鶏
entity.GhastChicken.name,Ghast Tear Chicken,ガストの涙鶏
entity.MagmaChicken.name,Magma Cream Chicken,マグマクリーム鶏
entity.StringChicken.name,String Chicken,紐の鶏
entity.LogChicken.name,Log Chicken,原木鶏
entity.SandChicken.name,Sand Chicken,砂の鶏
entity.GlassChicken.name,Glass Chicken,ガラスの鶏
entity.LeatherChicken.name,Leather Chicken,レザー鶏
entity.pShardChicken.name,Prismarine Shard Chicken,プリズマインシャード鶏
entity.xpChicken.name,Xp Chicken,経験値の鶏
entity.pCrystalChicken.name,Prismarine Crystal Chicken,プリズマリンクリスタル鶏
entity.obsidianChicken.name,Obsidian Chicken,黒曜石の鶏
entity.soulSandChicken.name,Soul Sand Chicken,魂の砂の鶏
entity.ChickensChicken.tier,Tier: %1$s,段階: %1$s
entity.ChickensChicken.layProgress,Next egg in ~%1$smin.,次の卵は~%1$s分後に
entity.ChickensChicken.nextEggSoon,Next egg in <1min.,次に卵が産まれる: <1分。
entity.ChickensChicken.growth,Growth: %1$s,成長: %1$s
entity.ChickensChicken.gain,Gain: %1$s,獲得: %1$s
entity.ChickensChicken.strength,Strength: %1$s,強度: %1$s
entity.ChickensChicken.top.tier,Tier:,段階:
