key,source_text,target_text
itemGroup.chickens,Chickens,ニワトリ
item.liquid_egg.tooltip,It's like one-off bucket.,一度きりのバケツみたいだ。
item.liquid_egg.water.name,Water Egg,水の卵
item.liquid_egg.lava.name,Lava Egg,溶岩の卵
item.analyzer.name,Chicken Analyzer,鶏の分析器
item.analyzer.tooltip1,Use it on chickens to determine their stats.,鶏に使用して統計を確認してください。
item.colored_egg.tooltip,Throw it to have a chance to spawn the chicken.,それを投げて、チキンが出現する可能性を得ましょう。
entity.SmartChicken.name,Smart Chicken,スマートチキン
entity.WhiteChicken.name,Bone White Chicken,骨白の鶏
item.colored_egg.white.name,Bone White Chicken Egg,ボーンホワイトチキンエッグ
entity.OrangeChicken.name,Orange Chicken,オレンジの鶏
item.colored_egg.orange.name,Orange Chicken Egg,オレンジ色の鶏卵
entity.MagentaChicken.name,Magenta Chicken,マゼンタの鶏
item.colored_egg.magenta.name,Magenta Chicken Egg,マゼンタチキンエッグ
entity.LightBlueChicken.name,Light Blue Chicken,ライトブルーの鶏
item.colored_egg.lightBlue.name,Light Blue Chicken Egg,ライトブルーチキンエッグ
entity.YellowChicken.name,Yellow Chicken,黄色の鶏
item.colored_egg.yellow.name,Yellow Chicken Egg,黄色い鶏卵
entity.LimeChicken.name,Lime Chicken,ライムチキン
item.colored_egg.lime.name,Lime Chicken Egg,ライムチキンエッグ
entity.PinkChicken.name,Pink Chicken,ピンクのニワトリ
item.colored_egg.pink.name,Pink Chicken Egg,ピンクチキンエッグ
entity.GrayChicken.name,Gray Chicken,グレーのニワトリ
item.colored_egg.gray.name,Gray Chicken Egg,グレーチキンエッグ
entity.SilverDyeChicken.name,Light Gray Chicken,ライトグレイチキン
item.colored_egg.silverDye.name,Light Gray Chicken Egg,ライトグレー鶏卵
entity.CyanChicken.name,Cyan Chicken,シアンのニワトリ
item.colored_egg.cyan.name,Cyan Chicken Egg,シアンチキンエッグ
entity.PurpleChicken.name,Purple Chicken,紫色の鶏
item.colored_egg.purple.name,Purple Chicken Egg,紫色の鶏卵
entity.BlueChicken.name,Lapis Blue Chicken,ラピスブルーの鶏
item.colored_egg.blue.name,Lapis Blue Chicken Egg,ラピスブルーチキン卵
entity.BrownChicken.name,Cocoa Brown Chicken,ココアブラウンチキン
item.colored_egg.brown.name,Cocoa Brown Chicken Egg,ココアブラウンチキン卵
entity.GreenChicken.name,Cactus Green Chicken,サボテン緑の鶏
item.colored_egg.green.name,Cactus Green Chicken Egg,サボテン緑のチキンエッグ
entity.RedChicken.name,Red Chicken,タールチキン
item.colored_egg.red.name,Red Chicken Egg,赤い鶏卵
entity.BlackChicken.name,Ink Black Chicken,インク黒鸡
item.colored_egg.black.name,Ink Black Chicken Egg,インクブラックチキンエッグ
entity.GunpowderChicken.name,Gunpowder Chicken,火薬鸡
entity.FlintChicken.name,Flint Chicken,フリントチキン
entity.SnowballChicken.name,Snowball Chicken,雪玉鶏
entity.LavaChicken.name,Lava Chicken,溶岩のニワトリ
entity.QuartzChicken.name,Nether Quartz Chicken,ネザークォーツチキン
entity.RedstoneChicken.name,Redstone Chicken,レッドストーンの鶏
entity.GlowstoneChicken.name,Glowstone Chicken,グロウストーンチキン
entity.IronChicken.name,Iron Chicken,鉄のニワトリ
entity.CoalChicken.name,Coal Chicken,石炭のニワトリ
entity.ClayChicken.name,Clay Chicken,粘土のニワトリ
entity.SlimeChicken.name,Slime Chicken,スライムチキン
entity.WaterChicken.name,Water Chicken,水ニワトリ
entity.NetherwartChicken.name,Nether Wart Chicken,ネザーウォートチキン
entity.GoldChicken.name,Gold Chicken,金のニワトリ
entity.DiamondChicken.name,Diamond Chicken,ダイヤモンドチキン
entity.BlazeChicken.name,Blaze Rod Chicken,ブラズの棒の鶏
entity.EmeraldChicken.name,Emerald Chicken,エメラルドチキン
entity.EnderChicken.name,Ender Pearl Chicken,エンダーパールチキン
entity.GhastChicken.name,Ghast Tear Chicken,ゴーストティアールチキン
entity.MagmaChicken.name,Magma Cream Chicken,マグマクリームチキン
entity.StringChicken.name,String Chicken,弦鶏
entity.LogChicken.name,Log Chicken,ログチキン
entity.SandChicken.name,Sand Chicken,砂のニワトリ
entity.GlassChicken.name,Glass Chicken,ガラスニワトリ
entity.LeatherChicken.name,Leather Chicken,レザーチキン
entity.pShardChicken.name,Prismarine Shard Chicken,プリズマインシャードチキン
entity.xpChicken.name,Xp Chicken,経験値の鶏
entity.pCrystalChicken.name,Prismarine Crystal Chicken,プリズマリンクリスタル鶏
entity.obsidianChicken.name,Obsidian Chicken,黒曜石の鶏
entity.soulSandChicken.name,Soul Sand Chicken,ソウルサンド 雑魚
entity.ChickensChicken.tier,Tier: %1$s,段階: %1$s
entity.ChickensChicken.layProgress,Next egg in ~%1$smin.,次の卵は~%1$s分後に
entity.ChickensChicken.nextEggSoon,Next egg in <1min.,次に卵が産まれる: <1分。
entity.ChickensChicken.growth,Growth: %1$s,成長: %1$s
entity.ChickensChicken.gain,Gain: %1$s,獲得: %1$s
