key,source_text,target_text
advancements.classicpipes.autocraft_eight_steps.description,Request an item requiring at least 8 crafting steps,クラフト工程が8工程以上必要なアイテムをリクエストする
advancements.classicpipes.autocraft_eight_steps.title,Master of Logistics,物流王
advancements.classicpipes.autocraft_recipe_pipe.description,Use a Recipe Pipe to craft a Recipe Pipe,レシピパイプを利用してレシピパイプを作成する
advancements.classicpipes.autocraft_recipe_pipe.title,How Perverse,ひねくレシピ
advancements.classicpipes.obtain_pipe.description,Obtain a Pipe,パイプを手に入れる
advancements.classicpipes.obtain_pipe.title,The Pipes are Calling,パイプに呼ばれて
advancements.classicpipes.request_item.description,Use a Request Pipe to withdraw an item from a network,リクエストパイプを使用して、ネットワークからアイテムを取り出す
advancements.classicpipes.request_item.title,Any Requests?,何かリクエストはある？
block.classicpipes.acacia_fluid_pipe,Acacia Wooden Fluid Pipe,アカシアの液体パイプ
block.classicpipes.acacia_pipe,Acacia Wooden Pipe,アカシアのパイプ
block.classicpipes.advanced_copper_fluid_pipe,Advanced Copper Fluid Pipe,高度な銅の液体パイプ
block.classicpipes.advanced_copper_pipe,Advanced Copper Pipe,高度な銅パイプ
block.classicpipes.bamboo_fluid_pipe,Bamboo Wooden Fluid Pipe,竹の液体パイプ
block.classicpipes.bamboo_pipe,Bamboo Wooden Pipe,竹のパイプ
block.classicpipes.birch_fluid_pipe,Birch Wooden Fluid Pipe,シラカバの液体パイプ
block.classicpipes.birch_pipe,Birch Wooden Pipe,シラカバのパイプ
block.classicpipes.bone_pipe,Bone Pipe,骨のパイプ
block.classicpipes.brick_fluid_pipe,Brick Fluid Pipe,レンガの液体パイプ
block.classicpipes.brick_pipe,Brick Pipe,レンガのパイプ
block.classicpipes.cherry_fluid_pipe,Cherry Wooden Fluid Pipe,サクラの液体パイプ
block.classicpipes.cherry_pipe,Cherry Wooden Pipe,サクラのパイプ
block.classicpipes.copper_fluid_pipe,Copper Fluid Pipe,銅の液体パイプ
block.classicpipes.copper_pipe,Copper Pipe,銅の管
block.classicpipes.crimson_fluid_pipe,Crimson Wooden Fluid Pipe,真紅の液体パイプ
block.classicpipes.crimson_pipe,Crimson Wooden Pipe,真紅のパイプ
block.classicpipes.dark_oak_fluid_pipe,Dark Oak Wooden Fluid Pipe,ダークオークの液体パイプ
block.classicpipes.dark_oak_pipe,Dark Oak Wooden Pipe,ダークオークのパイプ
block.classicpipes.diamond_fluid_pipe,Diamond Fluid Pipe,ダイヤモンドの液体パイプ
block.classicpipes.diamond_pipe,Diamond Pipe,ダイヤモンドのパイプ
block.classicpipes.flint_pipe,Flint Pipe,火打石のパイプ
block.classicpipes.golden_pipe,Golden Pipe,金のパイプ
block.classicpipes.iron_fluid_pipe,Iron Fluid Pipe,鉄製流体パイプ
block.classicpipes.iron_pipe,Iron Pipe,鉄のパイプ
block.classicpipes.jungle_fluid_pipe,Jungle Wooden Fluid Pipe,ジャングルの液体パイプ
block.classicpipes.jungle_pipe,Jungle Wooden Pipe,ジャングルのパイプ
block.classicpipes.lapis_fluid_pipe,Lapis Fluid Pipe,ラピスラズリの液体パイプ
block.classicpipes.lapis_pipe,Lapis Pipe,ラピスラズリのパイプ
block.classicpipes.mangrove_fluid_pipe,Mangrove Wooden Fluid Pipe,マングローブの液体パイプ
block.classicpipes.mangrove_pipe,Mangrove Wooden Pipe,マングローブのパイプ
block.classicpipes.matching_pipe,Networked Matching Pipe,ネットワーク化されたマッチングパイプ
block.classicpipes.oak_fluid_pipe,Oak Wooden Fluid Pipe,オークの液体パイプ
block.classicpipes.oak_pipe,Oak Wooden Pipe,オークのパイプ
block.classicpipes.obsidian_fluid_pipe,Obsidian Fluid Pipe,黒曜石の液体パイプ
block.classicpipes.obsidian_pipe,Obsidian Pipe,黒曜石のパイプ
block.classicpipes.provider_pipe,Networked Provider Pipe,ネットワーク化されたプロバイダーパイプ
block.classicpipes.recipe_pipe,Networked Recipe Pipe,ネットワーク化されたレシピパイプ
block.classicpipes.request_pipe,Networked Request Pipe,ネットワーク化されたリクエストパイプ
block.classicpipes.routing_pipe,Networked Routing Pipe,ネットワーク化されたルーティングパイプ
block.classicpipes.spruce_fluid_pipe,Spruce Wooden Fluid Pipe,トウヒの液体パイプ
block.classicpipes.spruce_pipe,Spruce Wooden Pipe,トウヒのパイプ
block.classicpipes.stocking_pipe,Networked Stocking Pipe,ネットワーク化されたストッキングパイプ
block.classicpipes.storage_pipe,Networked Storage Pipe,ネットワーク化されたストレージパイプ
block.classicpipes.warped_fluid_pipe,Warped Wooden Fluid Pipe,歪んだ液体パイプ
block.classicpipes.warped_pipe,Warped Wooden Pipe,歪んだパイプ
chat.classicpipes.could_not_extract,"Request for %sx %s cancelled, as the Provider Pipe at [%s] could not extract from its adjacent container.",[%s] のプロバイダーパイプが隣接するコンテナから取り出せなかったため、%sx %s のリクエストはキャンセルされました。
chat.classicpipes.crafter_jammed,All requests cancelled as the Crafter at [%s] didn't output the expected result. Make sure it is pointing into the Recipe Pipe and isn't jammed.,[%s] の自動作業台が想定された結果を出力しなかったため、リクエストはすべて取り消されました。レシピパイプに正しく接続されているか、詰まりがないか確認してください。
chat.classicpipes.destination_removed,Request for %sx %s cancelled because the destination pipe at [%s] was disconnected from the network.,目的地のパイプがネットワークから切断されていたため%sx %s のリクエストはキャンセルされました。
chat.classicpipes.missing_item.a,Could not request %sx %s:,%s個の%sをリクエストできませんでした
chat.classicpipes.missing_item.b,"  Missing %sx %s",%s個の%sが足りません
chat.classicpipes.missing_recipe_pipe_direction,All requests cancelled as the Recipe Pipe at [%s] isn't attached to a Crafter or other processing system.,[%s] のレシピパイプが自動作業台または他の処理システムに接続されていないため、すべてのリクエストがキャンセルされました。
chat.classicpipes.mod_set,Label's mod filter set to %s.,ラベルのModフィルターを %s に設定しました。
chat.classicpipes.no_tags_in_hand,The item in your other hand does not have any tags.,オフハンドのアイテムにはタグが付いていません。
chat.classicpipes.nothing_in_offhand,You have no item in your other hand.,オフハンドにアイテムがありません。
chat.classicpipes.requested,Requested %sx %s.,リクエスト %s個の%s
chat.classicpipes.tag_set,Label's tag filter set to %s.,ラベルのタグフィルターを %s に設定しました。
chat.classicpipes.tag_set_translatable,Label's tag filter set to %s (%s).,ラベルのタグフィルターを %s （%s） に設定しました。
chat.classicpipes.timed_out,Request for %sx %s timed out.,%s個の%sのリクエストがタイムアウトしました。
container.classicpipes.advanced_copper_fluid_pipe,"Fluids to extract, blank for all:",取り出す液体
container.classicpipes.advanced_copper_pipe,"Items to extract, blank for all:",取り出すアイテム
container.classicpipes.diamond_fluid_pipe,Route by direction:,ルート指定
container.classicpipes.diamond_pipe,Route by direction:,ルート指定
container.classicpipes.matching_pipe,Matching adjacent container,隣接コンテナと一致
container.classicpipes.provider_pipe,"Items to provide, blank for all:",提供するアイテム（空欄の場合は全て）
container.classicpipes.recipe_pipe,Set recipe:,設定するレシピ
container.classicpipes.request,Request from network,ネットワーク経由でリクエスト
container.classicpipes.request.amount,Request amount,リクエストする数
container.classicpipes.routing_pipe,Items to route here:,ここに送るアイテム
container.classicpipes.stocking_pipe,Items to keep stocked:,常備するアイテム
container.classicpipes.storage_pipe,Storage Pipe,ストレージパイプ
direction.classicpipes.down,Down,下
direction.classicpipes.east,East,東
direction.classicpipes.north,North,北
direction.classicpipes.short.down,D,D
direction.classicpipes.short.east,E,E
direction.classicpipes.short.north,N,N
direction.classicpipes.short.south,S,S
direction.classicpipes.short.up,U,U
direction.classicpipes.short.west,W,W
direction.classicpipes.south,South,南
direction.classicpipes.up,Up,上
direction.classicpipes.west,West,西
item.classicpipes.advanced_copper_fluid_pipe.desc,Extracts fluid faster and can be filtered.,液体を高速で取り出します。フィルター機能付き。
item.classicpipes.advanced_copper_pipe.desc,Extracts full stacks and can be filtered.,スタック単位でアイテムを取り出します。フィルター機能付き。
