key,source_text,target_text
item.clavis.lock_pick,Lock Pick,ロックピック
item.clavis.lock_pick.tooltip,"When used on a locked chest, it unlocks it while preserving the maximum quality of the loot inside, as if the mini-game had been completed without any mistakes. Consumed on use.",ロックされたチェストに使用すると、ミニゲームを完璧にプレイしたのと同じように、中身の最高品質を保持したまま解錠します。使用時に消費されます。
rule.clavis.gear.fake_pin,Fake Pin,偽のピン
rule.clavis.gear.fake_pin.description,A fake pin appears and moves to a random position after each click. Clicking it deactivates all previously activated pins,フェイクピンが現れ、クリックするたびにランダムな位置に移動します。これをクリックすると、以前にアクティブ化したすべてのピンが非アクティブになります。
rule.clavis.gear.full_throttle,Full Throttle,フルスピード
rule.clavis.gear.full_throttle.description,The pointer speeds up after each click and gradually slows back down over time,ポインタの速度はクリックごとに上がり、時間とともに徐々に減速します
rule.clavis.gear.mood_swings,Mood Swings,気分の変化
rule.clavis.gear.mood_swings.description,After each click the pointer changes the direction of its movement,各クリック後、ポインタは移動方向を変えます
rule.clavis.gear.nauseous_carousel,Nauseous Carousel,めまいのカーニバル
rule.clavis.gear.nauseous_carousel.description,From time to time the game field slowly rotates in a random direction,時折、ゲームフィールドがランダムな方向へゆっくり回転します
rule.clavis.gear.self_destruction,Self Destruction Protocol,自己破壊プロトコル
rule.clavis.gear.self_destruction.description,The pointer periodically overheats causing any click to take away an extra health point,ポインタが周期的に過熱し、クリックするたびに追加で1点の体力が減少します
rule.clavis.mirror.fake_meteor,Fake Meteor,偽の流星
rule.clavis.mirror.fake_meteor.description,"A fake meteor appears, moving to a random position after each click. Clicking it will restore all previously destroyed meteors",フェイク隕石が現れ、クリックするたびにランダムな位置に移動します。これをクリックすると、以前に破壊したすべての隕石が復元されます。
rule.clavis.mirror.hot_meteor,Hot Stuff,熱いもの
rule.clavis.mirror.hot_meteor.description,"A random meteor on the field periodically heats up, and any click on it will remove an extra health point",フィールド上のランダムな隕石が定期的に加熱され、その上をクリックするとさらに追加のハート分ダメージを受けます。
rule.clavis.mirror.rotate,Centrifuge,遠心分離機
rule.clavis.mirror.rotate.description,The reflecting mirror periodically spins in a random direction,反射鏡は定期的にランダムな方向へ回転する
rule.clavis.mirror.shockwave,Boom!,爆発！
rule.clavis.mirror.shockwave.description,Each click creates a shockwave that pushes away all meteors near the reflected cursor,各クリックは反射カーソル近くのすべての隕石を押し出す衝撃波を生成します
rule.clavis.mirror.swap_mousepos,Castling,王城
rule.clavis.mirror.swap_mousepos.description,"After each click, the real cursor swaps places with the reflected one",各クリック後、本当のカーソルと反射カーソルが入れ替わります
sound.clavis.meteor_regenerate,Meteor regeneration,メテオール再生
sound.clavis.meteor_smash,Meteor explosion,メテオル爆発
ui.clavis.difficulty.description,Determined by the average value of loot that could appear in this container and affects the overall difficulty of the game. The difficulty level is also ranked in 3 tiers and determines the number of rules in the mini game.,このコンテナから出現する可能性のあるアイテムの平均値によって決定され、全体のゲーム難易度に影響します。難易度レベルは3段階にランク分けされ、ミニゲーム内のルール数を決定します。
ui.clavis.difficulty.summary,Game Difficulty,ゲーム難易度
ui.clavis.hold_shift,Hold [Shift] for detailed description,[Shift] を押して詳細説明を見る
ui.clavis.quality.description,Determines the quality and quantity of loot that will be generated after completing the mini game. Making mistakes during the playthrough reduces this value.,ミニゲーム完了後に生成されるアイテムの品質と数量を決定します。プレイ中にミスを犯すとこの値が減少します。
ui.clavis.quality.summary,Loot Quality,リソース品質
ui.clavis.time.description,"Determined by the amount of time from the start of the game until the present moment. Means nothing, but when it reaches 1 minute the whole world will explode!",ゲーム開始からの経過時間で決定されます。特に意味はありませんが、1分に達するとワールド全体が爆発します！
ui.clavis.time.summary,Game Time,ゲーム内時間
