key,source_text,target_text
block.clickmachine.auto_clicker,Click Machine,クリックマシン
gui.clickmachine.autoclick,Click Machine,クリックマシン
gui.clickmachine.power,FE: %s/%s,エネルギー: %s/%s
gui.clickmachine.power.usage,Using %s FE/t,消費電力: %s FE/t
gui.clickmachine.rainbow_magic,Powered by Rainbow Magic!,虹色の魔法で動作中！
gui.clickmachine.right_click,Right-Clicking,右クリック中
gui.clickmachine.sneaking,Sneaking,スニーク中
gui.clickmachine.speed,%s clicks/s,%s クリック/秒
block.clickmachine.click_machine,Click Machine,クリックマシン
gui.clickmachine.speed_slow,1 click/%ss,1クリック/%ss
