key,source_text,target_text
block.cobblegengalore.block_gen_copper,Copper Block Generator,銅のブロック生成機
block.cobblegengalore.block_gen_diamond,Diamond Block Generator,ダイヤモンドのブロック生成機
block.cobblegengalore.block_gen_emerald,Emerald Block Generator,エメラルドのブロック生成機
block.cobblegengalore.block_gen_gold,Gold Block Generator,金のブロック生成機
block.cobblegengalore.block_gen_iron,Iron Block Generator,鉄のブロック生成機
block.cobblegengalore.block_gen_netherite,Netherite Block Generator,ネザライトのブロック生成機
block.cobblegengalore.block_gen_stone,Stone Block Generator,石のブロック生成機
block_gen.tooltip,Speed modifier: %s,速度倍率：%s
jei.cobblegengalore.blockgen,Block Generator,ブロック生成機
jei.cobblegengalore.consumed,Source block is consumed,ソースブロックが消費されます
