key,source_text,target_text
block.colors.black_asteroid,Black Asteroid,黒い小惑星
block.colors.black_asteroid_brick_button,Black Asteroid Brick Button,黒い小惑星レンガボタン
block.colors.black_asteroid_brick_pressure_plate,Black Asteroid Brick Pressure Plate,黒い小惑星レンガ圧力板
block.colors.black_asteroid_brick_slab,Black Asteroid Brick Slab,黒い小惑星レンガハーフブロック
block.colors.black_asteroid_brick_stairs,Black Asteroid Brick Stairs,黒い小惑星レンガ階段
block.colors.black_asteroid_brick_wall,Black Asteroid Brick Wall,黒い小惑星レンガ壁
block.colors.black_asteroid_bricks,Black Asteroid Bricks,黒い小惑星レンガ
block.colors.black_asteroid_button,Black Asteroid Button,黒い小惑星ボタン
block.colors.black_asteroid_pressure_plate,Black Asteroid Pressure Plate,黒い小惑星圧力板
block.colors.black_asteroid_slab,Black Asteroid Slab,黒い小惑星ハーフブロック
block.colors.black_asteroid_stairs,Black Asteroid Stairs,黒い小惑星階段
block.colors.black_asteroid_tile_button,Black Asteroid Tile Button,黒い小惑星タイルボタン
block.colors.black_asteroid_tile_pressure_plate,Black Asteroid Tile Pressure Plate,黒い小惑星タイル圧力板
block.colors.black_asteroid_tile_slab,Black Asteroid Tile Slab,黒い小惑星タイルハーフブロック
block.colors.black_asteroid_tile_stairs,Black Asteroid Tile Stairs,黒い小惑星タイル階段
block.colors.black_asteroid_tile_wall,Black Asteroid Tile Wall,黒い小惑星タイル壁
block.colors.black_asteroid_tiles,Black Asteroid Tiles,黒い小惑星タイル
block.colors.black_asteroid_wall,Black Asteroid Wall,黒い小惑星壁
block.colors.black_bamboo,Black Bamboo,黒い竹
block.colors.black_bamboo_mosaic,Black Bamboo Mosaic,黒い竹モザイク
block.colors.black_bamboo_mosaic_button,Black Bamboo Mosaic Button,黒い竹モザイクボタン
block.colors.black_bamboo_mosaic_door,Black Bamboo Mosaic Door,黒い竹モザイクドア
block.colors.black_bamboo_mosaic_fence,Black Bamboo Mosaic Fence,黒い竹モザイクフェンス
block.colors.black_bamboo_mosaic_fence_gate,Black Bamboo Mosaic Fence Gate,黒い竹モザイクフェンスゲート
block.colors.black_bamboo_mosaic_pressure_plate,Black Bamboo Mosaic Pressure Plate,黒い竹モザイク圧力板
block.colors.black_bamboo_mosaic_slab,Black Bamboo Mosaic Slab,黒い竹モザイクハーフブロック
block.colors.black_bamboo_mosaic_stairs,Black Bamboo Mosaic Stairs,黒い竹モザイク階段
block.colors.black_bamboo_mosaic_trapdoor,Black Bamboo Mosaic Trapdoor,黒い竹モザイクトラップドア
block.colors.black_bamboo_plank_button,Black Bamboo Plank Button,黒い竹板ボタン
block.colors.black_bamboo_plank_door,Black Bamboo Plank Door,黒い竹板ドア
block.colors.black_bamboo_plank_fence,Black Bamboo Plank Fence,黒い竹板フェンス
block.colors.black_bamboo_plank_fence_gate,Black Bamboo Plank Fence Gate,黒い竹板フェンスゲート
block.colors.black_bamboo_plank_pressure_plate,Black Bamboo Plank Pressure Plate,黒い竹板圧力板
block.colors.black_bamboo_plank_slab,Black Bamboo Plank Slab,黒い竹板ハーフブロック
block.colors.black_bamboo_plank_stairs,Black Bamboo Plank Stairs,黒い竹板階段
block.colors.black_bamboo_plank_trapdoor,Black Bamboo Plank Trapdoor,黒い竹板トラップドア
block.colors.black_bamboo_planks,Black Bamboo Planks,黒い竹板
block.colors.black_braid,Black Braid,黒い編み物
block.colors.black_braid_button,Black Braid Button,黒い編み物ボタン
block.colors.black_braid_pressure_plate,Black Braid Pressure Plate,黒い編み物圧力板
block.colors.black_braid_slab,Black Braid Slab,黒い編み物ハーフブロック
block.colors.black_braid_stairs,Black Braid Stairs,黒い編み物階段
block.colors.black_braid_wall,Black Braid Wall,黒い編み物壁
block.colors.black_brick_button,Black Brick Button,黒いレンガボタン
block.colors.black_brick_pressure_plate,Black Brick Pressure Plate,黒いレンガ圧力板
block.colors.black_brick_slab,Black Brick Slab,黒いレンガのハーフブロック
block.colors.black_brick_stairs,Black Brick Stairs,黒いレンガの階段
block.colors.black_brick_wall,Black Brick Wall,黒いレンガの壁
block.colors.black_bricks,Black Bricks,黒いレンガ
block.colors.black_chaotic,Black Chaotic,黒い混沌
block.colors.black_chaotic_button,Black Chaotic Button,黒い混沌ボタン
block.colors.black_chaotic_pressure_plate,Black Chaotic Pressure Plate,黒い混沌圧力板
block.colors.black_chaotic_slab,Black Chaotic Slab,黒い混沌ハーフブロック
block.colors.black_chaotic_stairs,Black Chaotic Stairs,黒い混沌階段
block.colors.black_chaotic_wall,Black Chaotic Wall,黒い混沌壁
block.colors.black_cobblestone,Black Cobblestone,黒色の丸石
block.colors.black_cobblestone_brick_button,Black Cobblestone Brick Button,黒い丸石レンガボタン
block.colors.black_cobblestone_brick_pressure_plate,Black Cobblestone Brick Pressure Plate,黒い丸石レンガ圧力板
block.colors.black_cobblestone_brick_slab,Black Cobblestone Brick Slab,黒い丸石レンガハーフブロック
block.colors.black_cobblestone_brick_stairs,Black Cobblestone Brick Stairs,黒い丸石レンガ階段
block.colors.black_cobblestone_brick_wall,Black Cobblestone Brick Wall,黒い丸石レンガ壁
