key,source_text,target_text
itemGroup.compactmachines3,Compact Machines 3,コンパクトマシン3
generator.compactsky,Compact Sky,コンパクト・スカイ
tile.compactmachines3.machine.tiny.name,Tiny Compact Machine,小型コンパクトマシン
tile.compactmachines3.machine.small.name,Small Compact Machine,小型コンパクトマシン
tile.compactmachines3.machine.normal.name,Normal Compact Machine,標準コンパクトマシン
tile.compactmachines3.machine.large.name,Large Compact Machine,大型コンパクトマシン
tile.compactmachines3.machine.giant.name,Giant Compact Machine,巨大コンパクトマシン
tile.compactmachines3.machine.maximum.name,Maximum Compact Machine,最大コンパクトマシン
tile.compactmachines3.tunnel.name,Tunnel,トンネル
tile.compactmachines3.redstonetunnel.name,Redstone Tunnel,レッドストーントンネル
tile.compactmachines3.wallbreakable.name,Compact Machine Wall,コンパクトマシン壁
tile.compactmachines3.wall.name,Solid Compact Machine Wall,ソリッドコンパクトマシン壁
tile.compactmachines3.fieldprojector.name,Miniaturization Field Projector,ミニチュア化フィールドプロジェクター
item.compactmachines3.psd.name,Personal Shrinking Device,個人用シュリンカー
item.compactmachines3.tunneltool.name,Tunnel,トンネル
item.compactmachines3.redstonetunneltool.name,Redstone Tunnel,レッドストーントンネル
item.compactmachines3.psd.spawnpoint_set,Entry point set!,エントリーポイント設定！
hint.compactmachines3.missing_opposite_projector,Missing opposite field projector! It is required to determine the field size!,対向フィールドプロジェクターがありません！フィールドサイズを決定するために必要です！
hint.compactmachines3.missing_projector_at,"Missing field projector at %d,%d,%d","プロジェクターのフィールドが% d,% d,% dで欠落しています"
hint.compactmachines3.currently_crafting,Currently crafting: %s (progress: %s%%),現在クラフト中: %s (進行状況: %s%%)
hint.compactmachines3.no_recipe_found,No valid recipe found,有効なレシピが見つかりません
hint.compactmachines3.found_recipe_for,Recipe for: %s,レシピ: %s
hint.compactmachines3.invalid_block_in_field,"Invalid block in field area @ %d,%d,%d: %s","フィールド領域内に無効なブロック @ %d,%d,%d: %s"
hint.compactmachines3.cant_sleep_here,You can not sleep in the Compact Machines dimension,コンパクトマシンディメンションでは眠れません
hint.compactmachines3.bed_position_set,Respawn position set to this Machine,復帰位置をこのマシンに設定します。
hint.compactmachines3.not_permitted_to_enter,You do not have permission to enter this machine,このマシンに入る権限がありません。
hint.compactmachines3.skyworld.no_block_breaking,You can not break any blocks in the Compact Hub!,コンパクトハブ内ではブロックを破壊できません！
hint.compactmachines3.skyworld.no_block_placing,You can not place any blocks in the Compact Hub!,コンパクトハブ内ではブロックを設置できません！
hint.compactmachines3.skyworld.only_one_machine_claim,You can only claim a single Compact Machine in the hub!,コンパクトマシンはハブで1台しか取得できません！
top.compactmachines3.currently_crafting,Crafting:,クラフト:
top.compactmachines3.found_recipe_for,Recipe for:,レシピ: 
tooltip.compactmachines3.machine.coords,Machine:,機械:
tooltip.compactmachines3.machine.coords.unused,Unused,未使用
tooltip.compactmachines3.machine.schema,Schema:,スキーマ:
tooltip.compactmachines3.machine.stopitsoaryn,Feedbackloop detected,フィードバックループが検出されました
tooltip.compactmachines3.hold_shift.hint,Hold shift for details.,詳細を見るにはShiftキーを押してください。
tooltip.compactmachines3.psd.hint,Used as ingame documentation and to enter Compact Machines.,ゲーム内ドキュメントとして使用し、Compact Machinesを起動します。
tooltip.compactmachines3.fieldprojector.hint,Place 4 opposite of each other to create a Miniaturization Crafting field. Right click to get hints where the next projector needs to be!,4つを互いに向かい合わせて配置し、小型化クラフトフィールドを生成します。右クリックで次のプロジェクターを配置する位置のヒントを表示します！
tooltip.compactmachines3.tunneltool.hint,Used to connect Wall blocks with outside Compact Machine faces.,壁ブロックを外部Compact Machineフェイスと接続するために使用します。
tooltip.compactmachines3.redstonetunneltool.hint,Used to transfer redstone signals between wall blocks and outside Compact Machine faces.,壁ブロックと外部コンパクトマシンフェイス間でレッドストーン信号を転送するために使用されます。
tooltip.compactmachines3.wall.hint,Warning! Unbreakable for non-creative players!,警告！非クリエイティブプレイヤーには壊せません！
tooltip.compactmachines3.machine.hint,A %s provides a %s room.,「%s」は「%s」の部屋を提供します。
tooltip.compactmachines3.lockforotherplayers.checkbox,Lock for other players,他プレイヤー用ロック
tooltip.compactmachines3.jei.crafting_trigger,Throw this into the miniaturization field to start the crafting process.,このアイテムをミニチュア化フィールドに投げてクラフトプロセスを開始します。
tooltip.compactmachines3.jei.shape,Use these to build the multiblock,これらを使ってマルチブロックを構築してください
compactmachines3.jei.category.multiblock_miniaturization,Multiblock Miniaturization,マルチブロックミニチュアライゼーション
enumfacing.side,Side: %s,側面: %s
enumfacing.up,Up,上
enumfacing.down,Down,下
enumfacing.north,North,北
enumfacing.south,South,南
enumfacing.west,West,西
enumfacing.east,East,東
commands.compactmachines3.usage,"/compactmachines3 [subcommand, leave empty for list of commands]",/compactmachines3 [サブコマンド、空欄でコマンド一覧]
commands.compactmachines3.available,Available sub-commands:,利用可能なサブコマンド:
commands.compactmachines3.denied,You do not have the permission to use this command.,このコマンドを使用する権限がありません。
commands.compactmachines3.schema.description,Save/load the contents of machines,機械の内容を保存/読み込み
commands.compactmachines3.schema.save.usage,/compactmachines3 schema save <name>,
commands.compactmachines3.schema.save.description,Saves the machine you are in to disk,現在いるマシンをディスクに保存します
commands.compactmachines3.schema.save.exception.not_in_machine_dimension,You must be in the machine dimension for this command to work.,このコマンドを実行するには機械ディメンションにいる必要があります。
commands.compactmachines3.schema.save.exception.invalid_file,Could not open file for writing! Schema is not saved!,書き込み用にファイルを開けませんでした！スキーマが保存されていません！
commands.compactmachines3.schema.save.exception.not_serializable,Could not serialize machine! Schema is not saved!,マシンをシリアライズできませんでした！スキーマが保存されていません！
commands.compactmachines3.schema.save.success,Wrote schema to file: %s,スキーマをファイルに書き込みました: %s
commands.compactmachines3.schema.load.usage,/compactmachines3 schema load <name>,
commands.compactmachines3.schema.load.description,Generates the specified schema in the room you are standing in,現在立っている部屋で指定されたスキーマを生成します
commands.compactmachines3.schema.load.exception.not_in_machine_dimension,You must be in the machine dimension for this command to work.,このコマンドを実行するには機械ディメンションにいる必要があります。
commands.compactmachines3.schema.load.exception.unknown_schema,No schema with that name exists!,その名前のスキーマは存在しません！
commands.compactmachines3.schema.load.exception.machine_size_does_not_match,The size of the machine does not match the schema!,機械のサイズがスキーマと一致しません！
commands.compactmachines3.schema.load.machine_schema_set_to,Machine set to schema: %s,マシンがスキーマ: %s に設定されました。
commands.compactmachines3.schema.set.usage,/compactmachines3 schema set <name>,
commands.compactmachines3.schema.set.description,Sets the specified schema to the Compact Machine block you are looking at,指定されたスキーマを、見ているコンパクトマシンブロックに設定します
