key,source_text,target_text
block.condensedores.dense_aluminum_ore,Dense Aluminum Ore,高密度アルミニウム鉱石
block.condensedores.dense_coal_ore,Dense Coal Ore,緻密な石炭鉱石
block.condensedores.dense_copper_ore,Dense Copper Ore,緻密な銅鉱石
block.condensedores.dense_debris,Dense Debris,密集デブリ
block.condensedores.dense_diamond_ore,Dense Diamond Ore,密度の高いダイヤモンド鉱石
block.condensedores.dense_emerald_ore,Dense Emerald Ore,密度の高いエメラルド鉱石
block.condensedores.dense_gold_ore,Dense Gold Ore,緻密な金鉱石
block.condensedores.dense_iron_ore,Dense Iron Ore,緻密な鉄鉱石
block.condensedores.dense_lapis_ore,Dense Lapis Ore,密集ラピス鉱石
block.condensedores.dense_nether_gold_ore,Dense Nether Gold Ore,密集型ネザー金鉱石
block.condensedores.dense_nickel_ore,Dense Nickel Ore,緻密なニッケル鉱石
block.condensedores.dense_quartz,Dense Quartz Ore,緻密なクォーツ鉱石
block.condensedores.dense_redstone_ore,Dense Redstone Ore,高密度レッドストーン鉱石
block.condensedores.dense_silver_ore,Dense Silver Ore,緻密な銀鉱石
block.condensedores.dense_tin_ore,Dense Tin Ore,高密度のスズ鉱石
creativetab.condensedores_tab,Condensed Ores,凝縮鉱石
