key,source_text,target_text
__comment,Effects,効果
effect.constructsarmory.acceleration,Acceleration,加速
effect.constructsarmory.bloodletting,Bloodletting,血を引く
effect.constructsarmory.malignant,Malignant,悪意ある
effect.constructsarmory.vengeful,Vengeful,復讐
item.constructsarmory.body_plate,Body Plate,体プレート
item.constructsarmory.body_plate_cast,Body Plate Gold Cast,ボディプレート（金型）
item.constructsarmory.body_plate_red_sand_cast,Body Plate Red Sand Cast,ボディプレート レッドサンド鋳造
item.constructsarmory.body_plate_sand_cast,Body Plate Sand Cast,ボディプレート（砂型）
item.constructsarmory.feet_plate,Feet Plate,足のプレート
item.constructsarmory.feet_plate_cast,Feet Plate Gold Cast,フープレート（金型）
item.constructsarmory.feet_plate_red_sand_cast,Feet Plate Red Sand Cast,フープレート レッドサンド鋳造
item.constructsarmory.feet_plate_sand_cast,Feet Plate Sand Cast,フープレート（砂型）
item.constructsarmory.head_plate,Head Plate,頭部プレート
item.constructsarmory.head_plate_cast,Head Plate Gold Cast,ヘッドプレート（金型）
item.constructsarmory.head_plate_red_sand_cast,Head Plate Red Sand Cast,ヘッドプレート レッドサンド鋳造
item.constructsarmory.head_plate_sand_cast,Head Plate Sand Cast,ヘッドプレート（砂型）
item.constructsarmory.legs_plate,Legs Plate,腿プレート
item.constructsarmory.legs_plate_cast,Legs Plate Gold Cast,金色の鍛造レッグプレート
item.constructsarmory.legs_plate_red_sand_cast,Legs Plate Red Sand Cast,レッグプレート レッドサンド鋳造
item.constructsarmory.legs_plate_sand_cast,Legs Plate Sand Cast,砂の鍛造レッグプレート
item.constructsarmory.mail,Mail,郵便
item.constructsarmory.mail_cast,Mail Gold Cast,メール用金の鋳物
item.constructsarmory.mail_red_sand_cast,Mail Red Sand Cast,メールレッドサンドキャスト
item.constructsarmory.material_armor_boots,Boots,ブーツ
item.constructsarmory.material_armor_boots.description,The Boots are pieces of armor that protect your feet.,ブーツは足を守る防具の一部です。
item.constructsarmory.material_armor_chestplate,Chestplate,胸甲
item.constructsarmory.material_armor_chestplate.description,The Chestplate is a piece of armor that protects your torso.,チェストプレートは胴体を保護する防具の一部です。
item.constructsarmory.material_armor_helmet,Helmet,ヘルメット
item.constructsarmory.material_armor_helmet.description,The Helmet is a piece of armor that protects your head.,ヘルメットは頭部を守る防具です。
item.constructsarmory.material_armor_leggings,Leggings,レッグス
item.constructsarmory.material_armor_leggings.description,The Leggings are pieces of armor that protect your legs.,レギンスは足部を保護する防具の一部です。
itemGroup.constructsarmory.armor,Construct's Armory Armor,構築者の軍需庫防具
modifier.constructsarmory.acceleration,Acceleration,加速
modifier.constructsarmory.acceleration.description,Your speed continues to increase as long as you keep sprinting,スプリントし続ける限り、速度は上昇し続けます。
modifier.constructsarmory.acceleration.flavor,Faster and Faster!,さらに速く、さらに速く！
modifier.constructsarmory.acceleration.speed,Acceleration Speed,加速度速度
modifier.constructsarmory.aerial,Aerial,空の
modifier.constructsarmory.aerial.description,Increased movement speed at high elevations,高高度で移動速度が上昇する
modifier.constructsarmory.aerial.flavor,Take to the skies!,空へと飛べ！
modifier.constructsarmory.aerial.speed,Aerial Speed,空気速度
modifier.constructsarmory.blighted,Blighted,腐敗
modifier.constructsarmory.blighted.description,"Sometimes withers attackers away, but may also cause the wearer to wither",ウィザー攻撃で相手を弱らせることもありますが、装備者自身がウィザーになる可能性もあります。
modifier.constructsarmory.blighted.flavor,Radioactive Withering,放射性枯渇
modifier.constructsarmory.bloodletting,Bloodletting,血を引く
modifier.constructsarmory.bloodletting.description,"Sometimes damages attackers, increasing damage when the wearer is attacked",攻撃者に時折ダメージを与え、装備者が攻撃された際のダメージを増加させます
modifier.constructsarmory.bloodletting.flavor,Blood for Blood!,血を血に！
modifier.constructsarmory.cultivated,Cultivated,栽培された
modifier.constructsarmory.cultivated.description,Armor practically grows more material when repairing,修理時に防具が実質的に素材を増やします
modifier.constructsarmory.cultivated.flavor,Economical!,経済的！
modifier.constructsarmory.delving,Delving,掘り下がり
modifier.constructsarmory.delving.description,Increased movement speed the deeper you go,深く進むほど移動速度が上がります。
modifier.constructsarmory.delving.flavor,Exploring the underground,地下探索
modifier.constructsarmory.delving.speed,Depth Speed,深さ速度
modifier.constructsarmory.dense,Dense,緻密
modifier.constructsarmory.dense.description,"Armor lasts longer, but is harder to repair",防具は長持ちするが修理が難しい
modifier.constructsarmory.dense.flavor,Barely loses its shape,ほとんど形を失わない
modifier.constructsarmory.ductile,Ductile,靭
modifier.constructsarmory.ductile.description,"Armor is longer lasting, boosts speed more, and protects more",防具は耐久性が長く、速度をより高め、より多く保護します
modifier.constructsarmory.ductile.flavor,Reshapes Well!,井戸を再形成！
modifier.constructsarmory.endershield,Endershield,エンダーシールド
modifier.constructsarmory.endershield.description,Armor sometimes teleports the wearer when damaged,装甲はダメージ時に着用者をテレポートさせることがあります
modifier.constructsarmory.endershield.flavor,Harness the power of the enderslime,エンダースライムの力を解き放て
modifier.constructsarmory.enkindling,Enkindling,啓発された
modifier.constructsarmory.enkindling.description,Sometimes lights attackers on fire,時折、攻撃者に火を付ける
modifier.constructsarmory.enkindling.flavor,Firestarter!,火を起こす！
modifier.constructsarmory.experienced,Experienced,経験豊富
modifier.constructsarmory.experienced.description,Gain bonus XP from killing mobs and mining blocks,モブを倒したりブロックを掘ったりしてボーナスXPを獲得します
modifier.constructsarmory.experienced.flavor,Fast Learner!,学習が早い！
modifier.constructsarmory.fervent,Fervent,熱狂
modifier.constructsarmory.fervent.description,Increased movement speed in extreme temperatures,極端な温度で移動速度が上昇する
modifier.constructsarmory.fervent.flavor,Extreme Speed!,極限速度！
modifier.constructsarmory.fervent.speed,Temperate Speed,温和な速度
modifier.constructsarmory.hallowed,Hallowed,聖なる
modifier.constructsarmory.hallowed.description,Increased protection against undead creatures,アンデッドクリーチャーに対する防御を強化します
modifier.constructsarmory.hallowed.flavor,Hunt the Night,夜を狩る
modifier.constructsarmory.hallowed.resistance,Undead Resistance,アンデッド耐性
modifier.constructsarmory.igneous,Igneous,岩質
