key,source_text,target_text
advancements.cornexpansion.cook_kernels_on_campfire.description,Cook Popcorn using a Campfire,キャンプファイヤーでポップコーンを調理する
advancements.cornexpansion.cook_kernels_on_campfire.title,These are not Marshmallows !,これらはマシュマロではありません！
advancements.cornexpansion.drink_corn_syrup.description,Drink Corn Syrup,トウモロコシシロップを飲む
advancements.cornexpansion.drink_corn_syrup.title,Corny Situation,コーンの状況
advancements.cornexpansion.get_every_polenta_variant.description,Craft all three variants of Polenta,ポレンタの3種類すべてをクラフトする
advancements.cornexpansion.get_every_polenta_variant.title,Polenta of Flavors,フレーバーズのポレンタ
advancements.cornexpansion.get_polenta.description,Boil Cornmeal in a stove to make Polenta,スターブでトウモロコシ粉を煮てポレンタを作ります
advancements.cornexpansion.get_polenta.title,Steam-Powered Corn,蒸気動力トウモロコシ
advancements.cornexpansion.getcorn.description,Thanks for downloading Corn Expansion !,Corn Expansion のダウンロードありがとうございます！
advancements.cornexpansion.getcorn.title,Fun is Just Around the CORNer,楽しみはコーンの隅にある
advancements.cornexpansion.geteverypopcornvariant.description,Craft all four variants of Popcorn,ポップコーンの4種類全てをクラフトする
advancements.cornexpansion.geteverypopcornvariant.title,Now you're Popping Off !,今、あなたは爆発するぞ！
advancements.cornexpansion.getpopcorn.description,Make Popcorn by cooking Corn Kernels,トウモロコシの粒を調理してポップコーンを作る
advancements.cornexpansion.getpopcorn.title,"Always go out With A ""Pop""",いつも「ポップ」で外に出る
block.cornexpansion.buttery_popcorn_tin,Buttery Popcorn Tin,バター風味ポップコーン缶
block.cornexpansion.candied_popcorn_tin,Candied Popcorn Tin,キャンディポップコーン缶
block.cornexpansion.cheesy_popcorn_tin,Cheesy Popcorn Tin,チーズ風味ポップコーン缶
block.cornexpansion.popcorn_tin,Popcorn Tin,ポップコーンのスズの缶
block.cornexpansion.sweet_popcorn_tin,Sweet Popcorn Tin,スイートポップコーン缶
creativetab.cornexpansion.tab,Corn Expansion,コーン拡張
item.cornexpansion.buttery_polenta,Buttery Polenta,バターポレンタ
item.cornexpansion.buttery_popcorn,Buttery Popcorn,バターポップコーン
item.cornexpansion.candied_popcorn,Candied Popcorn,キャンディー・ポップコーン
item.cornexpansion.cheesy_polenta,Cheesy Polenta,チーズポルタナ
item.cornexpansion.cheesy_popcorn,Cheesy Popcorn,チーズポップコーン
item.cornexpansion.corn_dough,Corn Dough,トウモロコシの生地
item.cornexpansion.corn_flour,Corn Flour,コーン粉
item.cornexpansion.corn_on_the_cob,Corn On The Cob,コーンオンザコブ
item.cornexpansion.corn_syrup,Corn Syrup,コーンシロップ
item.cornexpansion.corn_syrup_cookie,Corn Syrup Cookie,コーンシロップクッキー
item.cornexpansion.cornmeal,Cornmeal,コーンミール
item.cornexpansion.dried_corn,Dried Corn,乾燥コーン
item.cornexpansion.dried_kernels,Dried Kernels,乾燥した種子
item.cornexpansion.grandmas_cornbread,Grandma's Cornbread,祖母のコーンブレッド
item.cornexpansion.grilled_corn,Grilled Corn,焼きトウモロコシ
item.cornexpansion.polenta,Polenta,ポレンタ
item.cornexpansion.popcorn,Popcorn,ポップコーン
item.cornexpansion.sweet_polenta,Sweet Polenta,甘いポルペナ
item.cornexpansion.sweet_popcorn,Sweet Popcorn,甘いポップコーン
tags.c.flour,Flour,小麦粉
tags.cornexpansion.butter,Butter,バター
tags.cornexpansion.candied_ingredient,Candied Ingredient,キャンディードイングリーデント
tags.cornexpansion.cheese,Cheese,チーズ
tags.cornexpansion.corn,Corn,トウモロコシ
tags.cornexpansion.dried_corn,Dried Corn,乾燥コーン
tags.cornexpansion.popcorn,Popcorn,ポップコーン
tags.cornexpansion.sweet_ingredient,Sweet Ingredient,甘い原料
tags.forge.flour,Flour,小麦粉
