key,source_text,target_text
advancement.create.andesite_alloy,Alliterations Aplenty,頭韻がいっぱい
advancement.create.andesite_alloy.desc,"Create's materials have weird names, Andesite Alloy is one of them.",Createで最も重要な素材、安山岩合金を手に入れる。
advancement.create.andesite_casing,The Andesite Age,安山岩の時代
advancement.create.andesite_casing.desc,Use some Andesite Alloy and Wood to create a basic Casing.,安山岩合金を樹皮を剥いた原木に使って、基本の機械のケーシングを作る
advancement.create.anvil_plough,Blacksmith Artillery,鍛冶屋の大砲
advancement.create.anvil_plough.desc,Launch an Anvil with Mechanical Ploughs,メカニカルプラウで金床を打ち出す
advancement.create.arm_blaze_burner,Combust-o-Tron,燃料補給マシーン
advancement.create.arm_blaze_burner.desc,Instruct a Mechanical Arm to feed your Blaze Burner.,メカニカルアームにブレイズバーナーの燃料補給をさせる
advancement.create.arm_many_targets,Organize-o-Tron,整理整頓マシーン
advancement.create.arm_many_targets.desc,Program a Mechanical Arm with ten or more output locations.,メカニカルアームに10ヶ所以上、搬出先を設定する
advancement.create.backtank,Pressure to Go,圧力、お持ち帰りで！
advancement.create.backtank.desc,Create a Copper Backtank and make it accumulate air pressure,銅のバックタンクを作り、圧縮空気を溜める
advancement.create.belt,Kelp Drive,ベルトコンブア
advancement.create.belt.desc,Connect two shafts with a Mechanical Belt.,メカニカルベルトで2つのシャフトを繋ぐ
advancement.create.belt_funnel_kiss,The Parrots and the Flaps,コウノトリの羽ばたき
advancement.create.belt_funnel_kiss.desc,Make two belt mounted funnels kiss.,2つのファンネルをベルトに載せてキスさせる§7(隠し進捗)
advancement.create.brass,Actual Alloys,本物の合金
advancement.create.brass.desc,Use Crushed Copper and Crushed Zinc to create some Brass.,ブレイズで加熱したメカニカルミキサーで銅と亜鉛のインゴットを合金にして真鍮を作る
advancement.create.brass_casing,The Brass Age,真鍮の時代
advancement.create.brass_casing.desc,Use newly obtained Brass and some Wood to create a more advanced Casing.,真鍮のインゴットを樹皮を剥いた原木に使って、高度な機械のケーシングを作る。
advancement.create.burner,Sentient Fireplace,生きてる暖炉
advancement.create.burner.desc,Obtain a Blaze Burner,ブレイズバーナーを入手する
advancement.create.cardboard,Part and Parcel,小包には欠かせない
advancement.create.cardboard.desc,Produce or obtain your first Cardboard,最初の段ボールを生産または入手する
advancement.create.cardboard_armor,Full Stealth,完璧な隠密
advancement.create.cardboard_armor.desc,Sneak around in full Cardboard Armor,全身に段ボール装備を着てしゃがむ
advancement.create.cardboard_armor_trim,Arts and Crafts,美術と工芸
advancement.create.cardboard_armor_trim.desc,"Decorate your cardboard equipment with armor trims
§7(Hidden Advancement)","鍛冶型で段ボール装備をおしゃれにする
§7(隠し進捗)"
advancement.create.cart_pickup,Strong Arms,膂力
advancement.create.cart_pickup.desc,Pick up a Minecart Contraption with at least 200 attached blocks,200ブロック以上が取り付けられたからくりトロッコを回収する
advancement.create.chained_drain,On a Roll,うまく回ってます
advancement.create.chained_drain.desc,"Watch an item move across a row of Item Drains
§7(Hidden Advancement)","並べたアイテム排液口の上でアイテムが転がるのを見る§7
(隠し進捗)"
advancement.create.chocolate_bucket,A World of Imagination,空想世界
advancement.create.chocolate_bucket.desc,Obtain a bucket of molten chocolate,溶けたチョコレート入りバケツを手に入れる
advancement.create.chute,Tumbling down,垂直輸送
advancement.create.chute.desc,"Place a chute, the vertical counterpart of the belt.",メカニカルベルトの垂直バージョン、シュートを設置する
advancement.create.clockwork_bearing,Contraption o'clock,時計仕掛け
advancement.create.clockwork_bearing.desc,Assemble a Structure mounted on a Clockwork Bearing.,時計仕掛けのベアリングでからくりを組み立てる
advancement.create.compacting,Compactification,小型化
advancement.create.compacting.desc,Use a Mechanical Press and a Basin to create fewer items from more,メカニカルプレスと鉢でより少ないアイテムからよりたくさんのアイテムを作る
advancement.create.conductor,Conductor Instructor,人材育成
advancement.create.conductor.desc,Instruct a Train driver with a Train Schedule,鉄道時刻表で運転手に指示する
advancement.create.contraption_actors,Moving with Purpose,動きの使い方
advancement.create.contraption_actors.desc,"Create a Contraption with drills, saws, or harvesters on board",ドリルか、ソー、ハーベスターのいずれかがついたからくりを作る
advancement.create.copper,Cuprum Bokum,もっと頑丈な岩
advancement.create.copper.desc,Amass some Copper Ingots for your exploits in fluid manipulation,液体を取り扱うために、銅のインゴットを貯めておく
advancement.create.copper_casing,The Copper Age,銅の時代
advancement.create.copper_casing.desc,Use some Copper Sheets and Wood to create some Copper Casings.,銅のインゴットを樹皮を剥いた原木に使って防水の機械のケーシングを作る
advancement.create.crafter_lazy_000,Desperate Measures,苦肉の策
advancement.create.crafter_lazy_000.desc,"Drastically slow down a Mechanical Crafter to procrastinate on proper infrastructure
§7(Hidden Advancement)","インフラ整備を先延ばしにし、メカニカルクラフターをとても遅い速度で稼働させる§7
(隠し進捗)"
advancement.create.cross_streams,Don't Cross the Streams!,液体を交差させるな！
advancement.create.cross_streams.desc,"Watch two fluids meet in your pipe network
§7(Hidden Advancement)","液体ネットワークの中で2種類の液体が出会う様子を見る§7
(隠し進捗)"
advancement.create.crusher_maxed_0000,Crushing It,グッドクラッシュ
advancement.create.crusher_maxed_0000.desc,Operate a pair of Crushing Wheels at maximum speed,破砕ホイールを最大速度で稼働させる
advancement.create.crushing_wheel,A Pair of Giants,破壊ホイール
advancement.create.crushing_wheel.desc,Create some Crushing Wheels to break down more materials more effectively.,一組の破砕ホイールを設置して稼働させる
advancement.create.cuckoo_clock,Is It Time?,今何時？
advancement.create.cuckoo_clock.desc,Witness your Cuckoo Clock announce bedtime,鳩時計が就寝の時間を告げるのを目撃する
advancement.create.deployer,"Poke, Place, and Attack",人工知能
advancement.create.deployer.desc,"Place and power a Deployer, the perfect reflection of yourself.",自分の手と全く同じ動きをするデプロイヤーを設置して、稼働させる
advancement.create.display_board_0,Dynamic Timetables,ダイナミックな時刻表
