key,source_text,target_text
block.create_dd.amethyst_block_pillar,Amethyst Block Pillar,アメジストブロック柱
block.create_dd.basalt_pillar,Basalt Pillar,玄武岩柱
block.create_dd.black_asphalt_block,Black Asphalt Block,黒アスファルトブロック
block.create_dd.black_blueprint_block,Black Blueprint Block,ブラックブループリントブロック
block.create_dd.black_padded_mosaic_rubber,Black Padded Mosaic Rubber,黒いパッド入りモザイクラバー
block.create_dd.black_padded_rubber,Black Padded Rubber,黒ゴムパッド
block.create_dd.black_padded_rubber_slab,Black Padded Rubber Slab,黒いパッド入りラバーのハーフブロック
block.create_dd.black_padded_rubber_stairs,Black Padded Rubber Stairs,黒いパッド入りラバー階段
block.create_dd.black_padded_tiled_rubber,Black Padded Tiled Rubber,黒 パッド付き タイル状 ラバー
block.create_dd.blackstone_pillar,Blackstone Pillar,柱 ブラックストーン
block.create_dd.blasting_sail,Blasting Catalyst Sail,爆発触媒の帆
block.create_dd.blue_asphalt_block,Blue Asphalt Block,青いアスファルトブロック
block.create_dd.blue_padded_mosaic_rubber,Blue Padded Mosaic Rubber,青 パッド付き モザイクラバー
block.create_dd.blue_padded_rubber,Blue Padded Rubber,青いパッド入りラバー
block.create_dd.blue_padded_rubber_slab,Blue Padded Rubber Slab,青いパッド入りラバーハーフブロック
block.create_dd.blue_padded_rubber_stairs,Blue Padded Rubber Stairs,青 パッド付き ラバー階段
block.create_dd.blue_padded_tiled_rubber,Blue Padded Tiled Rubber,青いパッド入りタイルラバー
block.create_dd.blueprint_block,Blueprint Block,ブルーブックブロック
block.create_dd.bore_block,Bore Block,掘り穴
block.create_dd.brown_asphalt_block,Brown Asphalt Block,茶アスファルトブロック
block.create_dd.brown_blueprint_block,Brown Blueprint Block,ブラウンブループリントブロック
block.create_dd.brown_padded_mosaic_rubber,Brown Padded Mosaic Rubber,茶色パッドモザイクゴム
block.create_dd.brown_padded_rubber,Brown Padded Rubber,茶ゴムパッド
block.create_dd.brown_padded_rubber_slab,Brown Padded Rubber Slab,茶色いパッド入りラバーのハーフブロック
block.create_dd.brown_padded_rubber_stairs,Brown Padded Rubber Stairs,茶色パッドゴム階段
block.create_dd.brown_padded_tiled_rubber,Brown Padded Tiled Rubber,茶色 パッド付き タイル状 ラバー
block.create_dd.cog_crank,Cog Crank,歯車レバー
block.create_dd.creative_casing,Creative Casing,クリエイティブケーシング
block.create_dd.cut_amethyst_block,Cut Amethyst Block,アメシストブロックを切る
block.create_dd.cut_amethyst_block_brick_slab,Cut Amethyst Block Brick Slab,切断された紫水晶ブロックレンガハーフブロック
block.create_dd.cut_amethyst_block_brick_stairs,Cut Amethyst Block Brick Stairs,切断されたアメジストブロックレンガ階段
block.create_dd.cut_amethyst_block_brick_wall,Cut Amethyst Block Brick Wall,切断された紫水晶ブロックレンガ壁
block.create_dd.cut_amethyst_block_bricks,Cut Amethyst Block Bricks,切断 アメシスト ブロックレンガス
block.create_dd.cut_amethyst_block_slab,Cut Amethyst Block Slab,紫水晶ブロックハーフブロックを切断
block.create_dd.cut_amethyst_block_stairs,Cut Amethyst Block Stairs,切断 アメシスト ブロック階段
block.create_dd.cut_amethyst_block_wall,Cut Amethyst Block Wall,紫水晶ブロック壁を切断
block.create_dd.cut_basalt,Cut Basalt,切断された玄武岩
block.create_dd.cut_basalt_brick_slab,Cut Basalt Brick Slab,切断された玄武岩レンガハーフブロック
block.create_dd.cut_basalt_brick_stairs,Cut Basalt Brick Stairs,玄武岩ブロック階段を切断
