key,source_text,target_text
block.create_mechanical_extruder.mechanical_extruder,Mechanical Extruder,メカニカル押出機
create_mechanical_extruder.goggles.bonks,%1$s bonks,
create_mechanical_extruder.goggles.recipe_requirement.biome,Incorrect biome,バイオームが違います
create_mechanical_extruder.goggles.recipe_requirement.ingredients,Missing ingredients,欠けている材料
create_mechanical_extruder.goggles.recipe_requirement.max_height,Too high,高すぎます
create_mechanical_extruder.goggles.recipe_requirement.min_height,Too low,低すぎます
create_mechanical_extruder.goggles.recipe_requirement.min_speed,Not enough speed,速度が足りません
create_mechanical_extruder.goggles.recipe_requirement.output,Output full or incompatible,出力が満杯または互換性がありません
create_mechanical_extruder.ponder.extruder.header,Block generation,ブロックの生成
create_mechanical_extruder.ponder.extruder.text_1,The Extruder uses rotational force to generate blocks,押出機は回転力を使用してブロックを生成します.
create_mechanical_extruder.ponder.extruder.text_2,Generation depends on side & below blocks.,"生成は,ブロックの側面と下側に依存します."
create_mechanical_extruder.ponder.extruder.text_3,"When the process is done, the result can be obtained via Right-click","作業が完了すると,右クリックでアイテムが取得できます."
create_mechanical_extruder.ponder.extruder.text_4,The outputs can also be extracted by automation,出力は自動化によってもアイテムを回収することができます.
create_mechanical_extruder.ponder.extruder.text_5,"When a conbination of ingredient has multiple possible outcomes, the filter slot can specify it",材料の組み合わせに複数の結果がある場合、フィルタースロットで指定できます
create_mechanical_extruder.recipe.extruding,Extruding recipe,押出機のレシピ
create_mechanical_extruder.ui.recipe_requirement.max_height,Max Y: %s,最大Y: %s
create_mechanical_extruder.ui.recipe_requirement.min_height,Min Y: %s,最小Y: %s
create_mechanical_extruder.ui.recipe_requirement.min_speed,Min Speed: %s,最小速度: %s
itemGroup.create_mechanical_extruder:main,Create Mechanical Extruder,メカニカルエクストルーダーを作成
