key,source_text,target_text
block.create_new_age.advanced_motor,Strong Motor,高級モーター
block.create_new_age.advanced_motor_extension,Strong Motor Extension,高級モーター拡張
block.create_new_age.advanced_solar_heating_plate,Advanced Solar Plate,高級ソーラー加熱板
block.create_new_age.basic_motor,Basic Motor,基本モーター
block.create_new_age.basic_motor_extension,Basic Motor Extension,基本モーター拡張
block.create_new_age.basic_solar_heating_plate,Basic Solar Plate,基本ソーラー加熱板
block.create_new_age.carbon_brushes,Carbon Brushes,カーボンブラシ
block.create_new_age.corium,Corium,コリウム
block.create_new_age.electrical_connector,Electrical Connector,電気コネクタ
block.create_new_age.energiser_t1,Basic Energizer,基本エナジャイザー
block.create_new_age.energiser_t2,Advanced Energizer,高級エナジャイザー
block.create_new_age.energiser_t3,Reinforced Energizer,強化エナジャイザー
block.create_new_age.fluxuated_magnetite,Fluxuated Magnetite,変動磁鉄鉱
block.create_new_age.generator_coil,Generator Coil,発電コイル
block.create_new_age.heat_pipe,Heat Pipe,ヒートパイプ
block.create_new_age.heat_pump,Heat Pump,ヒートポンプ
block.create_new_age.heater,Boiler Heater,ボイラーヒーター
block.create_new_age.layered_magnet,Layered Magnet,層状磁石
block.create_new_age.magnetite_block,Magnetite Block,磁鉄鉱ブロック
block.create_new_age.netherite_magnet,Netherite Magnet,ネザライト磁石
block.create_new_age.reactor_casing,Reactor Casing,原子炉ケーシング
block.create_new_age.reactor_fuel_acceptor,Reactor Fuel Inserter,原子炉燃料インサーター
block.create_new_age.reactor_glass,Reactor Glass,リアクターガラス
block.create_new_age.reactor_heat_vent,Reactor Heat Vent,原子炉放熱口
block.create_new_age.reactor_rod,Reactor Rod,原子炉ロッド
block.create_new_age.redstone_magnet,Redstone Magnet,レッドストーン磁石
block.create_new_age.reinforced_motor,Reinforced Motor,強化モーター
block.create_new_age.solid_corium,Solid Corium,固体コリウム
block.create_new_age.stirling_engine,Stirling Engine,スターリングエンジン
block.create_new_age.thorium_ore,Thorium Ore,トリウム鉱石
create.new_age.motor.stress_multiplier,Stress Capacity Multiplier,応力容量乗数
create.tooltip.create_new_age.additional_capacity,Additional Capacity,追加容量
create.tooltip.create_new_age.attention,Attention!,注意！
create.tooltip.create_new_age.battery_issue,_Battery controller_ must be located at the top of a _fluid tank_ filled with _electrolyte_.,バッテリーコントローラーは電解質で満たされた流体タンクの上部に配置する必要があります。
create.tooltip.create_new_age.connector_info,Connector Info: ,接続情報: 
create.tooltip.create_new_age.connector_mode.inert,Inert,不活性
create.tooltip.create_new_age.connector_mode.pull,Pull,引く
create.tooltip.create_new_age.efficiency,Efficiency: ,効率:
create.tooltip.create_new_age.energy,%s ⚡,%s ⚡
create.tooltip.create_new_age.energy_output,Energy Output: ,エネルギー出力: 
create.tooltip.create_new_age.energy_per_tick,%s ⚡/t,%s ⚡/t
create.tooltip.create_new_age.energy_stats,Energy Stats: ,エネルギー情報:
