key,source_text,target_text
block.createchromaticreturn.andesite_component,Andesite Component,安山岩部品
block.createchromaticreturn.brass_component,Brass Component,真鍮コンポーネント
block.createchromaticreturn.refined_mixture,Refined Mixture,精製混合物
block.createchromaticreturn.shadow_essence,Shadow Essence,影の精霊
effect.createchromaticreturn.multiplite_flight,Multiplite Flight,マルチプレイトフライト
enchantment.createchromaticreturn.durable,Durable,耐久性
enchantment.createchromaticreturn.super_silk_touch,Super Silk Touch,超級のシルクタッチ
enchantment.createchromaticreturn.wrenching,Wrenching,レンチ
fluid.createchromaticreturn.refined_mixture,Refined Mixture,精製混合物
fluid.createchromaticreturn.shadow_essence,Shadow Essence,影の精霊
item.createchromaticreturn.annealed_mechanism,Annealed Mechanism,焼却機構
item.createchromaticreturn.antiplite_charm,§cAnti-Plite Charm,§cアンチプライトチャーム
item.createchromaticreturn.antiplite_ingot,§cAntiplite Ingot,§cアンチプレイトインゴット
item.createchromaticreturn.axe_cast,Axe Cast,斧の投擲
item.createchromaticreturn.bamboo_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.bamboo_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.bedrock_charm_base,§dBedrock Charm Base,§dベッドロックチャームベース
item.createchromaticreturn.bedrock_shard,Bedrock Shard,ベッドロックの破片
item.createchromaticreturn.blade_cast,Blade Cast,刃を投げた
item.createchromaticreturn.blazing_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.blazing_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.bone_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.bone_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.carbon_powder,Carbon Powder,炭酸粉末
item.createchromaticreturn.charm_base,§eCharm Base,§eチャーム・ベース
item.createchromaticreturn.charm_cast,Charm Cast,チャームキャスト
item.createchromaticreturn.chromatic_compound,Chromatic Compound,色の化合物
item.createchromaticreturn.creative_flour,Creative Flour,創造性の粉
item.createchromaticreturn.cyber_plating,Cyber Plating,サイバー装甲板
item.createchromaticreturn.durasteel_book,§eDurasteel Infused Book,§eダラステール注入本
item.createchromaticreturn.durasteel_charm,Durasteel Charm,耐久鋼の魔導具
item.createchromaticreturn.durasteel_charm_cast,Charm Cast,チャームキャスト
item.createchromaticreturn.durasteel_handle,§cDurasteel Handle,§c耐久鋼ハンドル
item.createchromaticreturn.durasteel_ingot,§4Durasteel Ingot,§4ダーラステールインゴット
item.createchromaticreturn.durasteel_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.durasteel_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.fortunite_bar,Fortunite Bar,フォーチュナイトバー
item.createchromaticreturn.four_leaf_clover,Four Leaf Clover,四葉のクローバー
item.createchromaticreturn.glowing_ingot,Glowing Ingot,光るインゴット
item.createchromaticreturn.handle_cast,Handle Cast,ハンドル投げ
item.createchromaticreturn.hoe_cast,Hoe Cast,クワの投擲
item.createchromaticreturn.industrium_book,§eIndustrium Infused Book,インの粉リアムインフューズドブック
item.createchromaticreturn.industrium_charm,§dIndustrium Charm,§dインの粉リアムチャーム
item.createchromaticreturn.industrium_handle,Industrium Handle,インの粉リアムハンドル
item.createchromaticreturn.industrium_ingot,Industrium Ingot,インの粉リアムインゴット
item.createchromaticreturn.industrium_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.industrium_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.magmatic_mechanism,Magmatic Mechanism,マグマ機構
item.createchromaticreturn.multiplite_charm,§dMultiplite Charm,§dマルチプライトチャーム
item.createchromaticreturn.multiplite_handle,Multiplite Handle,マルチプレイトハンドル
item.createchromaticreturn.multiplite_ingot,Multiplite Ingot,マルチプレイトインゴット
item.createchromaticreturn.multiplite_shadow_steel_paxel,§eShadow Steel Paxel,§e影鋼パクセル
item.createchromaticreturn.multiplite_shadow_steel_sword,§eShadow Steel Sword,§e影鋼剣
item.createchromaticreturn.multiplite_tube,Multiplite Tube,マルチプライットチューブ
item.createchromaticreturn.paxel_cast,Paxel Cast,パクセルを投げて
item.createchromaticreturn.pickaxe_cast,Pickaxe Cast,ピッケックス・キャスト
item.createchromaticreturn.plating_cast,Plating Cast,メッキ铸鉄
item.createchromaticreturn.plutonium_nugget,§ePlutonium Nugget,§eプルトニウムの粒
