key,source_text,target_text
advancement.createrailwaysnavigator.advanced_display,Not quite 4k,4kには及ばない
advancement.createrailwaysnavigator.advanced_display.description,Upgrade your display boards to display more information and even place them in your trains.,ディスプレイボードを強化して、より多くの情報を表示できるようにするほか、からくり化した列車内にも設置できます。
advancement.createrailwaysnavigator.navigator,Thank you for traveling,ご乗車ありがとうございました。
advancement.createrailwaysnavigator.navigator.description,Craft a Navigator to search for train connections from one train station to another.,ある駅から別の駅への列車を検索するナビゲーターを作る。
block.createrailwaysnavigator.advanced_display,Advanced Display Board,高度なボード型ディスプレイ
block.createrailwaysnavigator.advanced_display.ber.arrival,Arrival,到着
block.createrailwaysnavigator.advanced_display.ber.cancelled,Cancelled,運休
block.createrailwaysnavigator.advanced_display.ber.cancelled2,is cancelled today. We apologize for the inconvenience.,は運休になりました。申し訳ありません。
block.createrailwaysnavigator.advanced_display.ber.delay_abs_suffix,minutes,分
block.createrailwaysnavigator.advanced_display.ber.delayed,Delay approx. %s,遅延約%s分
block.createrailwaysnavigator.advanced_display.ber.delayed2,today approx. %s delayed.,、今日約%s分遅延
block.createrailwaysnavigator.advanced_display.ber.information_about_cancelled,Information about %s: This train got cancelled,%s に関する情報: この列車は運休になりました
block.createrailwaysnavigator.advanced_display.ber.information_about_delayed,Information about %s: Delay approx. %s,%sについての情報: 遅延約%s分
block.createrailwaysnavigator.advanced_display.ber.information_about_delayed_with_unit,Information about %s: Delay approx. %s,%sについての情報: 遅延約%s分
block.createrailwaysnavigator.advanced_display.ber.not_in_service,Out of service!,回送
block.createrailwaysnavigator.advanced_display.ber.reason,Reason: ,理由: 
block.createrailwaysnavigator.advanced_display.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_block,Advanced Display Block,高度なブロック型ディスプレイ
block.createrailwaysnavigator.advanced_display_block.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_block.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_block.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_half_panel,Half Advanced Display Panel,高度なハーフパネル型ディスプレイ
block.createrailwaysnavigator.advanced_display_half_panel.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_half_panel.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_half_panel.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_panel,Advanced Display Panel,高度なパネル型ディスプレイ
block.createrailwaysnavigator.advanced_display_panel.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_panel.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_panel.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_slab,Advanced Display Slab,高度なハーフブロック型ディスプレイ
block.createrailwaysnavigator.advanced_display_slab.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_slab.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_slab.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_sloped,Sloped Advanced Display,高度な傾斜型ディスプレイ
block.createrailwaysnavigator.advanced_display_sloped.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_sloped.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_sloped.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.advanced_display_small,Small Advanced Display,高度な小型ディスプレイ
block.createrailwaysnavigator.advanced_display_small.tooltip.behaviour1,Open a menu to _configure_ the _display_.,ディスプレイの設定メニューを開きます。
block.createrailwaysnavigator.advanced_display_small.tooltip.condition1,When R-Clicked using a Wrench,レンチで右クリックしたとき
block.createrailwaysnavigator.advanced_display_small.tooltip.summary,"Use it on _trains_, as a _train destination display_ or _passenger information display_, or at _train stations_ as improved _platform displays_ which also shows more information than regular display boards.",からくり化した列車に取りつけると行き先や旅客案内を表示したり、駅のホームで通常のディスプレイボードより多くの情報を表示できるディスプレイボードとして使えます
block.createrailwaysnavigator.train_station_clock,Train Station Clock,駅の時計
create.display_source.advanced_display,Advanced Displays,高度なディスプレイ
createrailwaysnavigator.moin,moin,モイン
createrailwaysnavigator.schedule.condition.dynamic_delay,Dynamic Delay,動的遅延
createrailwaysnavigator.schedule.condition.dynamic_delay.at_least,or at least %s,少なくとも %s
createrailwaysnavigator.schedule.condition.dynamic_delay.min_duration,Minimum Duration,最短所要時間
createrailwaysnavigator.schedule.condition.dynamic_delay.title,Wait: %s..%s,待つ: %s..%s
createrailwaysnavigator.schedule.condition.train_separation,Train Separation,列車の分離
createrailwaysnavigator.schedule.condition.train_separation.description,Departure %s after:,出発 %s 後:
createrailwaysnavigator.schedule.condition.train_separation.settings,Train Separation Settings,列車分離設定
createrailwaysnavigator.schedule.condition.train_separation.title,Separation: %s,分離: %s
createrailwaysnavigator.schedule.instruction.configure,Configure...,設定...
createrailwaysnavigator.schedule.instruction.reset_timings,Reset Timings,タイミングをリセット
createrailwaysnavigator.schedule.instruction.travel_section,New Schedule Section,新しい時刻表セクション
createrailwaysnavigator.schedule.instruction.travel_section.description,Beginning of a new schedule section.,新しい時刻表セクションの初め
createrailwaysnavigator.schedule.instruction.travel_section.include_previous_station," - Include start of next section: "," - 次のセクションの初めを含む: "
createrailwaysnavigator.schedule.instruction.travel_section.train_group," - Set Train Group: "," - 列車グル ープを設定する: "
createrailwaysnavigator.schedule.instruction.travel_section.train_line," - Set Train Line: "," - 路線を設定する: "
createrailwaysnavigator.schedule.instruction.travel_section.usable," - Navigable: "," - 移動可能: "
display.createrailwaysnavigator.departure_board.table,Table,テーブル
