key,source_text,target_text
structure.ctov.large.village_beach,Beach Village(Large),ビーチの村(大)
structure.ctov.large.village_christmas,Christmas Village(Large),クリスマスの村(大)
structure.ctov.large.village_dark_forest,Dark Forest Village(Large),ダークフォレストの村(大)
structure.ctov.large.village_desert,Desert Village(Large),砂漠の村(大)
structure.ctov.large.village_desert_fortified,Desert Fortified Village(Large),砂漠の要塞村(大)
structure.ctov.large.village_jungle,Jungle Village(Large),ジャングルの村(大)
structure.ctov.large.village_jungle_tree,jungle Tree Village(Large),ジャングルの樹木の村(大)
structure.ctov.large.village_mesa,Badlands Village(Large),荒野の村(大)
structure.ctov.large.village_mesa_fortified,Badlands Fortified Village(Large),荒野の要塞村(大)
structure.ctov.large.village_mountain,Japanese Village(Large),和風の村(大)
structure.ctov.large.village_mountain_alpine,Alpine Village(Large),アルプスの村(大)
structure.ctov.large.village_mushroom,Mushroom Village(Large),キノコ島の村(大)
structure.ctov.large.village_plains,Plains Village(Large),平原の村(大)
structure.ctov.large.village_plains_fortified,Plains Fortified Village(Large),平原の要塞村(大)
structure.ctov.large.village_savanna,Savanna Village(Large),サバンナの村(大)
structure.ctov.large.village_savanna_na,Savanna Native American Village(Large),ネイティブアメリカン風サバンナの村(大)
structure.ctov.large.village_snowy,Snowy Village(Large),雪の村(大)
structure.ctov.large.village_swamp,Swamp Village(Large),沼地の村(大)
structure.ctov.large.village_swamp_fortified,Swamp Fortified Village(Large),沼地の要塞村(大)
structure.ctov.large.village_taiga,Taiga Village(Large),タイガの村(大)
structure.ctov.large.village_taiga_fortified,Taiga Fortified Village(Large),タイガの要塞村(大)
structure.ctov.medium.village_beach,Beach Village(Medium),ビーチの村(中)
structure.ctov.medium.village_christmas,Christmas Village(Medium),クリスマスの村(中)
structure.ctov.medium.village_dark_forest,Dark Forest Village(Medium),ダークフォレストの村(中)
structure.ctov.medium.village_desert,Desert Village(Medium),砂漠の村(中)
structure.ctov.medium.village_desert_fortified,Desert Fortified Village(Medium),砂漠の要塞村(中)
structure.ctov.medium.village_jungle,Jungle Village(Medium),ジャングルの村(中)
structure.ctov.medium.village_jungle_tree,jungle Tree Village(Medium),ジャングルの樹木の村(中)
structure.ctov.medium.village_mesa,Badlands Village(Medium),荒野の村(中)
structure.ctov.medium.village_mesa_fortified,Badlands Fortified Village(Medium),荒野の要塞村(中)
structure.ctov.medium.village_mountain,Japanese Village(Medium),和風の村(中)
structure.ctov.medium.village_mountain_alpine,Alpine Village(Medium),アルプスの村(中)
structure.ctov.medium.village_mushroom,Mushroom Village(Medium),キノコ島の村(中)
structure.ctov.medium.village_plains,Plains Village(Medium),平原の村(中)
structure.ctov.medium.village_plains_fortified,Plains Fortified Village(Medium),平原の要塞村(中)
structure.ctov.medium.village_savanna,Savanna Village(Medium),サバンナの村(中)
structure.ctov.medium.village_savanna_na,Savanna Native American Village(Medium),ネイティブアメリカン風サバンナの村(中)
structure.ctov.medium.village_snowy,Snowy Village(Medium),雪の村(中)
structure.ctov.medium.village_swamp,Swamp Village(Medium),沼地の村(中)
structure.ctov.medium.village_swamp_fortified,Swamp Fortified Village(Medium),沼地の要塞村(中)
structure.ctov.medium.village_taiga,Taiga Village(Medium),タイガの村(中)
structure.ctov.medium.village_taiga_fortified,Taiga Fortified Village(Medium),タイガの要塞村(中)
structure.ctov.pillager_outpost_badlands,Badlands Pillager Outpost,荒野の略奪者の哨戒基地
structure.ctov.pillager_outpost_beach,Beach Pillager Outpost,ビーチの略奪者の哨戒基地
structure.ctov.pillager_outpost_dark_forest,Dark forest Pillager Outpost,ダークフォレストの略奪者の哨戒基地
structure.ctov.pillager_outpost_desert,Desert Pillager Outpost,砂漠の略奪者の哨戒基地
structure.ctov.pillager_outpost_jungle,Jungle Pillager Outpost,ジャングルの略奪者の哨戒基地
structure.ctov.pillager_outpost_mountain,Mountain Pillager Outpost,山の略奪者の哨戒基地
structure.ctov.pillager_outpost_plains,Plains Pillager Outpost,平原の略奪者の哨戒基地
structure.ctov.pillager_outpost_savanna,Savanna Pillager Outpost,サバンナの略奪者の哨戒基地
structure.ctov.pillager_outpost_snowy,Snowy Pillager Outpost,雪の略奪者の哨戒基地
structure.ctov.pillager_outpost_swamp,Swamp Pillager Outpost,沼地の略奪者の哨戒基地
structure.ctov.pillager_outpost_taiga,Taiga Pillager Outpost,タイガの略奪者の哨戒基地
structure.ctov.small.village_beach,Beach Village(Small),ビーチの村(小)
structure.ctov.small.village_christmas,Christmas Village(Small),クリスマスの村(小)
structure.ctov.small.village_dark_forest,Dark Forest Village(Small),ダークフォレストの村(小)
structure.ctov.small.village_desert,Desert Village(Small),砂漠の村(小)
structure.ctov.small.village_desert_fortified,Desert Fortified Village(Small),砂漠の要塞村(小)
structure.ctov.small.village_jungle,Jungle Village(Small),ジャングルの村(小)
structure.ctov.small.village_jungle_tree,jungle Tree Village(Small),ジャングルの樹木の村(小)
structure.ctov.small.village_mesa,Badlands Village(Small),荒野の村(小)
structure.ctov.small.village_mesa_fortified,Badlands Fortified Village(Small),荒野の要塞村(小)
structure.ctov.small.village_mountain,Japanese Village(Small),和風の村(小)
structure.ctov.small.village_mountain_alpine,Alpine Village(Small),アルプスの村(小)
structure.ctov.small.village_mushroom,Mushroom Village(Small),キノコ島の村(小)
structure.ctov.small.village_plains,Plains Village(Small),平原の村(小)
