key,source_text,target_text
message.cucumber.filled_energy,This block has taken your energy!,この%sがあなたのエネルギーを奪いました!
message.cucumber.filled_energy_error,This block is unable to take your energy.,この%sはあなたのエネルギーを奪えません。
subtitle.cucumber.watering_can,Watering Can,ジョウロ
tooltip.cucumber.block_tags,Block Tags:,ブロックタグ:
tooltip.cucumber.data_components,Data Components:,データコンポーネント：
tooltip.cucumber.empty,Empty,空
tooltip.cucumber.filled,Filled,満たす
tooltip.cucumber.fluid_tags,Fluid Tags:,液体タグ:
tooltip.cucumber.hold_alt_for_data_components,Hold ALT to see Data Components,ALTを押してデータコンポーネントを表示
tooltip.cucumber.hold_ctrl_for_tags,Hold CTRL to see tags,CTRLを押すとタグを表示
tooltip.cucumber.hold_shift_for_info,Hold §e§oSHIFT §r§7for info,§e§oSHIFT§r§7を押すと詳細を表示
tooltip.cucumber.item_tags,Item Tags:,アイテムタグ:
tooltip.cucumber.not_yet_implemented,Not Yet Implemented,未実装
tooltip.cucumber.one_use_left,1 Use Left,残り1回使用可能
tooltip.cucumber.unlimited_uses,Unlimited Uses,無制限使用
tooltip.cucumber.uses_left,%s Uses Left,残り%s回使用可能
tooltip.cucumber.back,Back,戻る
tooltip.cucumber.close,Close,閉じる
tooltip.cucumber.forward,Forward,前進
tooltip.cucumber.hold_alt_for_nbt,Hold ALT to see NBT,ALTを押してNBTを表示
tooltip.cucumber.failed_to_load_nbt,Failed to load NBT,NBTの読み込みに失敗しました
guide.cu.page_indicator,Page %s / %s,ページ %s / %s
tooltip.cu.exit,Exit,退出
tooltip.cu.back,Back,戻る
tooltip.cu.author,Author: %s,作者: %s
tooltip.cu.uses_left,Uses Left: %s,使用残数: %s
tooltip.cu.hold_shift_for_info,§7Hold §e§oSHIFT §r§7for info.,§7Shiftキーを押して情報を見る。
