key,source_text,target_text
custommachinery.machine.component.contraption,Contraption,機械装置
custommachinerycreate.gui.creation.components.contraption,Contraption,機械装置
custommachinerycreate.gui.creation.components.contraption.stress_impact,Stress impact,ストレス影響
custommachinerycreate.requirement.contraption.error.speed.input,Not enough rotational speed: %s RPM required but %s RPM found,回転速度が不足しています: %s RPM が必要ですが %s RPM しかありません
custommachinerycreate.requirement.contraption.error.stress.input,This machine is overstressed !,このマシンは過負荷です！
custommachinerycreate.requirement.contraption.info.scaling,Processing speed will scale with rotation speed,処理速度は回転速度に比例してスケールします
custommachinerycreate.requirement.contraption.info.speed.input,Required speed: %s RPM,必要な回転速度: %s RPM
custommachinerycreate.requirement.contraption.info.speed.output,Output speed: %s RPM,出力速度: %s RPM
custommachinerycreate.requirement.contraption.info.stress.input,Stress impact: %sx RPM,ストレス影響: %sx RPM
custommachinerycreate.requirement.contraption.info.stress.output,Stress capacity: %sx RPM,ストレス容量: %sx RPM
