key,source_text,target_text
block.doaddonfluids.amethyst_milk,Amethyst Milk ?,紫水晶のミルク？
block.doaddonfluids.apple_jam,Apple Jam,リンゴジャム
block.doaddonfluids.black_tea,Black Tea,紅茶
block.doaddonfluids.buffalo_milk,Buffalo Milk,バッファーミルク
block.doaddonfluids.coffee,Coffee,コーヒー
block.doaddonfluids.crimson_grapejuice,Crimson Grapejuice,真紅グレープジュース
block.doaddonfluids.glowberry_jam,Glowberry Jam,グロウベリージャム
block.doaddonfluids.goat_milk,Goat Milk,ヤギのミルク
block.doaddonfluids.grain_milk,Grain Milk,穀物ミルク
block.doaddonfluids.green_tea,Green Tea,緑茶
block.doaddonfluids.hibiscus_tea,Hibiscus Tea,ヒビスカスティー
block.doaddonfluids.jungle_red_grapejuice,Red Jungle Grapejuice,ジャングル赤ブドウジュース
block.doaddonfluids.jungle_white_grapejuice,White Jungle Grapejuice,白いジャングルグレープジュース
block.doaddonfluids.lavender_tea,Lavender Tea,ラベンダーティー
block.doaddonfluids.milk_coffee,Milk Coffee,ミルクコーヒー
block.doaddonfluids.oolong_tea,Oolong Tea,烏龍茶
block.doaddonfluids.red_grapejuice,Red Grapejuice,赤いグレープジュース
block.doaddonfluids.rennet,Rennet,レンネット
block.doaddonfluids.rooibos_tea,Rooibos Tea,ロオビスティー
block.doaddonfluids.savanna_red_grapejuice,Red Savanna Grapejuice,赤いサバンナグレープジュース
block.doaddonfluids.savanna_white_grapejuice,White Savanna Grapejuice,白サバンナグレープジュース
block.doaddonfluids.sheep_milk,Sheep Milk,羊ミルク
block.doaddonfluids.strawberry_jam,Strawberry Jam,ストロベリージャム
block.doaddonfluids.sweetberry_jam,Sweetberry Jam,スイートベリージャム
block.doaddonfluids.taiga_red_grapejuice,Red Taiga Grapejuice,レッド・タイガブドウジュース
block.doaddonfluids.taiga_white_grapejuice,White Taiga Grapejuice,白いタイガグレープジュース
block.doaddonfluids.warped_grapejuice,Warped Grapejuice,変形グレープジュース
block.doaddonfluids.warped_milk,Warped Milk,歪んだミルク
block.doaddonfluids.white_grapejuice,White Grapejuice,白いブドウジュース
block.doaddonfluids.yerba_mate_tea,Yerba Mate Tea,ヤーバマテ茶
fluid_type.doaddonfluids.amethyst_milk,Amethyst Milk ?,紫水晶のミルク？
fluid_type.doaddonfluids.apple_jam,Apple Jam,リンゴジャム
fluid_type.doaddonfluids.black_tea,Black Tea,紅茶
fluid_type.doaddonfluids.buffalo_milk,Buffalo Milk,バッファーミルク
fluid_type.doaddonfluids.coffee,Coffee,コーヒー
fluid_type.doaddonfluids.crimson_grapejuice,Crimson Grapejuice,真紅グレープジュース
fluid_type.doaddonfluids.glowberry_jam,Glowberry Jam,グロウベリージャム
fluid_type.doaddonfluids.goat_milk,Goat Milk,ヤギのミルク
fluid_type.doaddonfluids.grain_milk,Grain Milk,穀物ミルク
fluid_type.doaddonfluids.green_tea,Green Tea,緑茶
fluid_type.doaddonfluids.hibiscus_tea,Hibiscus Tea,ヒビスカスティー
fluid_type.doaddonfluids.jungle_red_grapejuice,Red Jungle Grapejuice,ジャングル赤ブドウジュース
fluid_type.doaddonfluids.jungle_white_grapejuice,White Jungle Grapejuice,白いジャングルグレープジュース
fluid_type.doaddonfluids.lavender_tea,Lavender Tea,ラベンダーティー
fluid_type.doaddonfluids.milk_coffee,Milk Coffee,ミルクコーヒー
fluid_type.doaddonfluids.oolong_tea,Oolong Tea,烏龍茶
fluid_type.doaddonfluids.red_grapejuice,Red Grapejuice,赤いグレープジュース
fluid_type.doaddonfluids.rennet,Rennet,レンネット
fluid_type.doaddonfluids.rooibos_tea,Rooibos Tea,ロオビスティー
fluid_type.doaddonfluids.savanna_red_grapejuice,Red Savanna Grapejuice,赤いサバンナグレープジュース
fluid_type.doaddonfluids.savanna_white_grapejuice,White Savanna Grapejuice,白サバンナグレープジュース
fluid_type.doaddonfluids.sheep_milk,Sheep Milk,羊ミルク
fluid_type.doaddonfluids.strawberry_jam,Strawberry Jam,ストロベリージャム
fluid_type.doaddonfluids.sweetberry_jam,Sweetberry Jam,スイートベリージャム
fluid_type.doaddonfluids.taiga_red_grapejuice,Red Taiga Grapejuice,レッド・タイガブドウジュース
fluid_type.doaddonfluids.taiga_white_grapejuice,White Taiga Grapejuice,白いタイガグレープジュース
fluid_type.doaddonfluids.warped_grapejuice,Warped Grapejuice,変形グレープジュース
fluid_type.doaddonfluids.warped_milk,Warped Milk,歪んだミルク
fluid_type.doaddonfluids.white_grapejuice,White Grapejuice,白いブドウジュース
fluid_type.doaddonfluids.yerba_mate_tea,Yerba Mate Tea,ヤーバマテ茶
