key,source_text,target_text
dtnpaletteofpaws.variant.bonito_flakes,Bonito Flakes,カツオ節
dtnpaletteofpaws.variant.brindle,Brindle,ブリンドル
dtnpaletteofpaws.variant.brown_mushroom,Brown Mushroom,茶色のキノコ
dtnpaletteofpaws.variant.cake,Cake,ケーキ
dtnpaletteofpaws.variant.cappuccino,Cappuccino,カップチーノ
dtnpaletteofpaws.variant.charcoal,Charcoal,木炭
dtnpaletteofpaws.variant.chocolate,Chocolate,チョコレート
dtnpaletteofpaws.variant.chorus,Chorus,コーラス
dtnpaletteofpaws.variant.coral_brain,Coral Brain,ノウサンゴ
dtnpaletteofpaws.variant.coral_bubble,Coral Bubble,ミズタマサンゴ
dtnpaletteofpaws.variant.coral_fire,Coral Fire,ミレポラサンゴ
dtnpaletteofpaws.variant.coral_horn,Coral Horn,シカツノサンゴ
dtnpaletteofpaws.variant.coral_tube,Coral Tube,クダサンゴ
dtnpaletteofpaws.variant.desiccated,Desiccated,乾燥
dtnpaletteofpaws.variant.ender,Ender,エンダ
dtnpaletteofpaws.variant.enoki,Enoki,エノキタケ
dtnpaletteofpaws.variant.espresso,Espresso,エスプレッソ
dtnpaletteofpaws.variant.frosty,Frosty,フロスティ
dtnpaletteofpaws.variant.icy,Icy,氷
dtnpaletteofpaws.variant.kombu,Kombu,昆布
dtnpaletteofpaws.variant.latte,Latte,ラッテ
dtnpaletteofpaws.variant.mocha,Mocha,モカ
dtnpaletteofpaws.variant.muddy,Muddy,泥状
dtnpaletteofpaws.variant.red_mushroom,Red Mushroom,赤いキノコ模様
dtnpaletteofpaws.variant.root_beer,Root Beer,ルートビア
dtnpaletteofpaws.variant.sanguine,Sanguine,血なまぐさい
dtnpaletteofpaws.variant.sculk,Sculk,スカルク蜂
dtnpaletteofpaws.variant.shitake,Shitake,シータケ
dtnpaletteofpaws.variant.sooty,Sooty,すす
dtnpaletteofpaws.variant.strawberry,Strawberry,イチゴ
dtnpaletteofpaws.variant.vanilla,Vanilla,バニラ
dtnpaletteofpaws.variant.walnut,Walnut,クルミ
dtnpaletteofpaws.variant.wandering_soul,Wandering Soul,さ迷える魂
dtnpaletteofpaws.variant.withered_soul,Withered Soul,枯れた魂
entity.dtnpaletteofpaws.wolf,Wolf,オオカミ
item.dtnpaletteofpaws.wolf_charm,Wolf Charm,狼お守り
