key,source_text,target_text
embeddiumextension.option.advanced_item_tooltips,Advanced Item Tooltips,高度なアイテムツールチップ
embeddiumextension.option.advanced_item_tooltips.tooltip,"If enabled, tooltips for items will display the identifier and durability.",有効にすると、アイテムのツールチップに識別子と耐久値が表示されます。
embeddiumextension.option.advancement_toast,Advancement Toasts,進捗通知
embeddiumextension.option.advancement_toast.tooltip,"If enabled, advancement popups will be displayed.",有効にすると進捗ポップアップが表示されます。
embeddiumextension.option.animate_fire.tooltip,"If enabled, fire animations are processed.",有効にすると、火のアニメーションが処理されます。
embeddiumextension.option.animate_lava.tooltip,"If enabled, lava animations are processed.",有効にすると、溶岩のアニメーションが処理されます。
embeddiumextension.option.animate_portal.tooltip,"If enabled, portal animations are processed.",有効にすると、ポータルアニメーションが処理されます。
embeddiumextension.option.animate_sculk_sensor.tooltip,"If enabled, sculk sensor animations are processed.",有効なら、スクルクセンサーのアニメーションが処理される。
embeddiumextension.option.animate_water.tooltip,"If enabled, water animations are processed.",有効にすると、水アニメーションが処理されます。
embeddiumextension.option.animations,Animations,アニメーション
embeddiumextension.option.animations_all.tooltip,"If enabled, animations are processed.","If enabled, animations are processed."
embeddiumextension.option.armor_stands.tooltip,"If enabled, armor stands are rendered.",有効にすると、防具のスタンドが描画されます。
embeddiumextension.option.beacon_beam,Beacon Beam,ビジュアルビーム
embeddiumextension.option.beacon_beam.tooltip,"If enabled, beacon beams are rendered.",有効にすると、ビジュアルビーチの光が描画されます。
embeddiumextension.option.biome_colors,Biome Colors,バイオームの色
embeddiumextension.option.biome_colors.tooltip,"If enabled, biome colors are changed based on the biome.",有効にすると、バイオームごとに色が変更されます。
embeddiumextension.option.block_animations,Block Animations,ブロックアニメーション
embeddiumextension.option.block_animations.tooltip,"If enabled, block animations are processed.",有効にすると、ブロックアニメーションが処理されます。
embeddiumextension.option.block_break.tooltip,"If enabled, block break particles are processed.",有効なら、ブロック破壊パーティクルが処理されます。
embeddiumextension.option.block_breaking.tooltip,"If enabled, block breaking particles are processed.",有効にすると、ブロック破壊パーティクルが処理されます。
embeddiumextension.option.cloud_height,Cloud Height,雲の高さ
embeddiumextension.option.cloud_height.tooltip,Controls the height of clouds that are rendered.,描画される雲の高さを制御します。
embeddiumextension.option.details,Details,詳細
embeddiumextension.option.enchanting_table_book,Enchanting Table Book,エンチャントテーブル本
embeddiumextension.option.enchanting_table_book.tooltip,"If enabled, enchanting table books are rendered.",有効なら、エンチャントテーブルの本が描画されます。
embeddiumextension.option.extras,Extras,追加機能
embeddiumextension.option.fog,%s Fog,%s の霧
embeddiumextension.option.fog.tooltip,"Adjusts the fog effect distance on the terrain per dimension. Disable Multi Dimension Fog to control fog using Single Fog 
0 - use vanilla fog settings
1-32 - set fog distance in chunks
33 - max fog distance (essentially disables fog)","地形のフォグ効果の距離をディメンション毎に調整します。マルチディメンションフォグを無効にすると、シングルフォグで制御できます。
0 - バニラのフォグ設定を使用
1-32 - チャンク単位でのフォグ距離を設定
33 - 最大フォグ距離（実質的にフォグを無効化）"
embeddiumextension.option.fog_start,Fog Start Multiplier,霧の開始倍率
embeddiumextension.option.fog_start.tooltip,Adjusts when the terrain fog begins to render for the player.,地形の霧がプレイヤーにレンダリングされ始めるタイミングを調整します。
embeddiumextension.option.instant_sneak,Instant Sneak,瞬間の隠れ
embeddiumextension.option.instant_sneak.tooltip,"If enabled, the camera will not lerp upon sneaking.",有効にすると、カメラはスニーク時にリープしません。
embeddiumextension.option.item_frame_name_tag,Item Frame Name Tag,アイテムフレーム名前タグ
embeddiumextension.option.item_frame_name_tag.tooltip,"If enabled, item frame name tags will be visible.",有効にするとアイテムフレーム名タグが表示されます。
embeddiumextension.option.item_frames.tooltip,"If enabled, item frames are rendered.",アイテムフレームの表示を有効にします。
embeddiumextension.option.light_updates,Light Updates,更新を明確に
embeddiumextension.option.light_updates.tooltip,"If enabled, lighting updates will be processed. If disabled, this can affect lighting when generating new chunks. Only disable this if you know what you are doing.",有効にするとライティングの更新が処理されます。無効にすると、新しいチャンク生成時のライティングに影響が出る場合があります。何をしているかわかっている場合のみ無効にしてください。
embeddiumextension.option.linear_flat_color_blender,Use Linear Flat Color Blender,線形フラットカラーブレンドを使用
embeddiumextension.option.linear_flat_color_blender.tooltip,Applies linear color biome blend without linear color blended block faces.,線形色バイオームブレンドを適用し、線形色でブレンドされたブロック面を生成します。
embeddiumextension.option.multi_dimension_fog,Multi Dimension Fog,多次元の霧
embeddiumextension.option.multi_dimension_fog.tooltip,"If enabled, per dimension fog sliders will be processed. If disabled, single fog slider will be processed. Upon changing this option user will need to leave menu and reenter to see fog sliders.",有効にするとディメンション毎のフォグスライダーが処理されます。無効にするとシングルフォグスライダーが処理されます。このオプションを変更した場合、メニューを抜けて再度開く必要があります。
embeddiumextension.option.overlay_corner,Coordinates Corner,座標コーナー
embeddiumextension.option.overlay_corner.bottom_left,Bottom Left,左下
embeddiumextension.option.overlay_corner.bottom_right,Bottom Right,右下
embeddiumextension.option.overlay_corner.tooltip,Determines which corner of the screen the Coordinates will be rendered.,画面のどの角に座標が描画されるかを決定します。
embeddiumextension.option.overlay_corner.top_left,Top Left,左上
embeddiumextension.option.overlay_corner.top_right,Top Right,右上
embeddiumextension.option.paintings.tooltip,"If enabled, paintings are rendered.",有効なら、絵画が描画される
embeddiumextension.option.particles.tooltips,"If enabled, %s particles are processed.",%s パーティクルが処理されます。
embeddiumextension.option.particles_all.tooltip,"If enabled, particles are processed.",有効にすると、パーティクルが処理されます。
embeddiumextension.option.piston.tooltip,"If enabled, piston extending animations are rendered.",有効にするとピストン伸長アニメーションが描画されます。
embeddiumextension.option.player_name_tag,Player Name Tag,プレイヤー名タグ
embeddiumextension.option.player_name_tag.tooltip,"If enabled, player name tags will be visible.",有効にするとプレイヤー名タグが表示されます。
embeddiumextension.option.prevent_shaders,Prevent Shaders,シャドーを防ぐ
embeddiumextension.option.prevent_shaders.tooltip,"If enabled, any type of vanilla shaders will be prevented from loading. For example, the distorted view when spectating from a spider's point of view.",有効にすると、あらゆる種類のバニラシェーダーの読み込みが防止されます。例えば、クモの視点から観察する際の画面の歪みなどが該当します。
embeddiumextension.option.rain_snow.tooltip,"If enabled, rain & snow are rendered.",雨と雪の表示を有効にします。
embeddiumextension.option.rain_splash.tooltip,"If enabled, rain splash particles are rendered.",有効にすると雨のスプラッシュパーティクルが描画されます。
embeddiumextension.option.recipe_toast,Recipe Toasts,レシピの通知
embeddiumextension.option.recipe_toast.tooltip,"If enabled, recipe popups will be displayed.",有効にすると、レシピポップアップが表示されます。
embeddiumextension.option.reduce_resolution_on_mac,Reduce Resolution on macOS,macOSで解像度を下げる
embeddiumextension.option.reduce_resolution_on_mac.tooltip,"Use half the resolution on retina displays, vastly improving performance on macOS.
Modifying this option will require a game restart.","RetinaディスプレイではMac上での解像度を半分にして、パフォーマンスを大幅に改善します。
このオプションを変更するとゲームの再起動が必要になります。"
embeddiumextension.option.render,Render,レンダリング
embeddiumextension.option.resolution.tooltip,Determines the resolution of the game when in fullscreen.,フルスクリーン時のゲーム解像度を決定する
embeddiumextension.option.show_coordinates,Show Coordinates,座標を表示
embeddiumextension.option.show_coordinates.tooltip,Displays player coordinates on the overlay.,オーバーレイにプレイヤー座標を表示します。
embeddiumextension.option.single_fog,Single Fog,単一霧
embeddiumextension.option.single_fog.tooltip,"Adjusts the fog effect distance on the terrain for all dimensions. Enable Multi Dimension Fog to control fog per dimension. 
0 - use vanilla fog settings
1-32 - set fog distance in chunks
33 - max fog distance (essentially disables fog)","全ディメンション対象に、地形のフォグ効果の距離を調整します。マルチディメンションフォグを有効にするとディメンション毎に制御できます。
0 - バニラのフォグ設定を使用
1-32 - チャンク単位でのフォグ距離を設定
33 - 最大フォグ距離（実質的にフォグを無効化）"
embeddiumextension.option.sky,Sky,空
embeddiumextension.option.sky.tooltip,"If enabled, the sky will be rendered.",空の表示を有効にします。
embeddiumextension.option.sky_colors,Sky Colors,空の色
embeddiumextension.option.sky_colors.tooltip,"If enabled, sky colors are changed based on the biome.",有効にすると、空の色はバイオームに応じて変わります
embeddiumextension.option.stars,Stars,星
embeddiumextension.option.stars.tooltip,"If enabled, the stars will be rendered.",有効にすると、星が描画されます。
embeddiumextension.option.sun_moon,Sun & Moon,太陽と月
embeddiumextension.option.sun_moon.tooltip,"If enabled, the sun and moon will be rendered.",有効にすると、太陽と月が描画されます。
embeddiumextension.option.system_toast,System Toasts,システム通知
embeddiumextension.option.system_toast.tooltip,"If enabled, system popups will be displayed.",有効にすると、システムポップアップが表示されます。
embeddiumextension.option.text_contrast,Text Contrast,テキストのコントラスト
embeddiumextension.option.text_contrast.background,Background,背景
embeddiumextension.option.text_contrast.none,None,なし
embeddiumextension.option.text_contrast.shadow,Shadow,影
embeddiumextension.option.text_contrast.tooltip,"Adjusts the contrast of the Coordinates counter.
- None: Default plain white text
- Background: Renders a background to the text like the debug menu
- Shadow: Plain white text with shadow","座標カウンターのテキストコントラストを調整します。
- なし：デフォルトの白いテキスト
- 背景：デバッグメニューのような背景付きテキスト
- 影：白いテキストに影が付きます"
embeddiumextension.option.toasts,Toasts,トースト
embeddiumextension.option.toasts.tooltip,"If enabled, advancement and crafting recipe popups will be displayed.",有効化すると、進捗とクラフトレシピのポップアップが表示されます。
embeddiumextension.option.tutorial_toast,Tutorial Toasts,チュートリアルのトースト
embeddiumextension.option.tutorial_toast.tooltip,"If enabled, tutorial popups will be displayed.",有効にすると、チュートリアルポップアップが表示されます。
embeddiumextension.option.use_adaptive_sync.name,Adaptive,適応
embeddiumextension.option.use_adaptive_sync.tooltip,"If enabled, V-Sync will be able to swap mid-frame and disable itself at times, usually notably helping responsiveness. May cause issues with some GPU drivers.",有効にするとV-Syncがフレーム途中で切り替わったり、時々自動的に無効になったりしてレスポンスが向上します。一部のGPUドライバーで問題が発生する可能性があります。
