key,source_text,target_text
advancements.enderio.place_capacitor_bank.description,Build a Capacitor Bank,コンデンサーバンクを作る
advancements.enderio.place_capacitor_bank.title,Modular Power Storage,モジュラー電力貯蔵
advancements.enderio.rich.description,Make others think you are rich,他人に金持ちだと思わせる
advancements.enderio.rich.title,Don't tell the others,他人に言わないで
advancements.enderio.richer.description,Make others think you are richer,他人に自分がより裕福だと思わせる
advancements.enderio.richer.title,Is this real?,これは本当ですか？
advancements.enderio.use_glider.description,Do you really trust some leather?,本当に皮革を信頼しますか？
block.enderio.advanced_capacitor_bank,Advanced Capacitor Bank,高度なコンデンサーバンク
block.enderio.alloy_smelter,Alloy Smelter,合金製錬炉
block.enderio.basic_capacitor_bank,Basic Capacitor Bank,簡易蓄電装置
block.enderio.clear_glass,Clear Glass,クリアガラス
block.enderio.clear_glass_black,Black Clear Glass,黒いクリアガラス
block.enderio.clear_glass_blue,Blue Clear Glass,青いクリアガラス
block.enderio.clear_glass_brown,Brown Clear Glass,茶色いクリアガラス
block.enderio.clear_glass_cyan,Cyan Clear Glass,青緑クリアガラス
block.enderio.clear_glass_d,Dark Clear Glass,遮光高透過ガラス
block.enderio.clear_glass_d_black,Black Dark Clear Glass,黒ダーククリアガラス
block.enderio.clear_glass_d_blue,Blue Dark Clear Glass,青いダーククリアガラス
block.enderio.clear_glass_d_brown,Brown Dark Clear Glass,茶ダーククリアガラス
block.enderio.clear_glass_d_cyan,Cyan Dark Clear Glass,水色のダーククリアガラス
block.enderio.clear_glass_d_gray,Gray Dark Clear Glass,灰色のダーククリアガラス
block.enderio.clear_glass_d_green,Green Dark Clear Glass,緑色ダーククリアガラス
block.enderio.clear_glass_d_light_blue,Light Blue Dark Clear Glass,空色 ダーククリアガラス
block.enderio.clear_glass_d_light_gray,Light Gray Dark Clear Glass,薄灰色 ダーク クリアガラス
block.enderio.clear_glass_d_lime,Lime Dark Clear Glass,黄緑のダーククリアガラス
block.enderio.clear_glass_d_magenta,Magenta Dark Clear Glass,赤紫ダーククリアガラス
block.enderio.clear_glass_d_orange,Orange Dark Clear Glass,橙 ダーククリアガラス
block.enderio.clear_glass_d_pink,Pink Dark Clear Glass,桃色のダーククリアガラス
block.enderio.clear_glass_d_purple,Purple Dark Clear Glass,紫 ダーククリアガラス
block.enderio.clear_glass_d_red,Red Dark Clear Glass,赤暗クリアガラス
block.enderio.clear_glass_d_white,White Dark Clear Glass,白色ダーククリアガラス
block.enderio.clear_glass_d_yellow,Yellow Dark Clear Glass,黄 ダーククリアガラス
block.enderio.clear_glass_e,Enlightened Clear Glass,発光高透過ガラス
block.enderio.clear_glass_e_black,Black Enlightened Clear Glass,黒い啓示クリアガラス
block.enderio.clear_glass_e_blue,Blue Enlightened Clear Glass,青エンライトンドクリアガラス
block.enderio.clear_glass_e_brown,Brown Enlightened Clear Glass,茶色い啓示クリアガラス
block.enderio.clear_glass_e_cyan,Cyan Enlightened Clear Glass,青緑啓示クリアガラス
block.enderio.clear_glass_e_gray,Gray Enlightened Clear Glass,灰色啓示クリアガラス
block.enderio.clear_glass_e_green,Green Enlightened Clear Glass,緑の啓示クリアガラス
block.enderio.clear_glass_e_light_blue,Light Blue Enlightened Clear Glass,空色 エンライトンド クリーアグラス
block.enderio.clear_glass_e_light_gray,Light Gray Enlightened Clear Glass,薄灰色 エンライトンド クリアガラス
block.enderio.clear_glass_e_lime,Lime Enlightened Clear Glass,黄緑啓示クリアガラス
block.enderio.clear_glass_e_magenta,Magenta Enlightened Clear Glass,赤紫・エンライトンド・クリアガラス
block.enderio.clear_glass_e_orange,Orange Enlightened Clear Glass,橙の啓示クリアガラス
block.enderio.clear_glass_e_pink,Pink Enlightened Clear Glass,桃色啓示クリアガラス
block.enderio.clear_glass_e_purple,Purple Enlightened Clear Glass,紫の啓示クリアガラス
block.enderio.clear_glass_e_red,Red Enlightened Clear Glass,赤い啓示クリアガラス
block.enderio.clear_glass_e_white,White Enlightened Clear Glass,白啓示クリアガラス
block.enderio.clear_glass_e_yellow,Yellow Enlightened Clear Glass,黄の啓示クリアガラス
block.enderio.clear_glass_gray,Gray Clear Glass,灰色クリアガラス
block.enderio.clear_glass_green,Green Clear Glass,緑のクリアガラス
block.enderio.clear_glass_light_blue,Light Blue Clear Glass,空色クリアガラス
block.enderio.clear_glass_light_gray,Light Gray Clear Glass,ライトグレイクリアガラス
block.enderio.clear_glass_lime,Lime Clear Glass,黄緑クリアガラス
block.enderio.clear_glass_magenta,Magenta Clear Glass,赤紫クリアガラス
block.enderio.clear_glass_orange,Orange Clear Glass,橙透明ガラス
block.enderio.clear_glass_pink,Pink Clear Glass,桃色クリアガラス
block.enderio.clear_glass_purple,Purple Clear Glass,紫透明ガラス
block.enderio.clear_glass_red,Red Clear Glass,赤クリアガラス
block.enderio.clear_glass_white,White Clear Glass,白いクリアガラス
block.enderio.clear_glass_yellow,Yellow Clear Glass,黄透明ガラス
block.enderio.cloud_seed,Cloud Seed,人工雨
block.enderio.cloud_seed_concentrated,Cloud Seed Concentrated,雲種濃縮
block.enderio.cold_fire,Cold Fire,冷たい炎
block.enderio.conductive_alloy_block,Conductive Alloy Block,導電合金ブロック
block.enderio.conduit,Conduit,コンジット
block.enderio.copper_alloy_block,Copper Alloy Block,銅合金ブロック
block.enderio.crafter,Crafter,クラフター
block.enderio.creative_power,Creative Power,創造力
block.enderio.dark_steel_bars,Dark Steel Bars,ダークスチールバー
block.enderio.dark_steel_block,Dark Steel Block,ダークスチールブロック
block.enderio.dark_steel_door,Dark Steel Door,ダークスチールのドア
block.enderio.dark_steel_ladder,Dark Steel Ladder,ダークスチールのはしご
block.enderio.dark_steel_pressure_plate,Dark Steel Pressure Plate,ダーク鋼鉄圧力板
block.enderio.dark_steel_trapdoor,Dark Steel Trapdoor,ダークスチールのトラップドア
block.enderio.dew_of_the_void,Dew Of The Void,虚無の露
block.enderio.drain,Drain,吸収
block.enderio.enchanter,Enchanter,エンチャント
block.enderio.end_steel_bars,End Steel Bars,エンドスチールの格子
block.enderio.end_steel_block,End Steel Block,エンドスチールブロック
block.enderio.enderman_head,Enderman Head,エンダーマンの頭
block.enderio.energetic_alloy_block,Energetic Alloy Block,エナジェティック合金ブロック
block.enderio.energetic_photovoltaic_module,Energetic Photovoltaic Module,エネルゲティック光伏モジュール
block.enderio.ensouled_chassis,Ensouled Chassis,魂を宿すシャーシ
block.enderio.fire_water,Fire Water,火酒
block.enderio.fluid_tank,Fluid Tank,液体タンク
block.enderio.fused_quartz,Fused Quartz,クォーツガラス
block.enderio.fused_quartz_black,Black Fused Quartz,黒ファウジングクォーツ
block.enderio.fused_quartz_blue,Blue Fused Quartz,青い融合クォーツ
block.enderio.fused_quartz_brown,Brown Fused Quartz,茶ファウジングクォーツ
block.enderio.fused_quartz_cyan,Cyan Fused Quartz,青緑融合石英
block.enderio.fused_quartz_d,Dark Fused Quartz,遮光クォーツガラス
