key,source_text,target_text
itemGroup.everlastingabilities,Everlasting Abilities,永遠の能力
general.everlastingabilities.empty,None,なし
general.everlastingabilities.level,Level: %s / %s,レベル: %s / %s
general.everlastingabilities.xp,XP/Level: %s (%s player levels),経験値/レベル: %s (%s プレイヤーのレベル)
chat.everlastingabilities.command.invalidAbility,"Could not find the ability with id ""%s"".","ID ""%s"" の能力が見つかりません。"
chat.everlastingabilities.command.addedAbility,"Added ability %s, new ability %s.",能力 %s を追加、新能力 %s を獲得しました
chat.everlastingabilities.command.removedAbility,"Removed ability %s, new ability %s.",能力%sを削除、代わりに%sを追加しました。
chat.everlastingabilities.playerLostAbility,%s dropped %s of level %s!,%s がレベル %s の %s を落としました！
ability.abilities.everlastingabilities.speed.name,Speed,速度
ability.abilities.everlastingabilities.speed.info,Walk faster,歩く速度を上げる
ability.abilities.everlastingabilities.haste.name,Haste,加速
ability.abilities.everlastingabilities.haste.info,Mine faster,採掘を速くする
ability.abilities.everlastingabilities.strength.name,Strength,強さ
ability.abilities.everlastingabilities.strength.info,Inflict more damage when attacking,攻撃時により多くのダメージを与えることができます。
ability.abilities.everlastingabilities.jump_boost.name,Jump Boost,ジャンプブースト
ability.abilities.everlastingabilities.jump_boost.info,Jump Higher,もっと高くジャンプ
ability.abilities.everlastingabilities.regeneration.name,Regeneration,回復
ability.abilities.everlastingabilities.regeneration.info,Regenerate health faster,体力をより早く回復する
ability.abilities.everlastingabilities.resistance.name,Resistance,耐性
ability.abilities.everlastingabilities.resistance.info,Take less damage from attacks,攻撃から受けるダメージが減少する
ability.abilities.everlastingabilities.fire_resistance.name,Fire Resistance,火 resist
ability.abilities.everlastingabilities.fire_resistance.info,Take less damage from fire,火から受けるダメージを減らす
ability.abilities.everlastingabilities.water_breathing.name,Water Breathing,水の呼吸
ability.abilities.everlastingabilities.water_breathing.info,Breathe underwater,水中で呼吸する
ability.abilities.everlastingabilities.invisibility.name,Invisibility,透明化
ability.abilities.everlastingabilities.invisibility.info,Become invisible,不可視化
ability.abilities.everlastingabilities.night_vision.name,Night Vision,夜間視覚
ability.abilities.everlastingabilities.night_vision.info,See in the dark,暗闇を見ることができる
ability.abilities.everlastingabilities.absorbtion.name,Absorbtion,吸収
ability.abilities.everlastingabilities.absorbtion.info,Adds absorbtion hearts,吸収ハートを追加
ability.abilities.everlastingabilities.saturation.name,Saturation,満腹度
ability.abilities.everlastingabilities.saturation.info,Reduce hunger,飢餓を減らす
ability.abilities.everlastingabilities.luck.name,Luck,幸運
ability.abilities.everlastingabilities.luck.info,Have a higher chance on better loot,より良いアイテムが入る確率が上がります
ability.abilities.everlastingabilities.slowness.name,Slowness,遅延
ability.abilities.everlastingabilities.slowness.info,Entities in the area move slower,エリア内のエンティティが遅く動く
ability.abilities.everlastingabilities.mining_fatigue.name,Mining Fatigue,採掘の疲労
ability.abilities.everlastingabilities.mining_fatigue.info,Entities in the area mine slower,エリア内のエンティティは採掘速度が遅くなる
ability.abilities.everlastingabilities.nausea.name,Nausea,めまい
ability.abilities.everlastingabilities.nausea.info,Entities in the area get nauseous,エリア内のエンティティがめまいを感じます
ability.abilities.everlastingabilities.blindness.name,Blindness,視力喪失
ability.abilities.everlastingabilities.blindness.info,Entities in the area become blind,エリア内のエンティティが視覚的に失明します
ability.abilities.everlastingabilities.hunger.name,Hunger,飢餓
ability.abilities.everlastingabilities.hunger.info,Entities in the area become hungry,エリア内のエンティティが飢餓になります。
ability.abilities.everlastingabilities.weakness.name,Weakness,弱さ
ability.abilities.everlastingabilities.weakness.info,Entities in the area become weaker,エリア内のエンティティが弱くなります。
ability.abilities.everlastingabilities.poison.name,Poison,毒
ability.abilities.everlastingabilities.poison.info,Entities in the area become poisoned,エリア内のエンティティが毒状態になる
ability.abilities.everlastingabilities.wither.name,Wither,ウィザー
ability.abilities.everlastingabilities.wither.info,Entities in the area become withered,エリア内のエンティティが枯れ状態になる
ability.abilities.everlastingabilities.glowing.name,Glowing,光る
ability.abilities.everlastingabilities.glowing.info,Entities in the area start glowing,エリア内のエンティティが光を発光します。
ability.abilities.everlastingabilities.levitation.name,Levitation,浮遊
ability.abilities.everlastingabilities.levitation.info,Entities in the area start levitating,エリア内のエンティティが浮遊開始
ability.abilities.everlastingabilities.unluck.name,Unluck,運気の悪さ
ability.abilities.everlastingabilities.unluck.info,Entities in the area have a lower chance on good loot,エリア内のエンティティは良い落とし物を得る確率が低くなります
ability.abilities.everlastingabilities.flight.name,Flight,飛行
ability.abilities.everlastingabilities.flight.info,Allows you to fly,飛行可能にします
ability.abilities.everlastingabilities.step_assist.name,Step Assist,段差補助
ability.abilities.everlastingabilities.step_assist.info,Automatically step up a certain number of blocks depending on the level,レベルに応じて一定数のブロックを自動で上昇します
ability.abilities.everlastingabilities.fertility.name,Fertility,繁栄
ability.abilities.everlastingabilities.fertility.info,Animals in the area become fertile,周囲の動物が繁殖可能になります。
ability.abilities.everlastingabilities.bonemealer.name,Bonemealer,骨の肥料
ability.abilities.everlastingabilities.bonemealer.info,Bonemeal the area,エリアに骨粉を撒く
ability.abilities.everlastingabilities.power_stare.name,Power Stare,パワーステア
ability.abilities.everlastingabilities.power_stare.info,Push away entities you're looking at,見ている方向にあるエンティティを押し離す
ability.abilities.everlastingabilities.magnetize.name,Magnetize,磁化
ability.abilities.everlastingabilities.magnetize.info,Attract nearby items,近くのアイテムを引き寄せます
item.items.everlastingabilities.ability_totem.name,Ability Totem,能力トーマ
item.items.everlastingabilities.ability_bottle.name,Ability Bottle,能力用ボトル
config.everlastingabilities,%s configuration,%s設定
config.everlastingabilities.item,Item settings,アイテム設定
config.everlastingabilities.item.tooltip,Item settings,アイテム設定
config.everlastingabilities.general,General settings,一般設定
config.everlastingabilities.general.tooltip,General settings,一般設定
config.everlastingabilities.core,Core settings,コア設定
config.everlastingabilities.core.tooltip,Core settings,コア設定
config.everlastingabilities.capability,Capability settings,キャパビリティ設定
config.everlastingabilities.capability.tooltip,Capability settings,キャパビリティ設定
config.everlastingabilities.ability,Ability settings,能力設定
config.everlastingabilities.ability.tooltip,Ability settings,能力設定
config.everlastingabilities.absorbtion.maxLevel,Max absorbtion level,最大吸収レベル
config.everlastingabilities.absorbtion.rarity,Rarity of absorbtion,吸収の希少性
config.everlastingabilities.absorbtion.xpPerLevel,Xp required per absorbtion level,吸収レベルごとの必要XP
config.everlastingabilities.blindness.maxLevel,Max blindness level,最大失明レベル
config.everlastingabilities.blindness.rarity,Rarity of blindness,盲目のレアリティ
config.everlastingabilities.blindness.xpPerLevel,Xp required per blindness level,盲目レベルごとの必要な経験値
config.everlastingabilities.bonemealer.maxLevel,Max bonemealer level,骨粉の最大レベル
config.everlastingabilities.bonemealer.rarity,Rarity of bonemealer,骨粉の希少性
config.everlastingabilities.bonemealer.xpPerLevel,Xp required per bonemealer level,ボーンメイラーレベルごとの必要XP
config.everlastingabilities.fertility.maxLevel,Max fertility level,最大繁殖レベル
config.everlastingabilities.fertility.rarity,Rarity of fertility,繁殖のレアリティ
config.everlastingabilities.fertility.xpPerLevel,Xp required per fertility level,肥沃レベルごとの必要な経験値
config.everlastingabilities.fire_resistance.maxLevel,Max fire resistance level,火の耐性レベルの最大値
config.everlastingabilities.fire_resistance.rarity,Rarity of fire resistance,火の耐性の稀少度
config.everlastingabilities.fire_resistance.xpPerLevel,Xp required per fire resistance level,火耐性レベルごとの経験値必要量
config.everlastingabilities.flight.maxLevel,Max flight level,最大飛行レベル
config.everlastingabilities.flight.rarity,Rarity of flight,飛行の稀少度
config.everlastingabilities.flight.xpPerLevel,Xp required per flight level,フライトレベルごとに必要な経験値
config.everlastingabilities.glowing.maxLevel,Max glowing level,最大輝光レベル
config.everlastingabilities.glowing.rarity,Rarity of glowing,輝光の希少性
config.everlastingabilities.glowing.xpPerLevel,Xp required per glowing level,輝きレベルごとの必要XP
config.everlastingabilities.haste.maxLevel,Max haste level,最大の早さレベル
config.everlastingabilities.haste.rarity,Rarity of haste,早さの稀少度
config.everlastingabilities.haste.xpPerLevel,Xp required per haste level,早さレベルごとの経験値必要量
config.everlastingabilities.hunger.maxLevel,Max hunger level,最大飢餓レベル
config.everlastingabilities.hunger.rarity,Rarity of hunger,飢餓の稀少度
config.everlastingabilities.hunger.xpPerLevel,Xp required per hunger level,満腹レベルごとの経験値要求
config.everlastingabilities.invisibility.maxLevel,Max invisibility level,最大の無視レベル
config.everlastingabilities.invisibility.rarity,Rarity of invisibility,無視の稀少度
config.everlastingabilities.invisibility.xpPerLevel,Xp required per invisibility level,不可視レベルごとの必要XP
config.everlastingabilities.jump_boost.maxLevel,Max jump boost level,ジャンプブーストの最大レベル
config.everlastingabilities.jump_boost.rarity,Rarity of jump boost,ジャンプブーストの希少性
config.everlastingabilities.jump_boost.xpPerLevel,Xp required per jump boost level,ジャンプブーストレベルごとの必要XP
config.everlastingabilities.levitation.maxLevel,Max levitation level,浮遊の最大レベル
config.everlastingabilities.levitation.rarity,Rarity of levitation,浮遊の希少性
config.everlastingabilities.levitation.xpPerLevel,Xp required per levitation level,浮遊レベルごとの必要XP
config.everlastingabilities.luck.maxLevel,Max luck level,最大の幸運レベル
config.everlastingabilities.luck.rarity,Rarity of luck,幸運の稀少度
config.everlastingabilities.luck.xpPerLevel,Xp required per luck level,運レベルごとの経験値必要量
config.everlastingabilities.magnetize.maxLevel,Max magnetize level,最大磁化レベル
config.everlastingabilities.magnetize.rarity,Rarity of magnetize,磁化のレアリティ
config.everlastingabilities.magnetize.xpPerLevel,Xp required per magnetize level,磁化レベルごとの必要XP
config.everlastingabilities.mining_fatigue.maxLevel,Max mining fatigue level,最大採掘疲労レベル
config.everlastingabilities.mining_fatigue.rarity,Rarity of mining fatigue,採掘疲労の希少性
config.everlastingabilities.mining_fatigue.xpPerLevel,Xp required per mining fatigue level,マイニング疲労レベルごとの必要XP
