key,source_text,target_text
advancements.adventure.consume_copper_nugget.description,"Eat a copper nugget, it's very good for your health.",健康に良い銅塊を食べる
advancements.adventure.consume_copper_nugget.title,Crack a tooth,歯が割れるわ
advancements.adventure.summon_copper_golem.description,Summon a Copper Golem. Not for any particular reason other than having way too much copper on hand.,カッパーゴーレムを召喚する。余った銅の消費先以外に特に意味はありません
advancements.adventure.summon_copper_golem.title,Golem Palette,色変えゴーレム
block.everythingcopper.chipped_copper_anvil,Chipped Copper Anvil,欠けた銅の金床
block.everythingcopper.chipped_exposed_copper_anvil,Chipped Exposed Copper Anvil,欠けた風化した銅の金床
block.everythingcopper.chipped_oxidized_copper_anvil,Chipped Oxidized Copper Anvil,欠けた酸化した銅の金床
block.everythingcopper.chipped_weathered_copper_anvil,Chipped Weathered Copper Anvil,欠けた錆びた銅の金床
block.everythingcopper.chiseled_copper,Chiseled Copper,模様入りの銅
block.everythingcopper.copper_anvil,Copper Anvil,銅の金床
block.everythingcopper.copper_bars,Copper Bars,銅棒
block.everythingcopper.copper_button,Copper Button,銅のボタン
block.everythingcopper.copper_cauldron,Copper Cauldron,銅の大釜
block.everythingcopper.copper_chain,Copper Chain,銅チェーン
block.everythingcopper.copper_door,Copper Door,銅のドア
block.everythingcopper.copper_grate,Copper Grate,銅の格子
block.everythingcopper.copper_hopper,Copper Hopper,銅のホッパー
block.everythingcopper.copper_ladder,Copper Ladder,銅のはしご
block.everythingcopper.copper_lamp,Copper Bulb,銅の電球
block.everythingcopper.copper_lantern,Copper Lantern,銅のランタン
block.everythingcopper.copper_lava_cauldron,Copper Cauldron,銅の大釜
block.everythingcopper.copper_pressure_plate,Copper Pressure Plate,銅の感圧板
block.everythingcopper.copper_rail,Copper Rail,銅のレール
block.everythingcopper.copper_soul_lantern,Copper Soul Lantern,銅の魂のランタン
block.everythingcopper.copper_trapdoor,Copper Trapdoor,銅のトラップドア
block.everythingcopper.copper_water_cauldron,Copper Cauldron,銅の大釜
block.everythingcopper.damaged_copper_anvil,Damaged Copper Anvil,壊れかけの銅の金床
block.everythingcopper.damaged_exposed_copper_anvil,Damaged Exposed Copper Anvil,壊れかけの風化した銅の金床
block.everythingcopper.damaged_oxidized_copper_anvil,Damaged Oxidized Copper Anvil,壊れかけの酸化した銅の金床
block.everythingcopper.damaged_weathered_copper_anvil,Damaged Weathered Copper Anvil,壊れかけの錆びた銅の金床
block.everythingcopper.exposed_chiseled_copper,Exposed Chiseled Copper,風化した模様入りの銅
block.everythingcopper.exposed_copper_anvil,Exposed Copper Anvil,風化した銅の金床
