key,source_text,target_text
advancements.exdeorum.core.barrel.description,Use a barrel to compost organic material into dirt,バレルで有機物を堆肥化し、土に変換する
advancements.exdeorum.core.barrel.title,That Goes in the GreenWaste,リサイクル
advancements.exdeorum.core.crook.description,Craft a Crook to double sapling drops from leaves,葉からドロップする苗木を2倍にするクロックをクラフトする
advancements.exdeorum.core.crook.title,Give Him The Hook,フックをかける
advancements.exdeorum.core.root.description,Spawn into a SkyBlock void world,SkyBlockワールドにスポーンする
advancements.exdeorum.core.root.title,Don't Look Down...,下を見てはいけない…
advancements.exdeorum.core.silk_worm.description,"Obtain a silk worm, then infest a tree with it to get string",カイコを手に入れる。カイコに葉を食べさせることで、糸を得ることができる
advancements.exdeorum.core.silk_worm.title,This Looks Edible,食べられそう？
advancements.exdeorum.core.string_mesh.description,Craft a string mesh to use in a sieve,ふるいに使う糸のメッシュをクラフトする
advancements.exdeorum.core.string_mesh.title,All the Little Cogs,すべての小さなギア
block.exdeorum.acacia_barrel,Acacia Barrel,アカシアのバレル
block.exdeorum.acacia_compressed_sieve,Acacia Compressed Sieve,アカシアの圧縮ふるい
block.exdeorum.acacia_crucible,Acacia Crucible,アカシアのるつぼ
block.exdeorum.acacia_sieve,Acacia Sieve,アカシアのふるい
block.exdeorum.archwood_barrel,Archwood Barrel,アークウッドのバレル
block.exdeorum.archwood_sieve,Archwood Sieve,アークウッドのふるい
block.exdeorum.bamboo_barrel,Bamboo Barrel,竹のバレル
block.exdeorum.bamboo_compressed_sieve,Bamboo Compressed Sieve,竹の圧縮ふるい
block.exdeorum.bamboo_crucible,Bamboo Crucible,竹のるつぼ
block.exdeorum.bamboo_sieve,Bamboo Sieve,竹のふるい
block.exdeorum.birch_barrel,Birch Barrel,シラカバのバレル
block.exdeorum.birch_compressed_sieve,Birch Compressed Sieve,シラカバの圧縮ふるい
block.exdeorum.birch_crucible,Birch Crucible,シラカバのるつぼ
block.exdeorum.birch_sieve,Birch Sieve,シラカバのふるい
block.exdeorum.blue_archwood_compressed_sieve,Blue Archwood Compressed Sieve,カスケーディングアーチウッド圧縮ふるい
block.exdeorum.blue_archwood_crucible,Cascading Archwood Crucible,滝のアークウッドのるつぼ
block.exdeorum.bluebright_barrel,Bluebright Barrel,ブルーブライトのバレル
block.exdeorum.bluebright_compressed_sieve,Bluebright Compressed Sieve,ブルーブライトの圧縮ふるい
block.exdeorum.bluebright_crucible,Bluebright Crucible,ブルーブライトのるつぼ
block.exdeorum.bluebright_sieve,Bluebright Sieve,ブルーブライトのふるい
block.exdeorum.cherry_barrel,Cherry Barrel,サクラのバレル
block.exdeorum.cherry_compressed_sieve,Cherry Compressed Sieve,サクラの圧縮ふるい
block.exdeorum.cherry_crucible,Cherry Crucible,サクラのるつぼ
block.exdeorum.cherry_sieve,Cherry Sieve,サクラのふるい
block.exdeorum.comet_barrel,Comet Barrel,彗星のバレル
block.exdeorum.comet_compressed_sieve,Comet Compressed Sieve,彗星の圧縮ふるい
block.exdeorum.comet_crucible,Comet Crucible,彗星のるつぼ
block.exdeorum.comet_sieve,Comet Sieve,彗星のふるい
block.exdeorum.compressed_andesite,Compressed Andesite,圧縮された安山岩
block.exdeorum.compressed_blackstone,Compressed Blackstone,圧縮されたブラックストーン
block.exdeorum.compressed_cobbled_deepslate,Compressed Cobbled Deepslate,圧縮された深層岩の丸石
block.exdeorum.compressed_cobblestone,Compressed Cobblestone,圧縮された丸石
block.exdeorum.compressed_crushed_blackstone,Compressed Crushed Blackstone,圧縮された砕かれたブラックストーン
block.exdeorum.compressed_crushed_deepslate,Compressed Crushed Deepslate,圧縮された砕かれた深層岩
block.exdeorum.compressed_crushed_end_stone,Compressed Crushed End Stone,圧縮された砕かれたエンドストーン
block.exdeorum.compressed_crushed_netherrack,Compressed Crushed Netherrack,圧縮された砕かれたネザーラック
block.exdeorum.compressed_deepslate,Compressed Deepslate,圧縮された深層岩
block.exdeorum.compressed_diorite,Compressed Diorite,圧縮された閃緑岩
block.exdeorum.compressed_dirt,Compressed Dirt,圧縮された土
