key,source_text,target_text
exnihilo.barrel.oak.name,Oak Barrel,オークの樽
exnihilo.barrel.spruce.name,Spruce Barrel,トウヒの樽
exnihilo.barrel.birch.name,Birch Barrel,シラカバの樽
exnihilo.barrel.jungle.name,Jungle Barrel,ジャングル樽
exnihilo.barrel.acacia.name,Acacia Barrel,アカシアの樽
exnihilo.barrel.dark_oak.name,Dark Oak Barrel,ダークオークの樽
exnihilo.barrel.stone.name,Stone Barrel,石の樽
exnihilo.crucible.name,Crucible,坩堝
exnihilo.crucible_unfired.name,Unfired Crucible,未焼成の坩堝
exnihilo.dust.name,Dust,粉
exnihilo.bee_trap.name,Artificial Hive,人工蜂巣
exnihilo.bee_trap_treated.name,Scented Artificial Hive,人工蜂の香り
exnihilo.leaves.infested.oak.name,Infested Leaves,感染した葉
exnihilo.leaves.infested.spruce.name,Infested Spruce Leaves,感染したトウヒの葉
exnihilo.leaves.infested.birch.name,Infested Birch Leaves,侵食されたシラカバの葉
exnihilo.leaves.infested.jungle.name,Infested Jungle Leaves,感染したジャングルの葉
exnihilo.sieve.oak.name,Oak Sieve,オークふるい
exnihilo.sieve.spruce.name,Spruce Sieve,トウヒふるい
exnihilo.sieve.birch.name,Birch Sieve,シラカバふるい
exnihilo.sieve.jungle.name,Jungle Sieve,ジャングルふるい
exnihilo.sieve.acacia.name,Acacia Sieve,アカシアふるい
exnihilo.sieve.dark_oak.name,Dark Oak Sieve,ダークオークのふるい
exnihilo.gravel_nether.name,Crushed Netherrack,砕かれたネザーラック
exnihilo.gravel_ender.name,Crushed End Stone,粉砕されたエンドストーン
exnihilo.iron_gravel.name,Iron Ore Gravel,鉄鉱石砂利
exnihilo.nether_iron_gravel.name,Iron Ore Gravel,鉄鉱石砂利
exnihilo.iron_sand.name,Iron Ore Sand,鉄鉱石の砂
exnihilo.iron_dust.name,Iron Ore Dust,鉄鉱石の粉
exnihilo.gold_gravel.name,Gold Ore Gravel,金鉱石砂利
exnihilo.nether_gold_gravel.name,Gold Ore Gravel,金鉱石砂利
