key,source_text,target_text
item.hammer_wood.name,Wooden Hammer,木製のハンマー
item.hammer_stone.name,Stone Hammer,石のハンマー
item.hammer_iron.name,Iron Hammer,鉄のハンマー
item.hammer_gold.name,Gold Hammer,金のハンマー
item.hammer_diamond.name,Diamond Hammer,ダイヤモンドハンマー
item.exnihilocreatio.hammer_tconstruct.name,Sledge Hammer,スレッジハンマー
item.exnihilocreatio.hammer_tconstruct.desc,Crush your blocks like your enemies. Performs Ex Nihilo hammer crushing.,敵のようにブロックを粉砕します。Ex Nihilo ハンマーで破砕します。
item.exnihilocreatio.crook_tconstruct.name,Crook,悪党
item.exnihilocreatio.crook_tconstruct.desc,Who're you calling a crook? Performs Ex Nihilo crooking.,誰があなたを詐欺師と呼んでいるのですか？ Ex Nihiloで詐欺行為を実行します。
item.crook_wood.name,Wooden Crook,木かぎ
item.crook_bone.name,Bone Crook,骨かぎ
item.crook_stone.name,Stone Crook,石かぎ
item.crook_andesite.name,Andestite Crook,アンドステイトクローク
item.crook_granite.name,Granite Crook,花崗岩かぎ
item.crook_diorite.name,Diorite Crook,斑岩かぎ
item.crook_clay_uncooked.name,Uncooked Clay Crook,生粘土のクローク
item.crook_clay.name,Clay Crook,粘土の曲がり
item.crook_prismarine.name,Prismarine Crook,プリズマリンクロック
item.crook_purpur.name,Purpur Crook,パープルの曲がり棒
item.crook_blaze.name,Blazing Crook,炎の曲괭り
item.crook_diamond.name,Diamond Tipped Crook,ダイヤモンド付きクロー
item.crook_gold.name,Gold Crook,金かぎ
item.crook_iron.name,Iron Crook,鉄かぎ
item.crook_netherrack.name,Netherrack Crook,ネスハッククロック
item.item_pebble.stone.name,Stone Pebble,石の小石
item.item_pebble.granite.name,Granite Pebble,花崗岩の小石
item.item_pebble.diorite.name,Diorite Pebble,閃緑岩の小石
item.item_pebble.andesite.name,Andesite Pebble,安山岩の小石
item.item_material.removed.name,Removed From Mod,モジュールから削除
item.item_material.porcelain_clay.name,Porcelain Clay,磁器粘土
item.item_material.silkworm.name,Silkworm,シルクワーム
item.item_material.grass_seeds.name,Grass Seeds,草の種
item.item_material.ancient_spores.name,Ancient Spores,古代の孢子
item.item_material.doll.name,Porcelain Doll,陶器のおもちゃ
item.item_material.rod_stone.name,Stone Rod,石の棒
item.item_material.gear_stone.name,Stone Gear,石のギア
item.item_doll.blaze.name,Blazing Doll,ブレイズ人形
item.item_doll.blaze.desc,Drop in a barrel of lava to spawn Blaze,溶岩のバーレルに投入するとブレイズが出現します
item.item_doll.enderman.name,Creeping Doll,エンダーマン人形
item.item_doll.enderman.desc,Drop in a barrel of witchwater to spawn Enderman,ウィッチウォーターのバレルに落とすとエンダーマンが出現します。
item.item_doll.shulker.name,Floating Doll,シュルカー人形
item.item_doll.shulker.desc,Drop in a barrel of witchwater to spawn Shulker,ウィッチウォーターのバレルをドロップするとシュルカーがスポーンします
item.item_doll.guardian.name,Protecting Doll,守護人形
item.item_doll.guardian.desc,Drop in a barrel of water to spawn Guardian,水桶に落とすとガーディアンがスポーンします
item.item_doll.blizz.name,Freezing Doll,凍結人形
item.item_doll.blizz.desc,Drop in a barrel of pyrotheum to spawn Blizz,ピロシウムのバレルにドロップするとブリッツが出現します
item.item_doll.blitz.name,Breezing Doll,風化人形
item.item_doll.blitz.desc,Drop in a barrel of pyrotheum to spawn Blitz,ピロシウムのバレルにドロップするとブリッツが出現します
item.item_doll.basalz.name,Crushing Doll,圧破する人形
item.item_doll.basalz.desc,Drop in a barrel of pyrotheum to spawn Basalz,ピロシウムのバレルに落とすとBasalzを生成します
item.item_doll.blueslime.name,Oozing Doll,滲む人形
item.item_doll.blueslime.desc,Drop in a barrel of milk to spawn Blue Slime,ミルクのバレルにドロップするとブルースライムが出現します
debug.mod_not_installed.desc,"!!!%s is not installed, Item has no use!!!",!!!%s はインストールされていません、アイテムは使用できません!!!
item.item_cooked_silkworm.name,Cooked Silkworm,焼き蛹
item.item_seed_birch.name,Birch Seed,シラカバの種
item.item_seed_oak.name,Oak Seed,オークの種
item.item_seed_jungle.name,Jungle Seed,ジャングルの種
item.item_seed_acacia.name,Acacia Seed,アカシアの種
item.item_seed_spruce.name,Spruce Seed,スプレースの種
item.item_seed_carrot.name,Carrot Seeds,ニンニクの種
item.item_seed_potato.name,Potato Seeds,ジャガイモの種
item.item_seed_sugarcane.name,Sugarcane Seed,砂糖茎の種
item.item_seed_cactus.name,Cactus Seed,サボテンの種
item.item_seed_darkoak.name,Dark Oak Seed,ダークオークの種
item.item_seed_rubber.name,Rubber Tree Seed,ゴムの木の種
item.exnihilocreatio.oreberry_seed.name,Oreberry Seed,鉱石の種
item.exnihilocreatio.oreberry_seed.iron.name,Ferrous Oreberry Seed,鉄鉱石オレベリーの種
item.exnihilocreatio.oreberry_seed.gold.name,Auriferous Oreberry Seed,金色鉱石ベリー種
item.exnihilocreatio.oreberry_seed.copper.name,Cupric Oreberry Seed,銅鉱石の種
item.exnihilocreatio.oreberry_seed.tin.name,Stannic Oreberry Seed,スズ鉱石オレベリーの種
item.exnihilocreatio.oreberry_seed.aluminum.name,Aluminic Oreberry Seed,アルミニックオレベリースシード
item.exnihilocreatio.oreberry_seed.aluminium.name,Aluminic Oreberry Seed,アルミニックオレベリースシード
tile.block_dust.name,Dust,粉
tile.block_netherrack_crushed.name,Crushed Netherrack,粉砕された下界岩
tile.block_endstone_crushed.name,Crushed Endstone,砕かれたエンダーストーン
tile.block_skystone_crushed.name,Crushed Sky Stone,粉砕された天空石
tile.block_diorite_crushed.name,Crushed Diorite,砕かれた閃緑岩
tile.block_andesite_crushed.name,Crushed Andesite,砕かれた安山岩
tile.block_granite_crushed.name,Crushed Granite,砕かれた花崗岩
tile.block_barrel0.name,Wooden Barrel,木製の樽
tile.block_barrel1.name,Stone Barrel,石の樽
tile.block_crucible.0.name,Unfired Crucible,未焼成の坩堝
tile.block_crucible.1.name,Crucible,坩堝
tile.block_crucible_wood.name,Wooden Crucible,木製の坩堝
tile.block_infested_leaves.name,Infested Leaves,侵食された葉
tile.block_infesting_leaves.name,Infested Leaves,侵食された葉
tile.block_auto_sifter.name,Auto Sifter,自動スィーファー
tile.block_axle_stone.name,Stone Axle,石の軸
tile.block_grinder.name,Grinder [WIP! Does nothing yet!],グラインダー [WIP! Does nothing yet!]
tile.block_waterwheel.name,Waterwheel,水車
tile.block_end_cake.name,End Cake,エンドケーキ
tile.exnihilocreatio.hive.artificial_hive.name,Artificial Hive,人工蜂巣
tile.exnihilocreatio.hive.scented_hive.name,Scented Hive,香り付きハイブ
tile.block_sieve.name,Sieve,スイーブ
item.item_mesh.1.name,String Mesh,弦のメッシュ
item.item_mesh.2.name,Flint Stiffened Mesh,Flintで硬化された網
item.item_mesh.3.name,Iron Stiffened Mesh,鉄製強化メッシュ
item.item_mesh.4.name,Diamond Stiffened Mesh,ダイヤモンド強化メッシュ
orepiece.name,Ore Piece,鉱石の片
orechunk.name,Ore Chunk,鉱石の塊
oredust.name,Ore Dust,鉱石粉
oreingot.name,Ingot,錬金塊
fluid.witchwater,Witchwater,魔女水
jei.sieve.dropChance,Drop Chance,ドロップ確率
jei.hammer.hammerLevel,Hammer Level,ハンマーレベル
jei.hammer.hammerLevel.0,Wood,木
jei.hammer.hammerLevel.1,Stone,石
jei.hammer.hammerLevel.2,Iron,鉄
jei.hammer.hammerLevel.3,Diamond,ダイヤモンド
jei.hammer.hammerLevel.4,God Tier,神級
commands.enreloadconfig.confirm,Ex Nihilo Config Reloaded,Ex Nihilo 配置再読み込み
itemGroup.exNihilo,Ex Nihilo Creatio,無からの創造
modifier.exnihilo_smashing.name,Smashing,破砕
modifier.exnihilo_smashing.desc,"§rSmashing baby, yeaaah!\n§rBreaks things into smaller things",§rベイビーを粉砕、やあ！\n§r物を小さなものに分解します
enchantment.sieve_efficiency,Sieve Efficiency,篩の効率
enchantment.sieve_fortune,Sieve Fortune,運命の篩
enchantment.sieve_luck_of_the_sea,Sieve Luck of the Sea,運命の海の幸の篩
