key,source_text,target_text
_comment,STRINGS - STRUCTURES,文字列 - 構造物
item.explorerscompass.explorerscompass,Explorer's Compass,冒険者のコンパス
string.explorerscompass.back,Back,戻る
string.explorerscompass.category,Category,カテゴリー
string.explorerscompass.coordinates,Coordinates,座標
string.explorerscompass.dimension,Dimension,ディメンション
string.explorerscompass.distance,Distance,距離
string.explorerscompass.found,Found,発見済み
string.explorerscompass.group,Group,グループ
string.explorerscompass.lakes,Lakes,湖
string.explorerscompass.local_modifications,Local Modifications,ローカル変更
string.explorerscompass.name,Name,名前
string.explorerscompass.notFound,Not Found,未発見
string.explorerscompass.radius,Radius,半径
string.explorerscompass.raw_generation,Raw Generation,生の生成
string.explorerscompass.samples,Samples,サンプル
string.explorerscompass.search,Search,検索
string.explorerscompass.searchForGroup,Search for Group,グループを検索
string.explorerscompass.searching,Searching,検索中
string.explorerscompass.selectStructure,Select Structure,構造物を選ぶ
string.explorerscompass.sortBy,Sort By,並び替え
string.explorerscompass.source,Source,ソース
string.explorerscompass.status,Status,ステータス
string.explorerscompass.strongholds,Strongholds,要塞
string.explorerscompass.structure,Structure,構造物
string.explorerscompass.surface_structures,Surface,地表
string.explorerscompass.teleport,Teleport,テレポート
string.explorerscompass.top_layer_modification,Top Layer,地面のレイヤー
string.explorerscompass.underground_decoration,Underground,地下
string.explorerscompass.underground_ores,Ores,鉱石
string.explorerscompass.underground_structures,Underground,地下
string.explorerscompass.vegetal_decoration,Vegetation,植生
structure.minecraft.bastion_remnant,Bastion Remnant,砦の遺跡
structure.minecraft.buried_treasure,Buried Treasure,埋もれた宝
structure.minecraft.desert_pyramid,Desert Pyramid,砂漠のピラミッド
structure.minecraft.end_city,End City,エンドシティ
structure.minecraft.endcity,End City,エンドシティ
structure.minecraft.fortress,Fortress,ネザー要塞
structure.minecraft.igloo,Igloo,イグルー
structure.minecraft.jungle_pyramid,Jungle Pyramid,ジャングルの寺院
structure.minecraft.mansion,Mansion,森の洋館
structure.minecraft.mineshaft,Mineshaft,廃坑
structure.minecraft.mineshaft_mesa,Mineshaft Mesa,マインシャフトメサ
structure.minecraft.monument,Monument,海底神殿
structure.minecraft.nether_fossil,Nether Fossil,ネザーの化石
structure.minecraft.ocean_ruin,Ocean Ruin,海底遺跡
structure.minecraft.ocean_ruin_cold,Ocean Ruin Cold,オーシャン遺跡コールド
structure.minecraft.ocean_ruin_warm,Ocean Ruin Warm,オーシャン遺跡ウォーム
structure.minecraft.pillager_outpost,Pillager Outpost,ピりジャーの前哨基地
structure.minecraft.ruined_portal,Ruined Portal,荒廃したポータル
structure.minecraft.ruined_portal_desert,Ruined Portal Desert,廃墟のポータル砂漠
structure.minecraft.ruined_portal_jungle,Ruined Portal Jungle,廃墟のポータルジャングル
structure.minecraft.ruined_portal_mountain,Ruined Portal Mountain,廃墟のポータルマウンテン
structure.minecraft.ruined_portal_nether,Ruined Portal Nether,廃墟のポータルネザー
structure.minecraft.ruined_portal_ocean,Ruined Portal Ocean,廃墟のポータルオーシャン
structure.minecraft.ruined_portal_swamp,Ruined Portal Swamp,廃墟のポータル沼
structure.minecraft.shipwreck,Shipwreck,難破船
structure.minecraft.shipwreck_beached,Shipwreck Beached,難破船の浜
structure.minecraft.stronghold,Stronghold,要塞
structure.minecraft.swamp_hut,Swamp Hut,沼地の小屋
structure.minecraft.village,Village,村
structure.minecraft.village_desert,Village Desert,村の砂漠
structure.minecraft.village_plains,Village Plains,村の平原
structure.minecraft.village_savanna,Village Savanna,ヴィレッジサバンナ
structure.minecraft.village_snowy,Village Snowy,雪に覆われた村
structure.minecraft.village_taiga,Village Taiga,ヴィレッジタイガ
string.explorerscompass.clean_cache,Clean cache,キャッシュをクリア
string.explorerscompass.have_searched,Have Searched,検索済み
