key,source_text,target_text
block.extendedcrafting.advanced_auto_table,Advanced Auto Crafting Table,発展型自動作業台
block.extendedcrafting.advanced_table,Advanced Crafting Table,発展型作業台
block.extendedcrafting.basic_auto_table,Basic Auto Crafting Table,基本型自動作業台
block.extendedcrafting.basic_table,Basic Crafting Table,基本型作業台
block.extendedcrafting.black_iron_block,Black Iron Block,ブラックアイアンブロック
block.extendedcrafting.compressor,Quantum Compressor,量子圧縮機
block.extendedcrafting.crafting_core,Crafting Core,クラフトコア
block.extendedcrafting.crystaltine_block,Crystaltine Block,クリスタルチンブロック
block.extendedcrafting.elite_auto_table,Elite Auto Crafting Table,精鋭型自動作業台
block.extendedcrafting.elite_table,Elite Crafting Table,精鋭型作業台
block.extendedcrafting.ender_alternator,Ender Alternator,エンダーオルタネーター
block.extendedcrafting.ender_crafter,Ender Crafter,エンダークラフター
block.extendedcrafting.ender_ingot_block,Ender Ingot Block,エンダーインゴットブロック
block.extendedcrafting.ender_star_block,Ender Star Block,エンダースターブロック
block.extendedcrafting.enhanced_ender_ingot_block,Enhanced Ender Ingot Block,強化エンダーインゴットブロック
block.extendedcrafting.frame,Black Iron Frame,ブラックアイアン製フレーム
block.extendedcrafting.luminessence_block,Luminessence Block,ルミネッセンスブロック
block.extendedcrafting.nether_star_block,Nether Star Block,ネザー星ブロック
block.extendedcrafting.pedestal,Pedestal,台座
block.extendedcrafting.redstone_ingot_block,Redstone Ingot Block,レッドストーンインゴットブロック
block.extendedcrafting.the_ultimate_block,The Ultimate Block,アルティメットブロック
block.extendedcrafting.ultimate_auto_table,Ultimate Auto Crafting Table,究極型自動作業台
block.extendedcrafting.ultimate_table,Ultimate Crafting Table,究極型作業台
book.extendedcrafting.category.components.description,This section goes over the different crafting items added by Extended Crafting.,この項目では、Extended Craftingによって追加されたさまざまなクラフトアイテムについて説明します。
book.extendedcrafting.category.components.name,Crafting Components,機械製品の部品
book.extendedcrafting.category.crafting.description,This section goes over the different crafting mechanisms added by Extended Crafting.,この項目では、Extended Craftingによって追加されたさまざまなクラフト機構について説明します。
book.extendedcrafting.category.crafting.name,Crafting Methods,クラフト方法
book.extendedcrafting.category.utilities.description,This section goes over the different crafting utilities added by Extended Crafting.,この項目では、Extended Craftingによって追加されたさまざまなクラフトユーティリティについて説明します。
book.extendedcrafting.category.utilities.name,Crafting Utilities,クラフトユーティリティ
book.extendedcrafting.entry.auto_tables,Auto Table Crafting,自動作業台クラフト
book.extendedcrafting.entry.auto_tables.page.1,"Auto Crafting Tables are an upgraded version of $(l:crafting/tables)Crafting Tables$() that can automatically insert items and be piped out of. $(br2)Item insertion is done by simply placing a chest above the table, and inserting items into said chest. Item insertion uses power.",自動作業台は$(l:crafting/tables)作業台$()のアップグレード版で自動でアイテムを搬入して、パイプ搬出することができます。$(br2)アイテム搬入は単に作業台の上にチェストを置き、そのチェストにアイテムを投入することで行えます。アイテム搬入には電力を消費します。
book.extendedcrafting.entry.auto_tables.page.2,"For item insertion to work, you must lay out a recipe in the grid and save the recipe. This is done by shift+left clicking on one of the 3 recipe slots in the top right. You can then select the recipe by clicking on it. You can delete the recipe by shift+left clicking it. $(br2)Items can be extracted from the table by a hopper or any other compatible item extraction mechanism.",アイテムの自動搬入を機能させるには、クラフトグリッドにレシピを配置し、レシピを保存する必要があります。右上の3つのレシピスロットのどれかをShift+左クリックでレシピを保存できます。その後、保存したレシピをクリックしてレシピを選択できます。レシピを削除するにはShift+左クリックをします。$(br2)完成したアイテムはホッパーや他の互換性のあるアイテム抽出機構によって作業台から搬出できます。
book.extendedcrafting.entry.auto_tables.page.3,You can disable auto crafting by clicking on the down arrow under the output slot.,自動クラフトを無効にするには、出力スロットの下にある下矢印をクリックします。
book.extendedcrafting.entry.combination,Combination Crafting,コンビネーションクラフト
book.extendedcrafting.entry.combination.page.1,"Combination Crafting is an in-world multi-block crafting setup where items are combined together to create something $(italic)special.$() $(br2)This setup consists of a Crafting Core in the center and pedestals placed around it. Pedestals can be placed anywhere around the Crafting Core in a 3 block radius, and must be on the same Y level.",コンビネーションクラフトは、アイテムを組み合わせて$(italic)特別なもの$()を作る、ワールド上のマルチブロッククラフトです。$(br2)セットアップするには、中央にクラフトコアを設置し、その周囲に台座を設置します。台座はクラフトコアの半径3ブロック以内の同じ高さに設置する必要があります。
book.extendedcrafting.entry.combination.page.2,"Power must be provided to the Crafting Core for this structure to function. $(br2)Recipes have a center item which goes on the Crafting Core, and pedestal items which go on the pedestals around it. $(br)Right clicking on the side of the Crafting Core will show you information about the current crafting operation, such as progress or power cost, as well as how much power is stored in it.",このクラフトを機能させるにはクラフトコアに電力を供給する必要があります。$(br2)レシピにはクラフトコアに乗せる中央のアイテムと、周りの台座に乗せるアイテムがあります。$(br)クラフトコアの側面を右クリックすると、進行状況や電力コストなどの現在のクラフトについての情報と、蓄電量が表示されます。
book.extendedcrafting.entry.compression,Compression Crafting,圧縮クラフト
book.extendedcrafting.entry.compression.page.1,Quantum Compression is the process of compressing items a little too much. This is done using a Quantum Compressor. $(br2)The Quantum Compressor is a powered machine that can hold and compress extremely large amounts of materials. Items placed inside the Quantum Compressor go into an internal buffer for use in compression. The buffer is represented as a blue bar.,量子圧縮とは、アイテムをぎゅっと圧縮する処理のことです。これは量子圧縮機を使用することで行えます。$(br2)量子圧縮機は、大量の素材を保持できるかつ圧縮できる機械です。量子圧縮機に投入されたアイテムは、圧縮するために内部バッファで保存されます。バッファは青いバーで表記されます。
book.extendedcrafting.entry.compression.page.2,"Each recipe $(bold)usually$() requires a catalyst. The catalyst is placed in the left-most slot and does not get used up. $(br2)Once there are enough items in the buffer, the machine will begin to craft the item. The Quantum Compressor will only use power while crafting. $(br2)If you happen to put items into the compressor that you would rather not lose forever, you can press the eject button above the input slot to get them back.",どのレシピも$(bold)通常$()はカタリストを必要とします。カタリストは左のスロットに配置され、使用されません。$(br2)バッファに十分な量のアイテムがあると、機械は圧縮を開始します。量子圧縮機はクラフト動作中のみ電力を使用します。$(br2)もし大切なものを投入してしまった場合は入力スロットの上にある取り出しボタンを押すことで、回収することができます。
book.extendedcrafting.entry.compression.page.3,"Items in the buffer are stored in the endless void and can only be re-obtained by ejecting. Breaking the block will cause those items to get lost forever, so be careful! $(br2)The item input buffer of the Quantum Compressor is capable of holding $(bold)billions$() of items, but by default will only hold as many as the recipe requires. You can disable this limit by clicking on the lock button next to the input buffer.",バッファ内のアイテムは無限の虚空に格納され、「取り出す」ことによってのみ回収することができます。ブロックごと破壊すると、アイテムは永遠に失われるので注意してください！$(br2)量子圧縮機のアイテム入力バッファは$(bold)数十億$()のアイテムを保存することができますが、デフォルトではレシピが必要とするだけの量のみを保存します。この制限を取り払うには、入力バッファの横のロックボタンをクリックしてください。
book.extendedcrafting.entry.ender_crafting,Ender Crafting,エンダークラフト
book.extendedcrafting.entry.ender_crafting.page.1,"Ender Crafting is crafting using the power of waiting. An Ender Crafting setup consists of an Ender Crafter and Ender Alternators. The crafter will take energy from the void via the alternators. The more alternators you have, the faster it will craft.",エンダークラフトは待つ力を使ってクラフトします。エンダークラフト機構はエンダークラフターとエンダーオルタネーターで構成されています。クラフターはオルタネーターを介して虚空からエネルギーを受け取ります。オルタネーターが多ければ多いほどクラフト速度は向上します。
book.extendedcrafting.entry.ender_crafting.page.2,Ender Alternators can be placed anywhere around the Ender Crafter in a $(bold)3 block radius$(). Even above or below!,エンダーオルタネーターはエンダークラフターの周り半径$(bold)3ブロック$()のどこにでも設置できます。上でも下でも！
book.extendedcrafting.entry.handheld_table,Handheld Crafting Table,携帯型作業台
book.extendedcrafting.entry.handheld_table.page.1,The Handheld Crafting Table is a Crafting Table.,携帯型作業台は作業台です。
book.extendedcrafting.entry.singularities,Singularities,シンギュラリティ
