key,source_text,target_text
bountiful.decree.alexscaves.name,AlexCaves Explorer,AlexCaves探検家
bountiful.decree.alexsmobs.name,AlexMobs Zookeeper,AlexMobs動物園管理者
bountiful.decree.aquaculture.name,Gone Fishing,釣りに行きました
bountiful.decree.artifacts.name,Terraria Nerd,テラリアのネルド
bountiful.decree.atmospheric.name,Encyclopedia of the four seasons,四季の百科事典
bountiful.decree.autumnity.name,Gary's Dairy,ギャリーの牛乳工場
bountiful.decree.berry_good.name,Tails approved,テールズが承認
bountiful.decree.biomancy.name,Anatomically Accurate,解剖学的に正確
bountiful.decree.buildinggadgets2.name,BuildingDireThings,建築物を構築する
bountiful.decree.buzzier_bees.name,Barry work,バリー作業
bountiful.decree.caverns_and_chasms.name,Spelukery time,スペルケリーの時間
bountiful.decree.create_craft.name,Create : Processing,作成 : 処理
bountiful.decree.create_fluid.name,Create : Fluid,作成：液体
bountiful.decree.create_gen.name,Create : Generation,作成 : 生成
bountiful.decree.create_logistic.name,Create : Logistic,作成: ロジスティクス
bountiful.decree.create_motion.name,Create : Motion,作成: 動き
bountiful.decree.create_other.name,Create : Base,作成：ベース
bountiful.decree.dice.name,U+1F3B2,
bountiful.decree.dimdoors.name,It is the TARDIS!?,それはTARDISだ！？
bountiful.decree.embers.name,Golems and Coal,ゴーレムと石炭
bountiful.decree.endergetic.name,Endergetic Journey,エンダージェティックジャーニー
bountiful.decree.environmental.name,Biomes and rivers,バイオームと川
bountiful.decree.everlastingabilities.name,"I want this, thanks",これが欲しい、ありがとう
bountiful.decree.experienceobelisk.name,Different languages but music connects everyone,§5マニュアルモードでは、廃棄物を手動で排出する必要があります。
bountiful.decree.farmersdelight.name,Rustic Table,農家テーブル
bountiful.decree.gamediscs.name,90s Games,90秒ゲーム
bountiful.decree.gateways.name,Doom : The revenge,ドゥーム : 復讐
bountiful.decree.goety_artifacts.name,Necrotic Souvenirs,ネクロティック・スーベニア
bountiful.decree.goety_focus.name,Necrotic Focuses,ネクロティックフォーカス
bountiful.decree.iceandfire.name,Monster Hunter : New World,モンスターハンター：ニューワールド
bountiful.decree.inventorypets.name,Ironberry vibes,鉄ベリーの雰囲気
bountiful.decree.ironchest.name,Metal Chests,金属チェスト
bountiful.decree.ironfurnaces.name,Metal Furnaces,金属の炉
bountiful.decree.irons_spellbooks.name,Iron? I only see Arcane stuff!,鉄？私はただの魔術的なものしか見ない！
bountiful.decree.malum.name,Not so much Malum,Malum ではありません
bountiful.decree.metalbarrels.name,Iron Barrels,鉄の樽
bountiful.decree.modularrouters.name,Service 3000,サービス3000
bountiful.decree.mowziesmobs.name,Mythical Mobs,神話的なモンスター
bountiful.decree.nameless_trinkets.name,Over Over Over powered,オーバー・オーバー・オーバーパワード
bountiful.decree.neapolitan.name,Made in Naples,ナポリで作成
bountiful.decree.powah.name,Let's me power in!,電源を入れてください
bountiful.decree.ppfluids.name,Logistic Pretty : Fluid mode,物流美化：流体モード
bountiful.decree.prettypipes.name,Logistic Pretty,ロジスティクスが美しい
bountiful.decree.quark.name,Mojang Backport,モジャングバックポート
bountiful.decree.reliquary.name,ProjectE Confirmed,ProjectE 確認済み
bountiful.decree.rootsclassic.name,Gardening Culture,園芸文化
bountiful.decree.savage_and_ravage.name,Better than V&P,V&Pより良い
bountiful.decree.sophisticatedbackpacks.name,Better Backpack,より良いバックパック
bountiful.decree.sophisticatedstorage.name,Better Storage,より良いストレージ
bountiful.decree.tconstruct_gadgets.name,InfiTools Pickaze,InfiTools ツルハシ
bountiful.decree.tconstruct_smeltery.name,InfiTools Furnace,InfiTools 製錬炉
bountiful.decree.tombstone.name,The Darkside of Bounties,報酬の闇面
bountiful.decree.unusualprehistory.name,Fossils and Archeology : UNO Reverse,化石と考古学：UNOリバース
bountiful.decree.upgrade_aquatic.name,I like corals!,私はコーラルが好きです！
bountiful.decree.voidminers.name,Not Environmental Tech related!,環境技術とは関係ありません！
bountiful.decree.warp_pipes.name,Mario the Expert,マリオの専門家
bountiful.decree.waystones.name,Doctor Who Solution,ドクター・Whoの解決策
bountiful.entry.dyes,Any dyes,任意の染料
bountiful.entry.glass_colorless,Any glass colorless,任意の透明なガラス
bountiful.entry.logs,Any logs,任意の原木
bountiful.entry.planks,Any planks,任意の板
bountiful.entry.wooden_slabs,Any wooden slabs,任意の木製ハーフブロック
bountiful.entry.wool,Any wool,任意のウール
extrabounties.large/allay,Large Allay,大規模アレイ
extrabounties.large/axolotl,Large Axolotl,大きなアロットル
extrabounties.large/bat,Large Bat,大きなバット
extrabounties.large/bee,Large Bee,大きなミツバチ
extrabounties.large/blaze,Large Blaze,大規模ブレイズ
extrabounties.large/camel,Large Camel,大型カメル
extrabounties.large/cat,Large Cat,大きなネコ
extrabounties.large/cave_spider,Large Cave Spider,大洞窟クモ
extrabounties.large/chicken,Large Chicken,大きな鶏
extrabounties.large/cod,Large Cod,大きなカツオ
extrabounties.large/cow,Large Cow,大きなウシ
extrabounties.large/creeper,Large Creeper,大きなクリーパー
extrabounties.large/dolphin,Large Dolphin,大きなイルカ
extrabounties.large/donkey,Large Donkey,大きなドンキ
extrabounties.large/drowned,Large Drowned,大きなドロップ
extrabounties.large/elder_guardian,Large Elder Guardian,大きなエルダー・ガードィアン
extrabounties.large/enderman,Large Enderman,大きなエンダーマン
extrabounties.large/endermite,Large Endermite,大きなエンダーミテ
extrabounties.large/evoker,Large Evoker,大きなエヴォカー
extrabounties.large/fox,Large Fox,大きなフクロウ
extrabounties.large/frog,Large Frog,大きなカエル
extrabounties.large/ghast,Large Ghast,大型グース
extrabounties.large/glow_squid,Large Glow Squid,大きな光のイカ
extrabounties.large/goat,Large Goat,大きなヤギ
extrabounties.large/guardian,Large Guardian,大きなガーディアン
extrabounties.large/hoglin,Large Hoglin,大規模なホグリン
extrabounties.large/horse,Large Horse,大型ウマ
extrabounties.large/husk,Large Husk,大きなホスキー
extrabounties.large/iron_golem,Large Iron Golem,大きな鉄のゴーレム
extrabounties.large/llama,Large Llama,大型ラマ
extrabounties.large/magma_cube,Large Magma Cube,大きなマグマキューブ
extrabounties.large/mooshroom,Large Mooshroom,大きなムッシュローム
extrabounties.large/mule,Large Mule,大きなムール
extrabounties.large/ocelot,Large Ocelot,大規模なオセロット
extrabounties.large/panda,Large Panda,大型パンダ
extrabounties.large/parrot,Large Parrot,大規模なパラト
extrabounties.large/phantom,Large Phantom,大きなフェンス
extrabounties.large/pig,Large Pig,大きなブタ
extrabounties.large/piglin,Large Piglin,大規模なピグリン
extrabounties.large/piglin_brute,Large Piglin Brute,大型ピグリン・ブリュート
extrabounties.large/pillager,Large Pillager,大きなピラガー
extrabounties.large/polar_bear,Large Polar Bear,大きな極地熊
extrabounties.large/pufferfish,Large Pufferfish,大型フグ
extrabounties.large/rabbit,Large Rabbit,大規模なウサギ
extrabounties.large/ravager,Large Ravager,大きなラヴァージャ
extrabounties.large/salmon,Large Salmon,大規模なサルモン
extrabounties.large/sheep,Large Sheep,大型ヒツジ
extrabounties.large/shulker,Large Shulker,大きなシュルカ
extrabounties.large/silverfish,Large Silverfish,大型シルバーフィッシュ
extrabounties.large/skeleton,Large Skeleton,大きなスケルトン
extrabounties.large/skeleton_horse,Large Skeleton Horse,大きなスケルトン・ホース
extrabounties.large/slime,Large Slime,大スライム
extrabounties.large/sniffer,Large Sniffer,大きなスニファー
extrabounties.large/snow_golem,Large Snow Golem,大雪のゴーレム
extrabounties.large/spider,Large Spider,大規模なスパイダー
extrabounties.large/squid,Large Squid,大イカ
extrabounties.large/stray,Large Stray,大ストレイ
extrabounties.large/strider,Large Strider,大きなストライダー
extrabounties.large/tadpole,Large Tadpole,大きなタドロ
extrabounties.large/trader_llama,Large Trader Llama,大型トレーダーラマ
extrabounties.large/tropical_fish,Large Tropical Fish,大型熱帯魚
extrabounties.large/turtle,Large Turtle,大規模なウミガメ
extrabounties.large/vex,Large Vex,大きなヴェックス
extrabounties.large/villager,Large Villager,大きな村人
extrabounties.large/vindicator,Large Vindicator,反抗者
extrabounties.large/wandering_trader,Large Wandering Trader,大型ウォーリングトレーダー
extrabounties.large/warden,Large Warden,大規模なワードン
extrabounties.large/witch,Large Witch,大ウィッチ
extrabounties.large/wither_skeleton,Large Wither Skeleton,大型のウィザードスケルトン
extrabounties.large/wolf,Large Wolf,大きなオオカミ
extrabounties.large/zoglin,Large Zoglin,大規模なゾグリン
extrabounties.large/zombie,Large Zombie,大規模なゾンビ
extrabounties.large/zombie_horse,Large Zombie Horse,大型ゾンビホース
extrabounties.large/zombie_villager,Large Zombie Villager,大型ゾンビ村人
extrabounties.large/zombified_piglin,Large Zombified Piglin,大型ゾンビ化ピグリン
extrabounties.loot_table.cat.minecraft.gameplay.cat_morning_gift,Cat Morning Gift,猫の朝の贈り物
extrabounties.loot_table.cave_spider.minecraft.chests.abandoned_mineshaft,Abandoned Mineshaft,廃坑
extrabounties.loot_table.creeper.extrabounties.entities.creeper_music_discs,Creeper Music Discs,クリーパーの音盤
extrabounties.loot_table.dolphin.minecraft.chests.shipwreck_treasure,Shipwreck Treasure,沈没船の宝物
extrabounties.loot_table.drowned.minecraft.chests.underwater_ruin_big,Underwater Ruin Big,水下遺跡（大）
extrabounties.loot_table.elder_guardian.minecraft.gameplay.fishing.treasure,Treasure,宝物
extrabounties.loot_table.iron_golem.minecraft.chests.village.village_toolsmith,Village Toolsmith,村 道具職人
extrabounties.loot_table.piglin.minecraft.gameplay.piglin_bartering,Piglin Bartering,ピグリンとの取引
extrabounties.loot_table.piglin_brute.minecraft.chests.bastion_treasure,Bastion Treasure,バスティオンの宝物
extrabounties.loot_table.ravager.minecraft.chests.woodland_mansion,Woodland Mansion,ウッドランドの邸宅
extrabounties.loot_table.silverfish.minecraft.chests.stronghold_corridor,Stronghold Corridor,強固な廊下
extrabounties.loot_table.vex.minecraft.chests.woodland_mansion,Woodland Mansion,ウッドランドの邸宅
extrabounties.loot_table.vindicator.minecraft.chests.woodland_mansion,Woodland Mansion,ウッドランドの邸宅
extrabounties.loot_table.warden.minecraft.chests.ancient_city,Ancient City,古代都市
extrabounties.loot_table.witch.minecraft.chests.simple_dungeon,Simple Dungeon,シンプルなダンジョン
extrabounties.loot_table.wither_skeleton.minecraft.blocks.wither_skeleton_skull,Wither Skeleton Skull,ウィザースケルトンの頭蓋骨
extrabounties.loot_table.zombie_villager.minecraft.chests.simple_dungeon,Simple Dungeon,シンプルなダンジョン
extrabounties.medium/allay,Medium Allay,中規模のアライ
extrabounties.medium/axolotl,Medium Axolotl,中規模のアクロット
extrabounties.medium/bat,Medium Bat,中型バット
extrabounties.medium/bee,Medium Bee,中型ミツバチ
extrabounties.medium/blaze,Medium Blaze,中規模のブラズ
extrabounties.medium/camel,Medium Camel,中規模のカマツナリ
extrabounties.medium/cat,Medium Cat,中型ネコ
extrabounties.medium/cave_spider,Medium Cave Spider,中型洞窟クモ
extrabounties.medium/chicken,Medium Chicken,中型鶏
extrabounties.medium/cod,Medium Cod,中型コダカ
extrabounties.medium/cow,Medium Cow,中型ウシ
extrabounties.medium/creeper,Medium Creeper,中サイズのクリーパー
extrabounties.medium/dolphin,Medium Dolphin,中サイズのダルフィン
extrabounties.medium/donkey,Medium Donkey,中型のドンキ
extrabounties.medium/drowned,Medium Drowned,中サイズのドロップ
extrabounties.medium/elder_guardian,Medium Elder Guardian,中型のエルダー・ガーディアン
extrabounties.medium/enderman,Medium Enderman,中サイズのエンダーマン
extrabounties.medium/endermite,Medium Endermite,中型エンダーミテ
extrabounties.medium/evoker,Medium Evoker,中規模のエヴォーカー
extrabounties.medium/fox,Medium Fox,中型キツネ
extrabounties.medium/frog,Medium Frog,中サイズのカエル
extrabounties.medium/ghast,Medium Ghast,中型ガスト
extrabounties.medium/glow_squid,Medium Glow Squid,中型光るイカ
